pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,2411.3428074371054,2410.5,0.8428074371054208,0.8428074371054208
A-C,4208.7461475798,4209.0,-0.25385242020001897,0.25385242020001897
A-D,3705.9390893119344,3707.0,-1.0609106880656327,1.0609106880656327
A-E,1400.4914112586046,1399.92,0.5714112586044848,0.5714112586044848
A-F,2881.9740462430655,2881.4999999999995,0.4740462430659136,0.4740462430659136
A-G,4404.268281729458,4404.419448476052,-0.15116674659384444,0.15116674659384444
A-H,4131.774253254431,4131.528548123981,0.24570513045000553,0.24570513045000553
B-C,2267.9156795809936,2267.2228081740277,0.6928714069658781,0.6928714069658781
B-D,1321.5238702828285,1320.5285481239805,0.9953221588480119,0.9953221588480119
B-E,2913.815042523053,2914.5,-0.6849574769471474,0.6849574769471474
B-F,1534.149690890839,1534.8578680203043,-0.7081771294651844,0.7081771294651844
B-G,2721.5090808293944,2722.0,-0.49091917060559354,0.49091917060559354
B-H,2055.249507849743,2056.52700729927,-1.2774994495266583,1.2774994495266583
C-D,2091.2234082837667,2090.59587628866,0.6275319951068923,0.6275319951068923
C-E,4500.878072120988,4500.5,0.3780721209877811,0.3780721209877811
C-F,2553.8032692002935,2554.761105626851,-0.9578364265576056,0.9578364265576056
C-G,1458.6635481738485,1459.5524861878453,-0.8889380139967216,0.8889380139967216
C-H,2510.915448317687,2511.7723830734967,-0.8569347558095615,0.8569347558095615
D-E,4135.567794687479,4136.0,-0.43220531252063665,0.43220531252063665
D-F,2099.7986468394683,2099.0,0.798646839468347,0.798646839468347
D-G,2693.875538964495,2695.0,-1.1244610355051918,1.1244610355051918
D-H,1506.5634801991034,1507.0,-0.43651980089657627,0.43651980089657627
E-F,2592.953617792519,2592.9999999999995,-0.04638220748074673,0.04638220748074673
E-G,4226.838340765559,4227.000000000001,-0.16165923444168584,0.16165923444168584
E-H,4043.8077253751785,4043.0,0.8077253751785065,0.8077253751785065
F-G,2086.601771599342,2085.7704918032787,0.8312797960634271,0.8312797960634271
F-H,1531.7648604805818,1531.8925251022686,-0.12766462168679027,0.12766462168679027
G-H,2216.230135208673,2215.4033264033264,0.8268088053464453,0.8268088053464453
