pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,2502.397191564036,2501.0000000000005,1.3971915640354382,1.3971915640354382
A-C,3539.899068840033,3540.4756242568374,-0.5765554168042399,0.5765554168042399
A-D,3370.397663839693,3370.5901639344265,-0.19250009473353202,0.19250009473353202
A-E,1483.3595093514796,1482.8991793669402,0.4603299845393849,0.4603299845393849
A-F,2757.6445329863304,2758.532224532225,-0.8876915458945405,0.8876915458945405
A-G,3774.6395992414796,3774.59900990099,0.04058934048953233,0.04058934048953233
A-H,4009.9329323847337,4010.0,-0.06706761526629634,0.06706761526629634
B-C,1145.5038307965956,1145.0,0.5038307965955937,0.5038307965955937
B-D,1915.2792207426214,1914.6661538461535,0.6130668964678989,0.6130668964678989
B-E,2525.6765686228655,2526.532224532225,-0.8556559093594842,0.8556559093594842
B-F,1304.749708401462,1304.5710659898477,0.1786424116141916,0.1786424116141916
B-G,1898.7873940813756,1898.36,0.42739408137572354,0.42739408137572354
B-H,2593.4767684585186,2593.5764705882348,-0.0997021297162064,0.0997021297162064
C-D,2567.369155301588,2567.8082474226803,-0.43909212109247164,0.43909212109247164
C-E,3478.4805152462386,3478.4999999999995,-0.019484753760934836,0.019484753760934836
C-F,1794.0489174625754,1793.5475113122175,0.5014061503579796,0.5014061503579796
C-G,1467.8623316562064,1468.217668794088,-0.3553371378816337,0.3553371378816337
C-H,3019.016458902112,3019.0,0.01645890211193546,0.01645890211193546
D-E,3166.464031476254,3166.380191693291,0.08383978296296846,0.08383978296296846
D-F,2219.641675940995,2220.0000000000005,-0.35832405900555386,0.35832405900555386
D-G,3137.669833414377,3137.4630136986307,0.20681971574640556,0.20681971574640556
D-H,1467.8395960998598,1467.7558815388873,0.08371456097256669,0.08371456097256669
E-F,2025.4263076719158,2025.0,0.42630767191576524,0.42630767191576524
E-G,3171.2633233467027,3171.0,0.2633233467026912,0.2633233467026912
E-H,3227.520771627863,3227.3769230769235,0.14384855093931037,0.14384855093931037
F-G,1345.7956774839365,1346.590163934426,-0.7944864504895577,0.7944864504895577
F-H,2075.85457469141,2076.0,-0.14542530858989267,0.14542530858989267
G-H,2905.1486296169574,2905.0,0.14862961695735066,0.14862961695735066
