pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,1953.86129271322,1954.6725,-0.8112072867797906,0.8112072867797906
A-C,3784.5061481576963,3785.5155,-1.0093518423036585,1.0093518423036585
A-D,3584.531693464867,3584.8275,-0.2958065351326695,0.2958065351326695
A-E,1516.850219265599,1517.764,-0.9137807344009161,0.9137807344009161
A-F,1886.98085668374,1886.9755,0.005356683740046719,0.005356683740046719
A-G,4106.420143509008,4104.777,1.6431435090080413,1.6431435090080413
A-H,3898.9326510403525,3898.09,0.8426510403523935,0.8426510403523935
B-C,2041.8902024505362,2041.8085,0.08170245053611325,0.08170245053611325
B-D,1819.0264565989346,1819.6935,-0.6670434010654844,0.6670434010654844
B-E,2276.9440045636625,2276.9995,-0.0554954363374236,0.0554954363374236
B-F,1315.041756598143,1314.7125,0.3292565981428197,0.3292565981428197
B-G,2548.5259875696947,2549.2105,-0.6845124303054035,0.6845124303054035
B-H,2396.8945461492535,2396.568,0.3265461492533177,0.3265461492533177
C-D,2306.883836469168,2306.9105,-0.02666353083213835,0.02666353083213835
C-E,3835.504326759032,3834.407,1.0973267590320575,1.0973267590320575
C-F,2647.8319067012912,2647.93,-0.09809329870859074,0.09809329870859074
C-G,1427.2724428789131,1427.655,-0.3825571210868475,0.3825571210868475
C-H,2787.890166084852,2787.8875,0.0026660848520805303,0.0026660848520805303
D-E,3587.7081098133754,3585.9715,1.736609813375253,1.736609813375253
D-F,2515.359875460202,2516.2225,-0.8626245397977073,0.8626245397977073
D-G,2608.1866467842183,2607.7475,0.4391467842183374,0.4391467842183374
D-H,1345.9389222850373,1346.535,-0.5960777149628029,0.5960777149628029
E-F,1251.037534072926,1251.5355,-0.4979659270738921,0.4979659270738921
E-G,3599.1055023054723,3599.895,-0.789497694527654,0.789497694527654
E-H,3347.529234723246,3348.983,-1.453765276753984,1.453765276753984
F-G,2443.4796294237053,2443.7745,-0.2948705762946702,0.2948705762946702
F-H,2349.5013974747376,2349.001,0.5003974747373832,0.5003974747373832
G-H,2327.510369242259,2327.668,-0.15763075774111712,0.15763075774111712
