a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,6881,100,6881,1,0
A,C,A,10205,100,10205,1,0
A,D,A,8929,100,8929,1,0
A,E,A,1300,100,1300,1,0
A,F,A,7041,100,7041,1,0
A,G,A,10311,100,10311,1,0
A,H,A,9028,100,9028,1,0
A,B,B,6838,100,6838,1,0
B,C,B,8454,100,8454,1,0
B,D,B,12375,100,12375,1,0
B,E,B,6977,100,6977,1,0
B,F,B,1292,100,1292,1,0
B,G,B,8602,100,8602,1,0
B,H,B,12501,100,12501,1,0
A,C,C,10141,100,10141,1,0
B,C,C,8502,100,8502,1,0
C,D,C,7659,100,7659,1,0
C,E,C,10307,100,10307,1,0
C,F,C,8455,100,8455,1,0
C,G,C,1214,100,1214,1,0
C,H,C,7829,100,7829,1,0
A,D,D,8911,100,8911,1,0
B,D,D,12406,100,12406,1,0
C,D,D,7649,100,7649,1,0
D,E,D,9146,100,9146,1,0
D,F,D,12429,100,12429,1,0
D,G,D,7812,100,7812,1,0
D,H,D,1316,100,1316,1,0
A,E,E,1268,100,1268,1,0
B,E,E,6978,100,6978,1,0
C,E,E,10374,100,10374,1,0
D,E,E,9130,100,9130,1,0
E,F,E,6955,100,6955,1,0
E,G,E,10273,100,10273,1,0
E,H,E,9024,100,9024,1,0
A,F,F,7002,100,7002,1,0
B,F,F,1345,100,1345,1,0
C,F,F,8464,100,8464,1,0
D,F,F,12400,100,12400,1,0
E,F,F,6913,100,6913,1,0
F,G,F,8347,100,8347,1,0
F,H,F,12332,100,12332,1,0
A,G,G,10232,100,10232,1,0
B,G,G,8534,100,8534,1,0
C,G,G,1274,100,1274,1,0
D,G,G,7842,100,7842,1,0
E,G,G,10294,100,10294,1,0
F,G,G,8391,100,8391,1,0
G,H,G,7777,100,7777,1,0
A,H,H,8971,100,8971,1,0
B,H,H,12473,100,12473,1,0
C,H,H,7856,100,7856,1,0
D,H,H,1374,100,1374,1,0
E,H,H,8998,100,8998,1,0
F,H,H,12338,100,12338,1,0
G,H,H,7752,100,7752,1,0
A,B,A,6828,100,6828,1,0
A,C,A,10131,100,10131,1,0
A,D,A,8940,100,8940,1,0
A,E,A,1297,100,1297,1,0
A,F,A,7038,100,7038,1,0
A,G,A,10262,100,10262,1,0
A,H,A,8971,100,8971,1,0
A,B,B,6863,100,6863,1,0
B,C,B,8492,100,8492,1,0
B,D,B,12394,100,12394,1,0
B,E,B,7008,100,7008,1,0
B,F,B,1315,100,1315,1,0
B,G,B,8582,100,8582,1,0
B,H,B,12485,100,12485,1,0
A,C,C,10146,100,10146,1,0
B,C,C,8552,100,8552,1,0
C,D,C,7670,100,7670,1,0
C,E,C,10320,100,10320,1,0
C,F,C,8458,100,8458,1,0
C,G,C,1268,100,1268,1,0
