pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,7496.843167305389,7496.93111638955,-0.08794908416075486,0.08794908416075486
A-C,13076.144819205841,13075.0,1.144819205841486,1.144819205841486
A-D,8720.27985531626,8720.547511312217,-0.26765599595819367,0.26765599595819367
A-E,1347.7130677410173,1347.5727810650887,0.14028667592856436,0.14028667592856436
A-F,7645.08746997728,7645.532224532225,-0.44475455494466587,0.44475455494466587
A-G,13126.202914270676,13126.729411764705,-0.5264974940291722,0.5264974940291722
A-H,8770.8966401504,8771.060550458715,-0.16391030831437092,0.16391030831437092
B-C,9088.205607963046,9089.0,-0.7943920369543775,0.7943920369543775
B-D,11665.977627425056,11665.52700729927,0.4506201257863722,0.4506201257863722
B-E,7479.965205813549,7480.699115044247,-0.733909230698373,0.733909230698373
B-F,1316.5710659898475,1316.5710659898475,0.0,0.0
B-G,9195.705157586455,9195.64,0.06515758645582537,0.06515758645582537
B-H,11575.283664271723,11575.0,0.28366427172295516,0.28366427172295516
C-D,9898.168722209628,9898.775358166191,-0.6066359565629682,0.6066359565629682
C-E,13001.890762307996,13001.5,0.39076230799582845,0.39076230799582845
C-F,9268.988375359097,9269.0,-0.011624640903391992,0.011624640903391992
C-G,1299.5810218978102,1299.5810218978102,0.0,0.0
C-H,9815.939449541285,9815.939449541283,1.8189894035458565e-12,1.8189894035458565e-12
D-E,8767.50984402485,8767.942499078512,-0.4326550536625291,0.4326550536625291
D-F,11832.787128182877,11832.397647058822,0.38948112405523716,0.38948112405523716
D-G,9939.533220071538,9939.500000000002,0.03322007153656159,0.03322007153656159
D-H,1528.5,1528.5,0.0,0.0
E-F,7394.0,7394.0,0.0,0.0
E-G,12918.481070101398,12918.0,0.4810701013975631,0.4810701013975631
E-H,8582.140867532715,8582.334872979214,-0.19400544649943186,0.19400544649943186
F-G,9190.621013715123,9191.0,-0.37898628487710084,0.37898628487710084
F-H,11571.387182382397,11571.265423242468,0.12175913992905407,0.12175913992905407
G-H,9657.21149325859,9657.5,-0.2885067414099467,0.2885067414099467
