pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,5385.846100646275,5386.000000000001,-0.15389935372604668,0.15389935372604668
A-C,9608.399433919389,9608.524375743164,-0.1249418237748614,0.1249418237748614
A-D,8850.909105806073,8850.409836065573,0.49926974049958517,0.49926974049958517
A-E,1511.418231094869,1511.3852721451442,0.03295894972484348,0.03295894972484348
A-F,5431.030061955985,5431.06444906445,-0.03438710846512549,0.03438710846512549
A-G,10309.444270032209,10309.240328253223,0.20394177898560883,0.20394177898560883
A-H,8921.647029156367,8922.0,-0.3529708436326473,0.3529708436326473
B-C,6154.724054406477,6155.0,-0.2759455935229198,0.2759455935229198
B-D,4034.0712907614525,4034.4729927007293,-0.40170193927679065,0.40170193927679065
B-E,6198.283110662145,6198.273027869627,0.01008279251800559,0.01008279251800559
B-F,1402.8842849008856,1403.0,-0.11571509911436806,0.11571509911436806
B-G,7033.597077556908,7033.4098360655735,0.18724149133413448,0.18724149133413448
B-H,4259.958764303317,4259.693767795002,0.2649965083155621,0.2649965083155621
C-D,8329.211081323592,8329.433628318582,-0.22254699498989794,0.22254699498989794
C-E,10465.458287666472,10465.270544090057,0.1877435764145048,0.1877435764145048
C-F,6257.113661823625,6257.0,0.1136618236250797,0.1136618236250797
C-G,1623.8395487317393,1623.94598540146,-0.10643666972055144,0.10643666972055144
C-H,8481.29958745721,8481.0,0.29958745720978186,0.29958745720978186
D-E,9448.327048488276,9448.745146088595,-0.41809760031901533,0.41809760031901533
D-F,4391.070458156787,4390.7379912663755,0.3324668904115242,0.3324668904115242
D-G,9100.225358359361,9100.0,0.22535835936105286,0.22535835936105286
D-H,1282.9626336245965,1283.048751486326,-0.08611786172946267,0.08611786172946267
E-F,5934.559036503721,5934.999999999999,-0.4409634962785276,0.4409634962785276
E-G,10981.567824293352,10981.582758620689,-0.01493432733695954,0.01493432733695954
E-H,9332.919217639668,9332.219512195123,0.6997054445455433,0.6997054445455433
F-G,6826.61121097163,6827.08679245283,-0.4755814812006065,0.4755814812006065
F-H,4193.254576385159,4194.0,-0.7454236148405471,0.7454236148405471
G-H,9040.472279673697,9040.5,-0.027720326303096954,0.027720326303096954
