pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,6028.6395275999885,6029.999999999999,-1.3604724000106216,1.3604724000106216
A-C,8141.2641780208405,8137.476756756757,3.787421264083605,3.787421264083605
A-D,9889.386686818814,9889.0,0.3866868188142689,0.3866868188142689
A-E,1420.5199095683909,1423.139507620164,-2.6195980517732096,2.6195980517732096
A-F,6193.992529199983,6196.000000000001,-2.0074708000174724,2.0074708000174724
A-G,8885.679941492994,8886.895027624309,-1.2150861313148198,1.2150861313148198
A-H,10518.550524221275,10518.5,0.05052422127482714,0.05052422127482714
B-C,3427.0022334672462,3430.0,-2.997766532753758,2.997766532753758
B-D,5785.032582579422,5787.419448476052,-2.3868658966302974,2.3868658966302974
B-E,6473.271124183577,6471.59587628866,1.675247894916538,1.675247894916538
B-F,1450.2509729566602,1449.4289340101523,0.8220389465079734,0.8220389465079734
B-G,4300.754732652502,4297.46301369863,3.2917189538720777,3.2917189538720777
B-H,6620.703434623617,6618.0,2.703434623616886,2.703434623616886
C-D,8427.716661989982,8423.790710090763,3.9259518992184894,3.9259518992184894
C-E,8407.509418186713,8407.0,0.5094181867134466,0.5094181867134466
C-F,3458.859869981872,3464.5,-5.64013001812782,5.64013001812782
C-G,1612.5302578307853,1613.6661538461535,-1.1358960153681892,1.1358960153681892
C-H,9226.350932207277,9224.939449541283,1.4114826659933897,1.4114826659933897
D-E,10409.83138777377,10409.0,0.8313877737691655,0.8313877737691655
D-F,6263.993110172093,6264.999999999999,-1.0068898279059795,1.0068898279059795
D-G,8959.790422001164,8961.23980016653,-1.4493781653654878,1.4493781653654878
D-H,1434.5363226248307,1434.4439969796124,0.09232564521835229,0.09232564521835229
E-F,6316.810367512773,6315.536986301369,1.27338121140383,1.27338121140383
E-G,8910.839351786748,8913.543396226414,-2.704044439666177,2.704044439666177
E-H,10884.421642750185,10885.667436489608,-1.2457937394228793,1.2457937394228793
F-G,3781.771237331169,3777.5901639344265,4.181073396742249,4.181073396742249
F-H,6825.238901248247,6825.39024390244,-0.15134265419237636,0.15134265419237636
G-H,9547.94287897697,9551.0,-3.0571210230300494,3.0571210230300494
