pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,5383.410693422608,5383.145306425821,0.26538699678712874,0.26538699678712874
A-C,10010.021000434079,10010.080104432422,-0.05910399834283453,0.05910399834283453
A-D,9830.679026688253,9830.505300598128,0.17372609012454632,0.17372609012454632
A-E,1516.9150797017776,1519.5431307644756,-2.6280510626979776,2.6280510626979776
A-F,5542.882686802548,5545.3919089003375,-2.5092220977894613,2.5092220977894613
A-G,10001.940680047217,9999.850230449003,2.090449598214036,2.090449598214036
A-H,10373.151766305331,10373.12273404819,0.02903225714180735,0.02903225714180735
B-C,5352.683971739852,5352.792893151965,-0.10892141211297712,0.10892141211297712
B-D,5771.01757895876,5771.1222171427235,-0.10463818396328861,0.10463818396328861
B-E,5654.520254781962,5653.63747425637,0.8827805255914427,0.8827805255914427
B-F,1501.3602485410852,1501.7358914875508,-0.3756429464656321,0.3756429464656321
B-G,5497.936645046813,5496.915349500411,1.0212955464021434,1.0212955464021434
B-H,6440.933050464579,6439.928662805579,1.0043876589998035,1.0043876589998035
C-D,8449.857922213618,8449.407826088947,0.45009612467038096,0.45009612467038096
C-E,10029.563358391486,10027.825268813913,1.7380895775731915,1.7380895775731915
C-F,5708.0848885400355,5709.895271782764,-1.8103832427286761,1.8103832427286761
C-G,1327.832756307209,1330.0367621787905,-2.2040058715815576,2.2040058715815576
C-H,9000.842009267824,9000.794445998818,0.04756326900678687,0.04756326900678687
D-E,10233.342145197043,10232.754281088466,0.5878641085764684,0.5878641085764684
D-F,5888.960972857031,5890.538876227388,-1.5779033703565801,1.5779033703565801
D-G,8714.387578130563,8714.479007720623,-0.09142959006021556,0.09142959006021556
D-H,1564.6036329409735,1566.4956440826086,-1.8920111416350665,1.8920111416350665
E-F,5434.698916379694,5435.885416865183,-1.1865004854889776,1.1865004854889776
E-G,9822.152472021226,9824.426824141623,-2.2743521203974524,2.2743521203974524
E-H,10576.798503012284,10576.259011106884,0.5394919053997,0.5394919053997
F-G,5504.209817973403,5505.298817573631,-1.0889996002279076,1.0889996002279076
F-H,6192.2112465395585,6193.4263588489,-1.2151123093417482,1.2151123093417482
G-H,9052.35169245982,9051.944885961744,0.40680649807654845,0.40680649807654845
