pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4943.211806533541,4942.996,0.2158065335406718,0.2158065335406718
A-C,7039.966773579366,7041.2705,-1.303726420633211,1.303726420633211
A-D,4962.89834937994,4963.516,-0.6176506200599761,0.6176506200599761
A-E,1378.2081935558335,1378.4385,-0.23030644416644463,0.23030644416644463
A-F,5108.825328184717,5109.52,-0.6946718152830726,0.6946718152830726
A-G,7154.837932045412,7152.859,1.978932045411966,1.978932045411966
A-H,5144.691323634127,5144.519,0.17232363412676932,0.17232363412676932
B-C,4920.389897942676,4920.9115,-0.5216020573243441,0.5216020573243441
B-D,6966.875264830444,6966.817,0.05826483044438646,0.05826483044438646
B-E,5150.244276264719,5150.92,-0.6757237352812808,0.6757237352812808
B-F,1405.986764157573,1405.938,0.048764157572804834,0.048764157572804834
B-G,5106.000353181506,5105.907,0.09335318150624516,0.09335318150624516
B-H,7099.753261374457,7099.195,0.5582613744572882,0.5582613744572882
C-D,4982.5756895354225,4982.2065,0.3691895354222652,0.3691895354222652
C-E,7187.991755324396,7186.671,1.3207553243955772,1.3207553243955772
C-F,5122.80360266002,5122.2545,0.5491026600202531,0.5491026600202531
C-G,1353.3420591357412,1353.6455,-0.303440864258846,0.303440864258846
C-H,5169.468883789278,5169.846,-0.3771162107213968,0.3771162107213968
D-E,5155.186818502812,5154.567,0.6198185028115404,0.6198185028115404
D-F,7091.394963223754,7091.4245,-0.02953677624645934,0.02953677624645934
D-G,5143.499704974832,5143.902,-0.40229502516831417,0.40229502516831417
D-H,1377.2330452191613,1377.287,-0.053954780838694205,0.053954780838694205
E-F,4930.967253415343,4930.3785,0.5887534153434899,0.5887534153434899
E-G,7040.416707647187,7041.624,-1.207292352813056,1.207292352813056
E-H,4961.599683648422,4962.2555,-0.6558163515783235,0.6558163515783235
F-G,4929.369328252306,4929.98,-0.6106717476932317,0.6106717476932317
F-H,6948.7462399053675,6948.6015,0.14473990536771453,0.14473990536771453
G-H,4962.424320706001,4962.554,-0.12967929399928835,0.12967929399928835
