capture_id,uwb_capture_count,uwb_capture_path,opti_trc_path,opti_csv_path,opti_trc_exists,opti_csv_exists,static_test_matches_excluded,alignment_status,beta_s,alignment_source,alignment_policy,capture_set,pairing_ok
R01,1,captures/erlangen_20260528_optitrack/roto_R01_BS2DCE_BSDC91_120s_20260528_125256,opti_captures/full/R01.trc,opti_captures/full/R01.csv,True,True,1,ok,37.70795600000014,Analysis/official_extra_analysis/FULL_US/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,fixed_capture_level_beta_from_primary_v4io_U4,R01-R17,True
R02,1,captures/erlangen_20260528_optitrack/roto_R02_BS2DCE_BSDC91_120s_20260528_125658,opti_captures/full/R02.trc,opti_captures/full/R02.csv,True,True,0,ok,46.52235800000014,Analysis/official_extra_analysis/FULL_US/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,fixed_capture_level_beta_from_primary_v4io_U4,R01-R17,True
R03,1,captures/erlangen_20260528_optitrack/roto_R03_BS2DCE_BSDC91_120s_20260528_130023,opti_captures/full/R03.trc,opti_captures/full/R03.csv,True,True,0,ok,46.37758200000015,Analysis/official_extra_analysis/FULL_US/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,fixed_capture_level_beta_from_primary_v4io_U4,R01-R17,True
R04,1,captures/erlangen_20260528_optitrack/roto_R04_BS2DCE_BSDC91_120s_20260528_130347,opti_captures/full/R04.trc,opti_captures/full/R04.csv,True,True,0,ok,47.29321100000013,Analysis/official_extra_analysis/FULL_US/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,fixed_capture_level_beta_from_primary_v4io_U4,R01-R17,True
R05,1,captures/erlangen_20260528_optitrack/roto_R05_BS2DCE_BSDC91_120s_20260528_130811,opti_captures/full/R05.trc,opti_captures/full/R05.csv,True,True,0,ok,48.70257800000013,Analysis/official_extra_analysis/FULL_US/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,fixed_capture_level_beta_from_primary_v4io_U4,R01-R17,True
R06,1,captures/erlangen_20260528_optitrack/roto_R06_BS2DCE_BSDC91_120s_20260528_131147,opti_captures/full/R06.trc,opti_captures/full/R06.csv,True,True,0,ok,45.52379100000014,Analysis/official_extra_analysis/FULL_US/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,fixed_capture_level_beta_from_primary_v4io_U4,R01-R17,True
R07,1,captures/erlangen_20260528_optitrack/roto_R07_BS2DCE_BSDC91_120s_20260528_131506,opti_captures/full/R07.trc,opti_captures/full/R07.csv,True,True,0,ok,45.22980400000012,Analysis/official_extra_analysis/FULL_US/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,fixed_capture_level_beta_from_primary_v4io_U4,R01-R17,True
R08,1,captures/erlangen_20260528_optitrack/roto_R08_BS2DCE_BSDC91_120s_20260528_131827,opti_captures/full/R08.trc,opti_captures/full/R08.csv,True,True,0,ok,44.84747700000013,Analysis/official_extra_analysis/FULL_US/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,fixed_capture_level_beta_from_primary_v4io_U4,R01-R17,True
R09,1,captures/erlangen_20260528_optitrack/roto_R09_BS2DCE_BSDC91_120s_20260528_132144,opti_captures/full/R09.trc,opti_captures/full/R09.csv,True,True,0,ok,44.96743900000014,Analysis/official_extra_analysis/FULL_US/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,fixed_capture_level_beta_from_primary_v4io_U4,R01-R17,True
R10,1,captures/erlangen_20260528_optitrack/roto_R10_BS2DCE_BSDC91_120s_20260528_132554,opti_captures/full/R10.trc,opti_captures/full/R10.csv,True,True,0,ok,45.34070900000013,Analysis/official_extra_analysis/FULL_US/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,fixed_capture_level_beta_from_primary_v4io_U4,R01-R17,True
