experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,T,kind,seed_id,experiment_uid,delta_vs_B0_trackmedian_err3d_p50_mm,delta_vs_B0_trackmedian_err3d_p95_mm,delta_vs_B0_sample_err3d_rmse_mm,delta_vs_B0_legacy_deltaR_error_rms_mm,delta_vs_B0_trackmedian_radius_error_abs_mm,verdict,screening_score,L,I,R
B0_A0_U4_P0_T1,online_deployable_uwb_only,Phase 3 repeated B0 control.,34,17,40661,102.63336074100665,208.3503804473449,256.9324074144989,141.2659848479643,40661,66.14323345844781,145.82607164755368,178.9530610667181,93.41834672726387,40661,61.57092076688957,163.1159939953268,205.89630418252534,105.96740522354024,105.83784720842489,231.80213799547772,132.8297379891087,167.47209082957747,187.38314568289843,81.85817424679978,68.97030504345278,38.73430278830949,59.73216676551942,97.22019722085115,173.57057176081128,nan,nan,nan,nan,nan,nan,nan,nan,17,80.07935390701411,26.37186507012177,172.16272100899008,A0,U4,P0,T1,baseline,S04,B0_A0_U4_P0_T1__S04,0.0,0.0,0.0,0.0,0.0,BASELINE_UWB_ONLY,272.8902266245117,,,
X_A0_L0_I0_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I0/S04.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S04,X_A0_L0_I0_T11__S04,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I0,
X_A0_L0_I1_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I1/S04.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S04,X_A0_L0_I1_T11__S04,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I1,
X_A0_L0_I3_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I3/S04.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S04,X_A0_L0_I3_T11__S04,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I3,
X_A0_L0_I4_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I4/S04.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S04,X_A0_L0_I4_T11__S04,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I4,
X_A0_L0_I7_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I7/S04.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S04,X_A0_L0_I7_T11__S04,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I7,
X_A0_L0_I8_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I8/S04.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S04,X_A0_L0_I8_T11__S04,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I8,
X_A0_L0_I1+I3+I7_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I1+I3+I7/S04.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S04,X_A0_L0_I1+I3+I7_T11__S04,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I1+I3+I7,
X_A0_L0_I1+I2+I3+I8_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I1+I2+I3+I8/S04.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S04,X_A0_L0_I1+I2+I3+I8_T11__S04,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I1+I2+I3+I8,
X_A0_L1_I0_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L1/I0/S04.,34,17,40661,1695.1782244669735,6587.618304065222,8783.505019074262,3890.2973524534245,40661,1093.0057538274536,4743.215298769034,5921.003562577623,2768.106113193035,40661,719.0663140295054,4206.048684693893,6570.194842309396,2733.4963026515093,1756.3257852785996,6346.748893061242,3120.5306399346982,5043.127991227973,3599.548030428325,2977.8747377832124,2576.2501136552387,1010.1470086956197,1490.437678613416,543.5675808251848,1037.293050575336,7086.8693598979735,5594.267591533109,59.10169652523771,nan,nan,nan,nan,nan,17,3464.2406991682847,1481.85506273717,7337.952978461681,A0,,,T11,imu_only,S04,X_A0_L1_I0_T11__S04,1650.4879380701748,6114.946755065764,3749.03136760546,3384.1613452612705,1430.7055118478966,IMU_ONLY_DRIFTS_AS_EXPECTED,7147.875226574541,L1,I0,
X_A0_L1_I1_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L1/I1/S04.,34,17,40661,879.9561544077338,3543.1289551724617,4463.129694910143,2038.5670718101226,40661,665.3435479420099,2954.4041823654966,3630.30643121058,1634.667616438805,40661,224.2882466233093,1722.607079649408,2649.539705877713,1218.038377898978,996.6513807489011,3552.133536096914,1747.697486437373,3189.4017416975157,1189.5145501305594,1766.5671233111045,1588.8038291198377,393.2922001457665,791.1735589591531,417.3366950473554,771.6489888316191,3986.0347613269587,3569.535708559827,33.23334303231992,nan,nan,nan,nan,nan,17,1472.9384742976017,448.3484343523893,2477.4137074391765,A0,,,T11,imu_only,S04,X_A0_L1_I1_T11__S04,890.8135335404762,3320.3313981014367,1897.3010869621583,1392.8591203905876,731.4413921936336,IMU_ONLY_DRIFTS_AS_EXPECTED,3666.541829870719,L1,I1,
X_A0_L1_I3_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L1/I3/S04.,34,17,40661,458.74173676039766,1978.2743969310632,2612.763397341829,1150.6411381525018,40661,325.5406805124006,1567.6385273512017,2196.309405712543,938.1578525592371,40661,163.91235365032844,1121.7290239301717,1518.0101395089496,666.2093308340297,513.7278199708144,1941.6234761958794,949.9247758612768,1469.2070459573474,1012.6751053566084,943.6860638178296,872.5464661893054,268.2654445299501,370.2699640486503,289.54075432765995,529.9117765172798,2205.5326829761025,1734.1211684984933,18.39517959242968,nan,nan,nan,nan,nan,17,602.4080175532494,325.3481988730965,1198.101783229993,A0,,,T11,imu_only,S04,X_A0_L1_I3_T11__S04,407.8899727623895,1709.8213382004017,1009.3751533045374,522.3286636462352,310.5377972831309,IMU_ONLY_DRIFTS_AS_EXPECTED,1800.116630950972,L1,I3,
X_A0_L1_I4_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L1/I4/S04.,34,17,40661,619.700901958068,2553.089709306671,3233.7669267668434,1477.9642602528147,40661,383.74879231319005,1950.7807222789727,2466.627131987196,1088.988465702623,40661,263.57839367031625,1592.3777142257168,2271.7461016141297,999.2409499971948,741.9910929387652,2669.534939092158,1301.0225748395956,2044.2315354334876,1238.7646281518457,1286.0270917718046,1148.128753070384,414.45101698545625,590.311636654138,331.4662856130841,652.0297732681503,2941.2753352982327,2313.737842548616,24.521085259861334,nan,nan,nan,nan,nan,17,2190.3351480815977,351.59893393472396,2806.840558287482,A0,,,T11,imu_only,S04,X_A0_L1_I4_T11__S04,636.1532457303402,2437.7328010966803,1336.6982754048504,2110.2557941745836,530.5794698886186,IMU_ONLY_DRIFTS_AS_EXPECTED,3504.7187436052072,L1,I4,
