experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,T,kind,seed_id,experiment_uid,delta_vs_B0_trackmedian_err3d_p50_mm,delta_vs_B0_trackmedian_err3d_p95_mm,delta_vs_B0_sample_err3d_rmse_mm,delta_vs_B0_legacy_deltaR_error_rms_mm,delta_vs_B0_trackmedian_radius_error_abs_mm,verdict,screening_score,L,I,R
B0_A0_U4_P0_T1,online_deployable_uwb_only,Phase 3 repeated B0 control.,34,17,40661,102.63336074100665,208.3503804473449,256.9324074144989,141.2659848479643,40661,66.14323345844781,145.82607164755368,178.9530610667181,93.41834672726387,40661,61.57092076688957,163.1159939953268,205.89630418252534,105.96740522354024,105.83784720842489,231.80213799547772,132.8297379891087,167.47209082957747,187.38314568289843,81.85817424679978,68.97030504345278,38.73430278830949,59.73216676551942,97.22019722085115,173.57057176081128,nan,nan,nan,nan,nan,nan,nan,nan,17,80.07935390701411,26.37186507012177,172.16272100899008,A0,U4,P0,T1,baseline,S00,B0_A0_U4_P0_T1__S00,0.0,0.0,0.0,0.0,0.0,BASELINE_UWB_ONLY,272.8902266245117,,,
X_A0_L2_I0_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I0/S00.,34,17,40661,10317.844723418471,47963.892207843084,61553.414608736275,26834.03114341666,40661,7302.573197058516,36212.07032678953,48083.79625953662,20509.95288979608,40661,4026.6551110971436,28078.64733230257,39007.989776663744,17303.382902317127,12227.987886616722,48544.947229799145,23475.80211591875,33016.746736082656,21894.183860739005,42961.52486765782,41727.20230890789,6344.307136464617,41078.67685813069,459.0564312017522,895.6673650406544,54299.33358707403,37610.84179325323,452.6864980259738,nan,nan,nan,nan,nan,17,124995.96741692844,51982.00452991428,231728.41744031972,A0,,,T11,imu_only,S00,X_A0_L2_I0_T11__S00,12122.150039408298,48313.145091803664,26692.765158568698,124915.88806302143,41018.94469136517,IMU_ONLY_DRIFTS_AS_EXPECTED,137255.23503796165,L2,I0,
X_A0_L2_I1_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I1/S00.,34,17,40661,5146.932731036325,21882.21683216927,27422.87648854449,12166.34598291446,40661,3486.417240928513,17230.911821912163,22444.443340201524,9647.554417680907,40661,1728.2552371986917,12240.317743129495,17247.90555097007,7412.467088214583,5939.580671120288,24377.18763172561,11348.314243992467,16894.517624790282,9284.395858914017,17193.895938762587,17094.840608125174,2402.201142282631,14968.012075625093,483.8438097059992,921.214373505801,27756.65036535708,18829.593884168775,231.52243753318558,nan,nan,nan,nan,nan,17,47106.4177455197,15819.629609073829,86216.84221670048,A0,,,T11,imu_only,S00,X_A0_L2_I1_T11__S00,5833.742823911863,24145.385493730133,12025.079998066496,47026.338391612684,14908.279908859573,IMU_ONLY_DRIFTS_AS_EXPECTED,54930.09480190059,L2,I1,
X_A0_L2_I2_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I2/S00.,34,17,40661,5829.85633449746,26814.784442553308,32600.09534365947,14596.909691364921,40661,4415.69736053821,21255.70266317959,26937.701016583324,11800.504867821943,40661,2368.995121006619,14870.598682807988,20741.76440963889,8591.731921002529,8098.691568673405,30585.46091463713,15040.969026655803,22050.450434774655,11578.688158040186,20564.68359243992,19937.915700188452,2983.769013141052,19153.118620635418,601.3880528640173,1113.7601679113031,33933.1935619261,24487.74533984976,292.5300157824626,nan,nan,nan,nan,nan,17,44334.096555217315,37009.28002543831,67311.0846772701,A0,,,T11,imu_only,S00,X_A0_L2_I2_T11__S00,7992.85372146498,30353.658776641652,14455.643706516958,44254.0172013103,19093.386453869898,IMU_ONLY_DRIFTS_AS_EXPECTED,59414.02978776622,L2,I2,
X_A0_L2_I3_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I3/S00.,34,17,40661,3037.625341795861,13290.33117171593,17368.304786684283,7717.660622988793,40661,2306.674372755035,11753.891035217515,15545.253946284913,6734.1279812494495,40661,908.6414473787864,6236.027574925649,8795.442607708594,3770.120133866423,3173.109448665943,14200.691949586428,6443.850477982339,11475.556444271191,4388.057671937251,12132.02242399243,12118.450720381512,1530.030032650678,8238.742480891102,630.3392381689642,1125.354761580576,15995.766153848901,13130.952690595946,134.44493693052448,nan,nan,nan,nan,nan,17,20408.616114992226,12365.189187737578,37914.38078637124,A0,,,T11,imu_only,S00,X_A0_L2_I3_T11__S00,3067.271601457518,13968.88981159095,7576.394638140829,20328.53676108521,8179.010314125582,IMU_ONLY_DRIFTS_AS_EXPECTED,26548.7541519613,L2,I3,
X_A0_L2_I4_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I4/S00.,34,17,40661,4175.120216908554,17964.711377851218,22058.359704222017,9951.33567065143,40661,3433.1331656004513,15670.638739180604,19920.3129591485,8789.87171188459,40661,1164.2906174966065,7819.7126047300935,11116.146343691904,4665.537152203445,5136.220858181909,20064.912101089958,9880.824637721824,16011.506768132074,5765.77974343152,14180.94379991432,13798.62487453112,1376.8404203932896,12608.205327830627,592.9802699347802,1124.209188515455,22528.762942918394,17579.08809317958,187.82852634016518,nan,nan,nan,nan,nan,17,27367.741347399613,7802.262635014627,58152.23541748515,A0,,,T11,imu_only,S00,X_A0_L2_I4_T11__S00,5030.383010973484,19833.10996309448,9810.069685803466,27287.6619934926,12548.473161065107,IMU_ONLY_DRIFTS_AS_EXPECTED,37620.46170065843,L2,I4,
X_A0_L2_I5_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I5/S00.,34,17,40661,3094.700187695077,12704.36379559027,16302.38686017512,7799.045931474193,40661,2195.4483932497496,9444.82568195765,12148.792349320684,5834.513832720598,40661,1351.6410478731111,7875.795825046047,11462.108809904192,5175.284125247247,3433.07330320391,13227.01089359458,6363.425246208793,9689.795637315316,6225.181464342953,8575.593685946671,8054.1619328769175,1470.0689635705469,5425.725051335783,562.0934857793957,1042.4898540088514,14710.362355475652,10853.238195468159,129.17444679232517,nan,nan,nan,nan,nan,17,14772.872447803182,6439.532230650205,26269.190856175082,A0,,,T11,imu_only,S00,X_A0_L2_I5_T11__S00,3327.235455995485,12995.208755599102,7657.779946626229,14692.793093896167,5365.992884570263,IMU_ONLY_DRIFTS_AS_EXPECTED,21116.400355092133,L2,I5,
X_A0_L2_I6_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I6/S00.,34,17,40661,3738.676160172826,14954.176632405912,18552.078175396637,8481.695615622086,40661,2610.3114121014387,11651.328256653685,15218.575208604867,6776.948373648666,40661,1359.4940039323408,8345.86022517024,11672.535024285235,5100.208942481043,4211.894483831468,16134.073932192789,7867.344091994615,11112.323876646871,7746.553753633954,11297.529574328466,11147.37295836844,2140.593147535846,8385.064670548501,436.3138265213417,810.0323221743157,18007.27650209659,12218.931960401162,150.0653709610994,nan,nan,nan,nan,nan,17,16170.072797680297,12815.711261714796,29405.409990049026,A0,,,T11,imu_only,S00,X_A0_L2_I6_T11__S00,4106.056636623043,15902.271794197311,8340.429630774122,16089.993443773283,8325.332503782982,IMU_ONLY_DRIFTS_AS_EXPECTED,25370.403653749403,L2,I6,
X_A0_L2_I7_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I7/S00.,34,17,40661,4871.782245914126,20521.42342091817,25285.279422182062,11629.806707199197,40661,3478.3852903286606,15347.549858483542,19728.68115498877,8946.313209355169,40661,1780.0519031088302,12722.706313844641,17089.23062557751,7430.739129247686,5637.227452917565,21641.75904384989,10599.792843561423,15074.456944241836,9668.298272974007,13873.165947578833,13492.406978059338,3046.8758371790227,11166.318217688591,506.2028284029576,1025.3112753679404,24140.107676005362,16755.87629375238,201.27442201046784,nan,nan,nan,nan,nan,17,54498.74540515609,9108.997123682657,101768.08634675929,A0,,,T11,imu_only,S00,X_A0_L2_I7_T11__S00,5531.38960570914,21409.95690585441,11488.540722351234,54418.66605124908,11106.586050923072,IMU_ONLY_DRIFTS_AS_EXPECTED,56944.12401071858,L2,I7,
X_A0_L2_I8_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L2/I8/S00.,34,17,40661,4356.500929010384,16628.056033851943,21205.065763135128,9661.595308311094,40661,2756.493767179359,12662.569692814486,15920.746205084755,7266.7048648915825,40661,1726.8072400768788,10564.287043046905,15250.274992542469,6367.214799905838,4592.538515678379,16464.87090020268,8004.691752286662,13337.328623813884,8467.277106678499,13029.66855695712,12022.177465069068,2307.903658872734,9419.40995908563,461.67154210550507,887.7671633224678,18557.61189453694,15231.818282101394,154.79840686303623,nan,nan,nan,nan,nan,17,18874.408397287796,9276.342529280986,37162.861089245795,A0,,,T11,imu_only,S00,X_A0_L2_I8_T11__S00,4486.700668469954,16233.068762207204,9520.329323463131,18794.32904338078,9359.67779232011,IMU_ONLY_DRIFTS_AS_EXPECTED,28277.034188393587,L2,I8,
