sample_utc,gpu_index,gpu_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-05T10:15:25.754868+00:00,0,0.0,150.0,11264.0,25.0,8.77
2026-06-05T10:15:25.754892+00:00,1,0.0,10.0,11264.0,27.0,8.19
2026-06-05T10:15:55.786806+00:00,0,0.0,150.0,11264.0,25.0,9.05
2026-06-05T10:15:55.786826+00:00,1,0.0,10.0,11264.0,26.0,8.1
2026-06-05T10:16:25.816411+00:00,0,0.0,822.0,11264.0,36.0,58.16
2026-06-05T10:16:25.816447+00:00,1,0.0,682.0,11264.0,34.0,55.78
2026-06-05T10:16:55.847429+00:00,0,0.0,150.0,11264.0,37.0,76.72
2026-06-05T10:16:55.847450+00:00,1,0.0,10.0,11264.0,37.0,74.24
2026-06-05T10:17:25.878317+00:00,0,0.0,150.0,11264.0,39.0,13.74
2026-06-05T10:17:25.878339+00:00,1,0.0,10.0,11264.0,38.0,8.56
2026-06-05T10:17:55.910175+00:00,0,0.0,822.0,11264.0,45.0,78.73
2026-06-05T10:17:55.910196+00:00,1,0.0,682.0,11264.0,44.0,72.41
2026-06-05T10:18:25.936321+00:00,0,0.0,150.0,11264.0,41.0,10.11
2026-06-05T10:18:25.936347+00:00,1,0.0,10.0,11264.0,42.0,8.85
2026-06-05T10:18:55.961979+00:00,0,0.0,598.0,11264.0,46.0,79.04
2026-06-05T10:18:55.961994+00:00,1,0.0,458.0,11264.0,43.0,57.02
