row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I0:T6,simulate_imu_prior,0.0997334160056198,,,,,agreement_0000,cuda:0,nightly_1080ti_20260604T231033Z_agreement_0000_cuda0
R2:L0:I0:T6,cpu_golden,0.1839252029894851,,,,,agreement_0000,cuda:0,nightly_1080ti_20260604T231033Z_agreement_0000_cuda0
R2:L0:I0:T6,torch_gpu,0.4751807389984606,0.0,1.0,0.4751807389984606,0.4751807389984606,agreement_0000,cuda:0,nightly_1080ti_20260604T231033Z_agreement_0000_cuda0
R2:L2:I3:T6,simulate_imu_prior,0.5553594039956806,,,,,agreement_0000,cuda:0,nightly_1080ti_20260604T231033Z_agreement_0000_cuda0
R2:L2:I3:T6,cpu_golden,0.1845602320099715,,,,,agreement_0000,cuda:0,nightly_1080ti_20260604T231033Z_agreement_0000_cuda0
R2:L2:I3:T6,torch_gpu,0.3022877019975567,0.0,1.0,0.3022877019975567,0.3022877019975567,agreement_0000,cuda:0,nightly_1080ti_20260604T231033Z_agreement_0000_cuda0
R4:L8:I1+I2+I3+I8:T8,simulate_imu_prior,0.5301882599887904,,,,,agreement_0001,cuda:1,nightly_1080ti_20260604T231033Z_agreement_0001_cuda1
R4:L8:I1+I2+I3+I8:T8,cpu_golden,0.1855036950000794,,,,,agreement_0001,cuda:1,nightly_1080ti_20260604T231033Z_agreement_0001_cuda1
R4:L8:I1+I2+I3+I8:T8,torch_gpu,0.4751331050065346,0.0,1.0,0.4751331050065346,0.4751331050065346,agreement_0001,cuda:1,nightly_1080ti_20260604T231033Z_agreement_0001_cuda1
R4:L14:I1+I2+I3+I8:T8,simulate_imu_prior,0.514871484003379,,,,,agreement_0001,cuda:1,nightly_1080ti_20260604T231033Z_agreement_0001_cuda1
R4:L14:I1+I2+I3+I8:T8,cpu_golden,0.2033474429917987,,,,,agreement_0001,cuda:1,nightly_1080ti_20260604T231033Z_agreement_0001_cuda1
R4:L14:I1+I2+I3+I8:T8,torch_gpu,0.3857205560052534,0.0,1.0,0.3857205560052534,0.3857205560052534,agreement_0001,cuda:1,nightly_1080ti_20260604T231033Z_agreement_0001_cuda1
R2:L0:I0:T6,simulate_imu_prior,0.098521506995894,,,,,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I0:T6,cpu_golden,17.972159704993828,,,,,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I0:T6,torch_gpu,1.9349265399941944,0.0,1.0,1.9349265399941944,1.9349265399941944,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I0:T8,simulate_imu_prior,0.1055927489942405,,,,,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I0:T8,cpu_golden,18.5040945019864,,,,,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I0:T8,torch_gpu,1.9313983650063165,0.0,1.0,1.9313983650063165,1.9313983650063165,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I1:T6,simulate_imu_prior,0.0937114209955325,,,,,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I1:T6,cpu_golden,18.29598954299581,,,,,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I1:T6,torch_gpu,1.8060482799919555,0.0,1.0,1.8060482799919555,1.8060482799919555,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I1:T8,simulate_imu_prior,0.1010531180072575,,,,,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I1:T8,cpu_golden,18.68059226199693,,,,,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I1:T8,torch_gpu,1.9538277960091364,0.0,1.0,1.9538277960091364,1.9538277960091364,partial_raw_0000,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0000_cuda0
R2:L0:I3:T6,simulate_imu_prior,0.0995872420025989,,,,,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I3:T6,cpu_golden,18.12588881800184,,,,,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I3:T6,torch_gpu,1.9672031800000696,0.0,1.0,1.9672031800000696,1.9672031800000696,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I3:T8,simulate_imu_prior,0.1047920849960064,,,,,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I3:T8,cpu_golden,18.890899827994872,,,,,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I3:T8,torch_gpu,2.0041448249976384,0.0,1.0,2.0041448249976384,2.0041448249976384,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I4:T6,simulate_imu_prior,0.0960064509999938,,,,,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I4:T6,cpu_golden,19.03850788999989,,,,,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I4:T6,torch_gpu,1.9504601230000844,0.0,1.0,1.9504601230000844,1.9504601230000844,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I4:T8,simulate_imu_prior,0.0974541869945824,,,,,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I4:T8,cpu_golden,18.37273605499649,,,,,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I4:T8,torch_gpu,1.9437567869899797,0.0,1.0,1.9437567869899797,1.9437567869899797,partial_raw_0001,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0001_cuda1
R2:L0:I7:T6,simulate_imu_prior,0.0966496869950788,,,,,partial_raw_0002,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0002_cuda0
R2:L0:I7:T6,cpu_golden,18.143480371989423,,,,,partial_raw_0002,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0002_cuda0
R2:L0:I7:T6,torch_gpu,1.9810321520053549,0.0,1.0,1.9810321520053549,1.9810321520053549,partial_raw_0002,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0002_cuda0
R2:L0:I7:T8,simulate_imu_prior,0.1024066120007773,,,,,partial_raw_0002,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0002_cuda0
R2:L0:I7:T8,cpu_golden,18.683897020993754,,,,,partial_raw_0002,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0002_cuda0
R2:L0:I7:T8,torch_gpu,1.929401094996137,0.0,1.0,1.929401094996137,1.929401094996137,partial_raw_0002,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0002_cuda0
R2:L0:I8:T6,simulate_imu_prior,0.0937193790014134,,,,,partial_raw_0002,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0002_cuda0
