row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I0:T6,S00,simulate_imu_prior,L0:I0,0.0972820890019647,,,,,agreement_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0000_cuda0
R2:L0:I0:T6,S00,build_track_tensors,L0:I0,0.6157424540033389,,,,,agreement_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0000_cuda0
R2:L0:I0:T6,S00,cpu_golden,,0.2866887820018746,,,,,agreement_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0000_cuda0
R2:L0:I0:T6,S00,torch_gpu,,1.035248195999884,0.0,1.0,1.035248195999884,1.035248195999884,agreement_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0000_cuda0
R2:L2:I3:T6,S00,simulate_imu_prior,L2:I3,0.5640098519979801,,,,,agreement_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0000_cuda0
R2:L2:I3:T6,S00,build_track_tensors,L2:I3,0.1145165470006759,,,,,agreement_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0000_cuda0
R2:L2:I3:T6,S00,cpu_golden,,0.3864785629994003,,,,,agreement_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0000_cuda0
R2:L2:I3:T6,S00,torch_gpu,,0.1888701989992114,0.0,1.0,0.1888701989992114,0.1888701989992114,agreement_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0000_cuda0
R4:L8:I1+I2+I3+I8:T8,S00,simulate_imu_prior,L8:I1+I2+I3+I8,1.2057879329986465,,,,,agreement_0001,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S00,build_track_tensors,L8:I1+I2+I3+I8,0.5022574609974981,,,,,agreement_0001,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S00,cpu_golden,,0.1526519489998463,,,,,agreement_0001,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S00,torch_gpu,,0.4525852740007394,0.0,1.0,0.4525852740007394,0.4525852740007394,agreement_0001,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S00,simulate_imu_prior,L14:I1+I2+I3+I8,0.5747437780009932,,,,,agreement_0001,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S00,build_track_tensors,L14:I1+I2+I3+I8,0.105783181003062,,,,,agreement_0001,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S00,cpu_golden,,0.3798728900001151,,,,,agreement_0001,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S00,torch_gpu,,0.1926004519991693,0.0,1.0,0.1926004519991693,0.1926004519991693,agreement_0001,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_agreement_0001_cuda0
R2:L0:I0:T6,S00,load_imu_prior_cache,L0:I0,0.0237317710016213,,,,,partial_raw_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_partial_raw_0000_cuda0
R2:L0:I0:T6,S00,build_track_tensors,L0:I0,16.901544772001216,,,,,partial_raw_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_partial_raw_0000_cuda0
R2:L0:I0:T6,S00,torch_gpu,,13.7734880349999,0.0,1.0,13.7734880349999,13.7734880349999,partial_raw_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_partial_raw_0000_cuda0
R2:L0:I0:T8,S00,torch_gpu,,15.807559152999602,0.0,1.0,15.807559152999602,15.807559152999602,partial_raw_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_partial_raw_0000_cuda0
R2:L0:I1:T6,S00,simulate_imu_prior,L0:I1,0.0880815169984998,,,,,partial_raw_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_partial_raw_0000_cuda0
R2:L0:I1:T6,S00,build_track_tensors,L0:I1,11.95415305700226,,,,,partial_raw_0000,cuda:0,phase4_5090D_maxfeed_shm72_repeat10min_20260606T213510Z_partial_raw_0000_cuda0
