chunk_id,stage,rows,row_count,max_tracks,max_frames,estimated_cost,status,attempts,gpu_device,message,started_utc,child_run_id,wall_time_s,log_path,finished_utc
agreement_0000,agreement,"['R2:L0:I0:T6', 'R2:L2:I3:T6']",2,2,200,2,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.768857+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_agreement_0000_cuda0,4.633232832000431,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/agreement_0000_cuda0.log,2026-06-07T00:12:08.403340+00:00
agreement_0001,agreement,"['R4:L8:I1+I2+I3+I8:T8', 'R4:L14:I1+I2+I3+I8:T8']",2,2,200,2,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.769963+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_agreement_0001_cuda0,4.578752974999588,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/agreement_0001_cuda0.log,2026-06-07T00:12:08.352150+00:00
partial_raw_0000,partial_raw,"['R2:L0:I0:T6', 'R2:L0:I0:T8', 'R2:L0:I1:T6', 'R2:L0:I1:T8', 'R2:L0:I3:T6', 'R2:L0:I3:T8', 'R2:L0:I4:T6', 'R2:L0:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.773378+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0000_cuda0,4.6398874830010755,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0000_cuda0.log,2026-06-07T00:12:08.414181+00:00
partial_raw_0001,partial_raw,"['R2:L0:I7:T6', 'R2:L0:I7:T8', 'R2:L0:I8:T6', 'R2:L0:I8:T8', 'R2:L0:I1+I3+I7:T6', 'R2:L0:I1+I3+I7:T8', 'R2:L0:I1+I2+I3+I8:T6', 'R2:L0:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.774295+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0001_cuda0,5.227831153999432,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0001_cuda0.log,2026-06-07T00:12:09.003125+00:00
partial_raw_0002,partial_raw,"['R2:L1:I0:T6', 'R2:L1:I0:T8', 'R2:L1:I1:T6', 'R2:L1:I1:T8', 'R2:L1:I3:T6', 'R2:L1:I3:T8', 'R2:L1:I4:T6', 'R2:L1:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.775167+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0002_cuda0,5.240617820998523,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0002_cuda0.log,2026-06-07T00:12:09.016749+00:00
partial_raw_0003,partial_raw,"['R2:L1:I7:T6', 'R2:L1:I7:T8', 'R2:L1:I8:T6', 'R2:L1:I8:T8', 'R2:L1:I1+I3+I7:T6', 'R2:L1:I1+I3+I7:T8', 'R2:L1:I1+I2+I3+I8:T6', 'R2:L1:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.776053+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0003_cuda0,5.439219153999147,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0003_cuda0.log,2026-06-07T00:12:09.216935+00:00
partial_raw_0004,partial_raw,"['R2:L2:I0:T6', 'R2:L2:I0:T8', 'R2:L2:I1:T6', 'R2:L2:I1:T8', 'R2:L2:I3:T6', 'R2:L2:I3:T8', 'R2:L2:I4:T6', 'R2:L2:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.777296+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0004_cuda0,5.247664533000716,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0004_cuda0.log,2026-06-07T00:12:09.026080+00:00
partial_raw_0005,partial_raw,"['R2:L2:I7:T6', 'R2:L2:I7:T8', 'R2:L2:I8:T6', 'R2:L2:I8:T8', 'R2:L2:I1+I3+I7:T6', 'R2:L2:I1+I3+I7:T8', 'R2:L2:I1+I2+I3+I8:T6', 'R2:L2:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.778264+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0005_cuda0,5.390644271999918,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0005_cuda0.log,2026-06-07T00:12:09.169986+00:00
partial_raw_0006,partial_raw,"['R2:L3:I0:T6', 'R2:L3:I0:T8', 'R2:L3:I1:T6', 'R2:L3:I1:T8', 'R2:L3:I3:T6', 'R2:L3:I3:T8', 'R2:L3:I4:T6', 'R2:L3:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.779305+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0006_cuda0,5.693918693999876,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0006_cuda0.log,2026-06-07T00:12:09.474332+00:00
partial_raw_0007,partial_raw,"['R2:L3:I7:T6', 'R2:L3:I7:T8', 'R2:L3:I8:T6', 'R2:L3:I8:T8', 'R2:L3:I1+I3+I7:T6', 'R2:L3:I1+I3+I7:T8', 'R2:L3:I1+I2+I3+I8:T6', 'R2:L3:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.780280+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0007_cuda0,6.566679159001069,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0007_cuda0.log,2026-06-07T00:12:10.347999+00:00
