T,implemented_in_current_gpu_bootstrap,bootstrap_role,R,I
T1,False,planned_or_control,,
T2,False,planned_or_control,,
T3,False,planned_or_control,,
T4,False,planned_or_control,,
T5,False,planned_or_control,,
T6,True,raw_range_current_path,,
T7,False,planned_or_control,,
T8,True,raw_range_current_path,,
T9,False,planned_or_control,,
T10,False,planned_or_control,,
T11,False,planned_or_control,,
T12,False,planned_or_control,,
,True,raw_range_policy,R2,
,True,raw_range_policy,R4,
,True,current_imu_filter_chain,,I0
,True,current_imu_filter_chain,,I1
,True,current_imu_filter_chain,,I3
,True,current_imu_filter_chain,,I4
,True,current_imu_filter_chain,,I7
,True,current_imu_filter_chain,,I8
,True,current_imu_filter_chain,,I1+I3+I7
,True,current_imu_filter_chain,,I1+I2+I3+I8
