row_spec,seed_id,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I0:T6,S01,simulate_imu_prior,0.1665895949990954,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0000_cuda0
R2:L0:I0:T6,S01,cpu_golden,0.2006342470122035,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0000_cuda0
R2:L0:I0:T6,S01,torch_gpu,0.7004518229805399,0.0,1.0,0.7004518229805399,0.7004518229805399,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0000_cuda0
R2:L2:I3:T6,S01,simulate_imu_prior,0.811880679015303,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0000_cuda0
R2:L2:I3:T6,S01,cpu_golden,0.1914905649900902,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0000_cuda0
R2:L2:I3:T6,S01,torch_gpu,0.3074855399900116,0.0,1.0,0.3074855399900116,0.3074855399900116,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0000_cuda0
R4:L8:I1+I2+I3+I8:T8,S01,simulate_imu_prior,0.9791046310274396,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S01,cpu_golden,0.3194036679924465,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S01,torch_gpu,0.6983326689805835,0.0,1.0,0.6983326689805835,0.6983326689805835,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S01,simulate_imu_prior,1.0045359150099102,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S01,cpu_golden,0.330666902998928,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S01,torch_gpu,0.5033952009980567,0.0,1.0,0.5033952009980567,0.5033952009980567,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_agreement_0001_cuda0
R2:L0:I0:T6,S01,simulate_imu_prior,0.1139236429880838,,,,,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0000_cuda0
R2:L0:I0:T6,S01,cpu_golden,24.584882096009096,,,,,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0000_cuda0
R2:L0:I0:T6,S01,torch_gpu,2.701908053975785,0.0,1.0,2.701908053975785,2.701908053975785,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0000_cuda0
R2:L0:I0:T8,S01,simulate_imu_prior,0.1033176390046719,,,,,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0000_cuda0
R2:L0:I0:T8,S01,cpu_golden,21.370744162006304,,,,,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0000_cuda0
R2:L0:I0:T8,S01,torch_gpu,2.9863242419960443,0.0,1.0,2.9863242419960443,2.9863242419960443,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0000_cuda0
R2:L0:I1:T6,S01,simulate_imu_prior,0.1563739220146089,,,,,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0001_cuda0
R2:L0:I1:T6,S01,cpu_golden,22.831223406014036,,,,,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0001_cuda0
R2:L0:I1:T6,S01,torch_gpu,3.4372935200226493,0.0,1.0,3.4372935200226493,3.4372935200226493,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0001_cuda0
R2:L0:I1:T8,S01,simulate_imu_prior,0.1521994879876729,,,,,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0001_cuda0
R2:L0:I1:T8,S01,cpu_golden,29.108369474997744,,,,,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0001_cuda0
