chunk_id,stage,rows,row_count,max_tracks,max_frames,estimated_cost,status,attempts,gpu_device,message,started_utc,child_run_id,wall_time_s,log_path,finished_utc
agreement_0000,agreement,"['R2:L0:I0:T6', 'R2:L2:I3:T6']",2,2,200,2,done,1,cuda:0,ok,2026-06-05T13:25:00.691029+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0000_cuda0,5.4616071739874315,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/agreement_0000_cuda0.log,2026-06-05T13:25:06.154926+00:00
agreement_0001,agreement,"['R4:L8:I1+I2+I3+I8:T8', 'R4:L14:I1+I2+I3+I8:T8']",2,2,200,2,done,1,cuda:0,ok,2026-06-05T13:25:00.693250+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0001_cuda0,7.35702900699107,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/agreement_0001_cuda0.log,2026-06-05T13:25:08.056037+00:00
partial_raw_0000,partial_raw,"['R2:L0:I0:T6', 'R2:L0:I0:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:25:00.698909+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0000_cuda0,84.19357529998524,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0000_cuda0.log,2026-06-05T13:26:24.894893+00:00
partial_raw_0001,partial_raw,"['R2:L0:I1:T6', 'R2:L0:I1:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:25:00.701207+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0001_cuda0,80.50107469802606,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0001_cuda0.log,2026-06-05T13:26:21.204775+00:00
partial_raw_0002,partial_raw,"['R2:L0:I3:T6', 'R2:L0:I3:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:25:00.703604+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0002_cuda1,90.92755107601988,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0002_cuda1.log,2026-06-05T13:26:31.636067+00:00
partial_raw_0003,partial_raw,"['R2:L0:I4:T6', 'R2:L0:I4:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:25:00.708405+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0003_cuda1,92.23472835199209,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0003_cuda1.log,2026-06-05T13:26:32.949300+00:00
partial_raw_0004,partial_raw,"['R2:L0:I7:T6', 'R2:L0:I7:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:25:00.714579+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0004_cuda1,94.82107666900265,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0004_cuda1.log,2026-06-05T13:26:35.540425+00:00
partial_raw_0005,partial_raw,"['R2:L0:I8:T6', 'R2:L0:I8:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:25:00.719238+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0005_cuda1,105.89910601399606,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0005_cuda1.log,2026-06-05T13:26:46.623418+00:00
partial_raw_0006,partial_raw,"['R2:L0:I1+I3+I7:T6', 'R2:L0:I1+I3+I7:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:25:06.158200+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0006_cuda0,87.34827546300949,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0006_cuda0.log,2026-06-05T13:26:33.511061+00:00
partial_raw_0007,partial_raw,"['R2:L0:I1+I2+I3+I8:T6', 'R2:L0:I1+I2+I3+I8:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:25:08.062012+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0007_cuda0,77.3815246860031,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0007_cuda0.log,2026-06-05T13:26:25.447643+00:00
partial_raw_0008,partial_raw,"['R2:L1:I0:T6', 'R2:L1:I0:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:26:21.211822+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0008_cuda0,86.76206619801815,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0008_cuda0.log,2026-06-05T13:27:47.982814+00:00
partial_raw_0009,partial_raw,"['R2:L1:I1:T6', 'R2:L1:I1:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:26:24.900463+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0009_cuda0,87.4739951689844,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0009_cuda0.log,2026-06-05T13:27:52.379697+00:00
partial_raw_0010,partial_raw,"['R2:L1:I3:T6', 'R2:L1:I3:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:26:25.453564+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0010_cuda0,88.75213241300662,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0010_cuda0.log,2026-06-05T13:27:54.209451+00:00
partial_raw_0011,partial_raw,"['R2:L1:I4:T6', 'R2:L1:I4:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:26:31.642779+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0011_cuda1,99.235828948993,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0011_cuda1.log,2026-06-05T13:28:10.883082+00:00
partial_raw_0012,partial_raw,"['R2:L1:I7:T6', 'R2:L1:I7:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:26:32.955417+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0012_cuda1,100.11664781000582,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0012_cuda1.log,2026-06-05T13:28:13.076082+00:00
partial_raw_0013,partial_raw,"['R2:L1:I8:T6', 'R2:L1:I8:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:26:33.516676+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0013_cuda0,85.86191460600821,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0013_cuda0.log,2026-06-05T13:27:59.382290+00:00
