chunk_id,stage,rows,row_count,max_tracks,max_frames,estimated_cost,status,attempts,gpu_device,message,started_utc,child_run_id,wall_time_s,log_path,finished_utc
agreement_0000,agreement,"['R2:L0:I0:T6', 'R2:L2:I3:T6']",2,2,200,2,done,1,cuda:0,ok,2026-06-06T22:23:13.810400+00:00,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z_agreement_0000_cuda0,5.792559372000142,runs/phase4_algorithm_factory/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z/logs/agreement_0000_cuda0.log,2026-06-06T22:23:19.604992+00:00
agreement_0001,agreement,"['R4:L8:I1+I2+I3+I8:T8', 'R4:L14:I1+I2+I3+I8:T8']",2,2,200,2,done,1,cuda:0,ok,2026-06-06T22:23:13.811132+00:00,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z_agreement_0001_cuda0,6.338256270999864,runs/phase4_algorithm_factory/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z/logs/agreement_0001_cuda0.log,2026-06-06T22:23:20.152780+00:00
partial_raw_0000,partial_raw,"['R2:L0:I0:T6', 'R2:L0:I0:T8', 'R2:L0:I1:T6', 'R2:L0:I1:T8', 'R2:L0:I3:T6', 'R2:L0:I3:T8', 'R2:L0:I4:T6', 'R2:L0:I4:T8']",8,0,0,64,done,1,cuda:0,ok,2026-06-06T22:23:13.814349+00:00,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z_partial_raw_0000_cuda0,119.86204488800013,runs/phase4_algorithm_factory/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z/logs/partial_raw_0000_cuda0.log,2026-06-06T22:25:13.677180+00:00
partial_raw_0001,partial_raw,"['R2:L0:I7:T6', 'R2:L0:I7:T8', 'R2:L0:I8:T6', 'R2:L0:I8:T8', 'R2:L0:I1+I3+I7:T6', 'R2:L0:I1+I3+I7:T8', 'R2:L0:I1+I2+I3+I8:T6', 'R2:L0:I1+I2+I3+I8:T8']",8,0,0,64,done,1,cuda:0,ok,2026-06-06T22:23:13.815014+00:00,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z_partial_raw_0001_cuda0,124.32101090399965,runs/phase4_algorithm_factory/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z/logs/partial_raw_0001_cuda0.log,2026-06-06T22:25:18.136730+00:00
partial_raw_0002,partial_raw,"['R2:L1:I0:T6', 'R2:L1:I0:T8', 'R2:L1:I1:T6', 'R2:L1:I1:T8', 'R2:L1:I3:T6', 'R2:L1:I3:T8', 'R2:L1:I4:T6', 'R2:L1:I4:T8']",8,0,0,64,done,1,cuda:0,ok,2026-06-06T22:23:13.815574+00:00,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z_partial_raw_0002_cuda0,123.98439129000008,runs/phase4_algorithm_factory/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z/logs/partial_raw_0002_cuda0.log,2026-06-06T22:25:17.800949+00:00
partial_raw_0003,partial_raw,"['R2:L1:I7:T6', 'R2:L1:I7:T8', 'R2:L1:I8:T6', 'R2:L1:I8:T8', 'R2:L1:I1+I3+I7:T6', 'R2:L1:I1+I3+I7:T8', 'R2:L1:I1+I2+I3+I8:T6', 'R2:L1:I1+I2+I3+I8:T8']",8,0,0,64,done,1,cuda:0,ok,2026-06-06T22:23:13.816424+00:00,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z_partial_raw_0003_cuda0,143.13693939299992,runs/phase4_algorithm_factory/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z/logs/partial_raw_0003_cuda0.log,2026-06-06T22:25:36.954176+00:00
partial_raw_0004,partial_raw,"['R2:L2:I0:T6', 'R2:L2:I0:T8', 'R2:L2:I1:T6', 'R2:L2:I1:T8', 'R2:L2:I3:T6', 'R2:L2:I3:T8', 'R2:L2:I4:T6', 'R2:L2:I4:T8']",8,0,0,64,done,1,cuda:0,ok,2026-06-06T22:23:13.817119+00:00,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z_partial_raw_0004_cuda0,115.03764271399996,runs/phase4_algorithm_factory/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z/logs/partial_raw_0004_cuda0.log,2026-06-06T22:25:08.855737+00:00
partial_raw_0005,partial_raw,"['R2:L2:I7:T6', 'R2:L2:I7:T8', 'R2:L2:I8:T6', 'R2:L2:I8:T8', 'R2:L2:I1+I3+I7:T6', 'R2:L2:I1+I3+I7:T8', 'R2:L2:I1+I2+I3+I8:T6', 'R2:L2:I1+I2+I3+I8:T8']",8,0,0,64,done,1,cuda:0,ok,2026-06-06T22:23:13.818119+00:00,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z_partial_raw_0005_cuda0,154.30033031500034,runs/phase4_algorithm_factory/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z/logs/partial_raw_0005_cuda0.log,2026-06-06T22:25:48.119237+00:00
partial_raw_0006,partial_raw,"['R2:L3:I0:T6', 'R2:L3:I0:T8', 'R2:L3:I1:T6', 'R2:L3:I1:T8', 'R2:L3:I3:T6', 'R2:L3:I3:T8', 'R2:L3:I4:T6', 'R2:L3:I4:T8']",8,0,0,64,done,1,cuda:0,ok,2026-06-06T22:23:13.818783+00:00,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z_partial_raw_0006_cuda0,123.48041434900006,runs/phase4_algorithm_factory/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z/logs/partial_raw_0006_cuda0.log,2026-06-06T22:25:17.300271+00:00
partial_raw_0007,partial_raw,"['R2:L3:I7:T6', 'R2:L3:I7:T8', 'R2:L3:I8:T6', 'R2:L3:I8:T8', 'R2:L3:I1+I3+I7:T6', 'R2:L3:I1+I3+I7:T8', 'R2:L3:I1+I2+I3+I8:T6', 'R2:L3:I1+I2+I3+I8:T8']",8,0,0,64,done,1,cuda:0,ok,2026-06-06T22:23:13.819721+00:00,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z_partial_raw_0007_cuda0,139.54869563500006,runs/phase4_algorithm_factory/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z/logs/partial_raw_0007_cuda0.log,2026-06-06T22:25:33.369379+00:00
