experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,L,I,T,kind,seed_id,experiment_uid,verdict,screening_score,rank,R
X_A2_U4_P3_L16_I0_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,98.32221344674474,163.2578930136724,183.14714790490714,112.31154868181555,40661,58.76873616378891,112.57762216047699,131.29418301281387,74.25094169261624,40661,62.102394177680935,137.15539994058213,157.22308865223,84.26554233533139,100.39518694231992,175.42596333691736,113.75369199775236,122.644120764348,155.46892211229445,84.10064342656881,61.111691633074415,40.74629314206214,20.18017670404194,89.72619400646055,163.70519156617814,nan,nan,nan,nan,nan,nan,nan,nan,17,38.72176792946932,19.959060081311293,71.15763530999801,A2,U4,P3,L16,I0,T1,uwb_only,S00,X_A2_U4_P3_L16_I0_T1__S00,FUSION_UNRANKED,198.9896000128905,1,
X_A2_U4_P3_L16_I1_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,98.32221344674474,163.2578930136724,183.14714790490714,112.31154868181555,40661,58.76873616378891,112.57762216047699,131.29418301281387,74.25094169261624,40661,62.102394177680935,137.15539994058213,157.22308865223,84.26554233533139,100.39518694231992,175.42596333691736,113.75369199775236,122.644120764348,155.46892211229445,84.10064342656881,61.111691633074415,40.74629314206214,20.18017670404194,89.72619400646055,163.70519156617814,nan,nan,nan,nan,nan,nan,nan,nan,17,38.72176792946932,19.959060081311293,71.15763530999801,A2,U4,P3,L16,I1,T1,uwb_only,S00,X_A2_U4_P3_L16_I1_T1__S00,FUSION_UNRANKED,198.9896000128905,2,
X_A2_U4_P3_L16_I2_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,98.32221344674474,163.2578930136724,183.14714790490714,112.31154868181555,40661,58.76873616378891,112.57762216047699,131.29418301281387,74.25094169261624,40661,62.102394177680935,137.15539994058213,157.22308865223,84.26554233533139,100.39518694231992,175.42596333691736,113.75369199775236,122.644120764348,155.46892211229445,84.10064342656881,61.111691633074415,40.74629314206214,20.18017670404194,89.72619400646055,163.70519156617814,nan,nan,nan,nan,nan,nan,nan,nan,17,38.72176792946932,19.959060081311293,71.15763530999801,A2,U4,P3,L16,I2,T1,uwb_only,S00,X_A2_U4_P3_L16_I2_T1__S00,FUSION_UNRANKED,198.9896000128905,3,
X_A2_U4_P3_L16_I3_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,98.32221344674474,163.2578930136724,183.14714790490714,112.31154868181555,40661,58.76873616378891,112.57762216047699,131.29418301281387,74.25094169261624,40661,62.102394177680935,137.15539994058213,157.22308865223,84.26554233533139,100.39518694231992,175.42596333691736,113.75369199775236,122.644120764348,155.46892211229445,84.10064342656881,61.111691633074415,40.74629314206214,20.18017670404194,89.72619400646055,163.70519156617814,nan,nan,nan,nan,nan,nan,nan,nan,17,38.72176792946932,19.959060081311293,71.15763530999801,A2,U4,P3,L16,I3,T1,uwb_only,S00,X_A2_U4_P3_L16_I3_T1__S00,FUSION_UNRANKED,198.9896000128905,4,
X_A2_U4_P3_L16_I4_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,98.32221344674474,163.2578930136724,183.14714790490714,112.31154868181555,40661,58.76873616378891,112.57762216047699,131.29418301281387,74.25094169261624,40661,62.102394177680935,137.15539994058213,157.22308865223,84.26554233533139,100.39518694231992,175.42596333691736,113.75369199775236,122.644120764348,155.46892211229445,84.10064342656881,61.111691633074415,40.74629314206214,20.18017670404194,89.72619400646055,163.70519156617814,nan,nan,nan,nan,nan,nan,nan,nan,17,38.72176792946932,19.959060081311293,71.15763530999801,A2,U4,P3,L16,I4,T1,uwb_only,S00,X_A2_U4_P3_L16_I4_T1__S00,FUSION_UNRANKED,198.9896000128905,5,
X_A2_U4_P3_L16_I5_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,98.32221344674474,163.2578930136724,183.14714790490714,112.31154868181555,40661,58.76873616378891,112.57762216047699,131.29418301281387,74.25094169261624,40661,62.102394177680935,137.15539994058213,157.22308865223,84.26554233533139,100.39518694231992,175.42596333691736,113.75369199775236,122.644120764348,155.46892211229445,84.10064342656881,61.111691633074415,40.74629314206214,20.18017670404194,89.72619400646055,163.70519156617814,nan,nan,nan,nan,nan,nan,nan,nan,17,38.72176792946932,19.959060081311293,71.15763530999801,A2,U4,P3,L16,I5,T1,uwb_only,S00,X_A2_U4_P3_L16_I5_T1__S00,FUSION_UNRANKED,198.9896000128905,6,
X_A2_U4_P3_L16_I6_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,98.32221344674474,163.2578930136724,183.14714790490714,112.31154868181555,40661,58.76873616378891,112.57762216047699,131.29418301281387,74.25094169261624,40661,62.102394177680935,137.15539994058213,157.22308865223,84.26554233533139,100.39518694231992,175.42596333691736,113.75369199775236,122.644120764348,155.46892211229445,84.10064342656881,61.111691633074415,40.74629314206214,20.18017670404194,89.72619400646055,163.70519156617814,nan,nan,nan,nan,nan,nan,nan,nan,17,38.72176792946932,19.959060081311293,71.15763530999801,A2,U4,P3,L16,I6,T1,uwb_only,S00,X_A2_U4_P3_L16_I6_T1__S00,FUSION_UNRANKED,198.9896000128905,7,
X_A2_U4_P3_L16_I7_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,98.32221344674474,163.2578930136724,183.14714790490714,112.31154868181555,40661,58.76873616378891,112.57762216047699,131.29418301281387,74.25094169261624,40661,62.102394177680935,137.15539994058213,157.22308865223,84.26554233533139,100.39518694231992,175.42596333691736,113.75369199775236,122.644120764348,155.46892211229445,84.10064342656881,61.111691633074415,40.74629314206214,20.18017670404194,89.72619400646055,163.70519156617814,nan,nan,nan,nan,nan,nan,nan,nan,17,38.72176792946932,19.959060081311293,71.15763530999801,A2,U4,P3,L16,I7,T1,uwb_only,S00,X_A2_U4_P3_L16_I7_T1__S00,FUSION_UNRANKED,198.9896000128905,8,
X_A2_U4_P3_L16_I8_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,98.32221344674474,163.2578930136724,183.14714790490714,112.31154868181555,40661,58.76873616378891,112.57762216047699,131.29418301281387,74.25094169261624,40661,62.102394177680935,137.15539994058213,157.22308865223,84.26554233533139,100.39518694231992,175.42596333691736,113.75369199775236,122.644120764348,155.46892211229445,84.10064342656881,61.111691633074415,40.74629314206214,20.18017670404194,89.72619400646055,163.70519156617814,nan,nan,nan,nan,nan,nan,nan,nan,17,38.72176792946932,19.959060081311293,71.15763530999801,A2,U4,P3,L16,I8,T1,uwb_only,S00,X_A2_U4_P3_L16_I8_T1__S00,FUSION_UNRANKED,198.9896000128905,9,
X_A2_U4_P0_L16_I0_T3,loose_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,98.83068476854544,167.81932384931415,191.8706041639065,117.4226664394222,40661,57.8448466610725,112.76319763657486,134.1067199160524,74.61309112771013,40661,63.84177963479499,142.27389265554416,165.7201362632875,90.66956063702875,100.51848825314362,186.0139376813776,114.3522903430723,125.77496583021892,164.29582148376556,84.31844934479507,62.13219181505319,42.35232251315415,21.73614999944749,91.20252641893882,161.22958529891878,nan,nan,nan,1.0,0.13795951805103707,0.6410695741040169,nan,nan,17,33.36539523454109,19.38088550270203,64.3060076038575,A2,U4,P0,L16,I0,T3,position_fusion,S00,X_A2_U4_P0_L16_I0_T3__S00,FUSION_UNRANKED,199.84721810552827,10,
X_A2_U4_P0_L16_I0_T4,loose_ukf_screening,Phase4 L16 single-I position row.,34,17,40661,97.35920577554795,165.07648495707576,188.29281954643193,115.26267659372726,40661,56.73167788414425,110.78305709800165,131.5124757976686,73.13799794649513,40661,63.06197762852355,139.95387030098755,162.61313535004285,89.0860138962825,98.98178847088593,182.41546635038392,112.77515777845149,122.46647051704636,161.75693159608906,85.19845672605919,62.09216067219545,40.6511942050372,21.616196284255153,88.72060589093911,157.387392243193,nan,nan,nan,1.0,0.1964137637784933,0.9090900759035112,nan,nan,17,37.81843576440671,19.804264201320507,78.776469287106,A2,U4,P0,L16,I0,T4,position_fusion,S00,X_A2_U4_P0_L16_I0_T4__S00,FUSION_UNRANKED,200.10820487073255,11,
X_A2_U4_P0_L16_I7_T5,error_state_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,97.29501879467368,164.22496657783964,187.4922730208695,114.81729577287246,40661,56.28540756241482,109.7756335780398,130.37083630033428,72.50797534521622,40661,63.324108674694685,140.27893172542713,162.2616470735952,89.02586657782551,98.36481510754346,181.91738606940663,113.54324152231561,123.28626985567993,161.42506725944372,84.92340837070817,62.672112009236955,43.57905725712095,21.506057090733407,88.28800770284883,153.52500555889338,nan,nan,nan,1.0,0.2355768776338007,1.1265512246793241,nan,nan,17,39.737910325150025,19.959014658436615,83.08962475651613,A2,U4,P0,L16,I7,T5,position_fusion,S00,X_A2_U4_P0_L16_I7_T5__S00,FUSION_UNRANKED,200.6054660048075,12,
X_A2_U4_P0_L16_I1_T5,error_state_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,97.42657037959448,164.6467841075664,187.7777907922139,115.05440412860615,40661,56.714104582742465,110.47003436143925,130.88690532227778,72.93890044049944,40661,63.151226101532416,140.11254092472734,162.48781718613827,88.9799567988181,99.23067643661912,181.46890872146395,112.89533189919698,124.0965211944437,160.0575798269558,85.25889608595375,62.10320875308685,42.283872060078465,21.572267010930915,88.42208805607879,154.3807810329739,nan,nan,nan,1.0,0.2225434219848908,1.0650910634174102,nan,nan,17,38.888241736545574,19.932748307136194,80.78102085415804,A2,U4,P0,L16,I1,T5,position_fusion,S00,X_A2_U4_P0_L16_I1_T5__S00,FUSION_UNRANKED,200.75269721017884,13,
X_A2_U4_P3_L16_I0_T5,error_state_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,96.56262671555528,159.98507650574118,179.37917104186045,110.01683989671871,40661,57.30794973400808,109.78390905197898,127.80942402894874,72.31196940625429,40661,61.37648717668844,134.78833307974037,154.49168394279377,82.91371503828047,98.22119642524603,173.04656677294776,111.04678024674544,119.70300294667936,151.803964481192,84.00698946183623,60.55918036645306,41.368152915676035,20.01731198139788,87.8335985768705,152.84864327073825,nan,nan,nan,1.0,0.052469602221815334,0.2150575341114911,nan,nan,17,45.766634829585094,19.69016373937228,88.3276381252793,A2,U4,P3,L16,I0,T5,position_fusion,S00,X_A2_U4_P3_L16_I0_T5__S00,FUSION_UNRANKED,200.83279516718625,14,
X_A2_U4_P0_L16_I0_T5,error_state_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,101.92872794883723,173.44322843647834,199.46448087041827,121.83246460527029,40661,59.97983365169219,117.17703758028239,139.28416271645253,77.65435051865583,40661,65.43004154608889,146.76015915788753,171.34126610438057,93.87732035651729,103.00617585338424,194.26606469924582,118.40561093826375,131.97150335363435,168.27830791338266,86.87046330549276,62.48631136944363,40.11447580164253,22.172664819130404,94.23863587927406,173.19279796390498,nan,nan,nan,1.0,0.07852478381251465,0.37003305391858043,nan,nan,17,26.935179767989172,18.65497620830746,50.141764449787594,A2,U4,P0,L16,I0,T5,position_fusion,S00,X_A2_U4_P0_L16_I0_T5__S00,FUSION_UNRANKED,200.94025674527785,15,
X_A2_U4_P0_L16_I3_T5,error_state_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,96.81918695466696,163.08164508613777,185.88992901745348,114.00736884734225,40661,56.310016705703845,109.45702122064876,129.48303547953833,72.22701054265829,40661,62.893767256620094,138.90813437731867,161.06129623414904,88.20963155781045,98.0356597333899,179.9783469996056,111.54625893174689,121.50939657304639,159.54513359167578,85.44343659200466,63.23856243446636,42.79979748608446,21.482687892288055,87.98605469254329,151.6201792407356,nan,nan,nan,1.0,0.23859467460088737,1.14667332901313,nan,nan,17,42.01645054279339,20.150194758370787,91.13465987230244,A2,U4,P0,L16,I3,T5,position_fusion,S00,X_A2_U4_P0_L16_I3_T5__S00,FUSION_UNRANKED,201.18094050935127,16,
X_A2_U4_P0_L16_I2_T5,error_state_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,97.2128550006553,163.86955389840824,187.20080354388782,114.72902149397538,40661,56.58630297753716,110.09344713817534,130.43778215229062,72.76883798696205,40661,62.979864642064285,139.5529380642065,161.88055689467092,88.69861662389292,99.83043290820245,181.1208805190642,112.63142281164275,123.89622885702116,159.00861389033378,85.15202410372922,63.262316691432055,42.4628120792832,21.522793188273255,88.34374361652607,153.6512989042312,nan,nan,nan,1.0,0.2272476650267414,1.0761282885529855,nan,nan,17,39.15050230259908,19.97421117170444,81.10410772343016,A2,U4,P0,L16,I2,T5,position_fusion,S00,X_A2_U4_P0_L16_I2_T5__S00,FUSION_UNRANKED,201.3894892958309,17,
X_A2_U4_P0_L16_I4_T5,error_state_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,95.988715090004,161.59080964683514,183.58306744706215,112.89894277040136,40661,55.45793689695219,107.88239205560933,127.70711952922476,71.20644262445084,40661,62.747692453518766,138.28313882058046,159.86336222861723,87.61172186097676,98.32398733579419,178.28384095246474,111.68350810079033,120.3685340996791,157.91577752319745,84.9855752572801,64.42878687773519,44.05066820857752,21.371862908948373,87.03391534135423,149.8190510518725,nan,nan,nan,1.0,0.26840995659648426,1.2710294428527056,nan,nan,17,45.521142773226366,20.43183201185923,102.3874580299391,A2,U4,P0,L16,I4,T5,position_fusion,S00,X_A2_U4_P0_L16_I4_T5__S00,FUSION_UNRANKED,203.2740630648895,18,
X_A2_U4_P0_L16_I0_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,104.47503409732245,178.3231016429441,206.1889222480439,125.39509954748621,40661,61.73802093869074,120.72794024933711,143.32680612429232,80.13126215636703,40661,66.87835610225352,150.17987488728772,176.18877501884754,96.45160348978939,105.58545344419053,200.43321386993458,121.94037510970881,137.17785740362655,172.02692172777387,87.93693208160249,62.33296994296444,40.855388781204226,22.584509704559707,96.58832002222414,180.43440234687034,nan,nan,nan,nan,nan,nan,nan,nan,17,23.597638476516302,18.17690556704838,42.03355222175333,A2,U4,P0,L16,I0,T1,uwb_only,S00,X_A2_U4_P0_L16_I0_T1__S00,FUSION_UNRANKED,203.5476800845089,19,
X_A2_U4_P0_L16_I1_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,104.47503409732245,178.3231016429441,206.1889222480439,125.39509954748621,40661,61.73802093869074,120.72794024933711,143.32680612429232,80.13126215636703,40661,66.87835610225352,150.17987488728772,176.18877501884754,96.45160348978939,105.58545344419053,200.43321386993458,121.94037510970881,137.17785740362655,172.02692172777387,87.93693208160249,62.33296994296444,40.855388781204226,22.584509704559707,96.58832002222414,180.43440234687034,nan,nan,nan,nan,nan,nan,nan,nan,17,23.597638476516302,18.17690556704838,42.03355222175333,A2,U4,P0,L16,I1,T1,uwb_only,S00,X_A2_U4_P0_L16_I1_T1__S00,FUSION_UNRANKED,203.5476800845089,20,
X_A2_U4_P0_L16_I2_T1,uwb_only_control_repeated_for_matrix,Phase4 L16 single-I position row.,34,17,40661,104.47503409732245,178.3231016429441,206.1889222480439,125.39509954748621,40661,61.73802093869074,120.72794024933711,143.32680612429232,80.13126215636703,40661,66.87835610225352,150.17987488728772,176.18877501884754,96.45160348978939,105.58545344419053,200.43321386993458,121.94037510970881,137.17785740362655,172.02692172777387,87.93693208160249,62.33296994296444,40.855388781204226,22.584509704559707,96.58832002222414,180.43440234687034,nan,nan,nan,nan,nan,nan,nan,nan,17,23.597638476516302,18.17690556704838,42.03355222175333,A2,U4,P0,L16,I2,T1,uwb_only,S00,X_A2_U4_P0_L16_I2_T1__S00,FUSION_UNRANKED,203.5476800845089,21,
