experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,L,I,T,kind,seed_id,experiment_uid,U,P,R
X_A0_L3_I0_T11,imu_only_diagnostic_screening,Phase4 L3 single-I T11.,34,17,40661,7312.604984869442,34149.61885286263,43419.70404723303,19369.37310404996,40661,5285.245193238013,26358.51698695917,35085.361391475395,15317.582484165492,40661,3707.0644802768807,20508.367961311615,26671.733286949016,11855.137337234033,8725.0320839878,37168.9465331037,17597.238295962907,25164.887725702178,20622.509326603846,37681.32884928782,37388.82921195659,4878.489629664713,25931.944948353408,524.2295958328464,981.2500041571943,41588.85122465304,27615.653234253987,346.70652410798675,nan,nan,nan,nan,nan,17,78570.87631997252,27731.95802421309,146450.2324469117,A0,L3,I0,T11,imu_only,S00,X_A0_L3_I0_T11__S00,,,
X_A0_L3_I0_T12,imu_only_diagnostic_screening,Phase4 L3 single-I T12.,34,17,40661,7312.206940213693,34151.58822320086,43422.570027121685,19369.359833778486,40661,5284.8402671936165,26355.612358144816,35086.947525352276,15317.572084343023,40661,3707.694203415148,20509.561595933694,26671.84857266272,11855.12909298531,8723.525746108366,37166.30264778906,17597.227563461503,25164.21383992611,20621.26684597249,37703.66947459499,37411.300459964856,4880.622391366578,25955.244918019194,521.9672049226452,976.1009969037693,41588.85122465304,27615.653234253987,346.70652410798675,nan,nan,nan,nan,nan,17,78901.71081641006,27519.035034949557,146908.32056996878,A0,L3,I0,T12,imu_only,S00,X_A0_L3_I0_T12__S00,,,
X_A0_L3_I1_T11,imu_only_diagnostic_screening,Phase4 L3 single-I T11.,34,17,40661,4141.606338375413,17479.596748233205,22820.57854802135,10032.735101100434,40661,2764.311995846261,12574.649650917883,17834.27605259179,7743.3496067128945,40661,1576.9896913507487,9987.773182449882,14409.41892597009,6379.365993346986,4708.676889871266,16656.34014483382,7998.268947979073,9744.792977476436,8616.748582093069,11399.356836061903,9497.37339671261,1702.8389355672284,6630.933034584035,498.5062038308565,938.86694589334,18546.77123306685,10775.0276616257,154.64104118123134,nan,nan,nan,nan,nan,17,43468.09025246143,14081.712785450665,79108.95729734695,A0,L3,I1,T11,imu_only,S00,X_A0_L3_I1_T11__S00,,,
X_A0_L3_I1_T12,imu_only_diagnostic_screening,Phase4 L3 single-I T12.,34,17,40661,4141.039321732212,17478.25828678607,22821.16668151054,10032.728995542957,40661,2764.057819414461,12575.542491753324,17834.52110320754,7743.345059168509,40661,1576.9584584993086,9988.035032610613,14407.9815683911,6379.361911089467,4709.070967282416,16659.48633026067,7998.261142095382,9745.037313873556,8616.782507014252,11406.68322699549,9506.300574650804,1701.7789672142317,6647.835416892098,496.7771580863589,935.6686967063179,18546.77123306685,10775.0276616257,154.64104118123134,nan,nan,nan,nan,nan,17,43574.241610898745,14110.573610944215,79312.33406922618,A0,L3,I1,T12,imu_only,S00,X_A0_L3_I1_T12__S00,,,
X_A0_L3_I2_T11,imu_only_diagnostic_screening,Phase4 L3 single-I T11.,34,17,40661,4328.952434615667,18829.669773922687,24647.96825497111,10743.87659528299,40661,3111.117461130012,15583.432710877236,20862.172167573164,9148.004048675537,40661,1385.7640647778478,8910.817527045725,13951.45722105308,5634.261816785373,5608.455301459595,18148.49883681353,9245.380552954812,14961.866489316697,6513.230203904479,12148.446271880533,11828.337842088435,1591.0875623233337,10780.645423071712,484.3398629284761,957.7272670512205,20390.85089422455,16839.951047460272,170.00150513213353,nan,nan,nan,nan,nan,17,47694.52637237572,12601.858430318915,121406.01174488719,A0,L3,I2,T11,imu_only,S00,X_A0_L3_I2_T11__S00,,,
X_A0_L3_I2_T12,imu_only_diagnostic_screening,Phase4 L3 single-I T12.,34,17,40661,4329.672684472344,18832.933683724983,24647.812939649953,10743.869819000942,40661,3110.7660695964487,15584.711018299371,20861.760104608504,9147.998539163393,40661,1385.8790628366767,8910.702385154676,13952.113348078621,5634.257840665773,5606.954367621647,18148.004669720103,9245.375690141598,14962.56891508869,6515.952076612542,12171.040607539515,11844.93110265144,1591.2763964300223,10806.148485785365,482.4370541259005,953.359170194246,20390.85089422455,16839.951047460272,170.00150513213353,nan,nan,nan,nan,nan,17,47774.92174364048,12627.953566450346,121462.18608541449,A0,L3,I2,T12,imu_only,S00,X_A0_L3_I2_T12__S00,,,
X_A0_L3_I3_T11,imu_only_diagnostic_screening,Phase4 L3 single-I T11.,34,17,40661,2353.708746131115,10957.191579292956,14025.070946033904,6177.717642711799,40661,1634.7692480049216,9014.428898473014,11658.833352881391,5036.970214466002,40661,783.459988383434,5949.514990116411,8184.721188457631,3576.7480106452767,2567.3952876974736,11574.052333797335,5262.189078610714,9850.254600850643,5363.041987910579,6353.087221685155,6277.889728745085,1116.4287483463957,4976.579536578414,399.7910508913086,761.8325767106442,13121.45216209413,10811.060937753398,109.39743813557851,nan,nan,nan,nan,nan,17,24740.903139848997,8716.423676325072,57460.48609516321,A0,L3,I3,T11,imu_only,S00,X_A0_L3_I3_T11__S00,,,
X_A0_L3_I3_T12,imu_only_diagnostic_screening,Phase4 L3 single-I T12.,34,17,40661,2354.601403451137,10957.599886866328,14027.27365822545,6177.714232008884,40661,1635.4435024383217,9012.904412258295,11659.255895465358,5036.967879432985,40661,783.3625410408995,5949.198826267626,8183.867793760607,3576.7454080386387,2567.9795251598694,11574.368000406335,5262.185330374616,9851.255830771548,5363.143258524402,6353.869586467183,6277.850654722986,1116.9567188532105,4982.684004501823,399.16311586137624,758.016227262325,13121.45216209413,10811.060937753398,109.39743813557851,nan,nan,nan,nan,nan,17,24753.954153564137,8741.898891167599,57415.24359723102,A0,L3,I3,T12,imu_only,S00,X_A0_L3_I3_T12__S00,,,
X_A0_L3_I4_T11,imu_only_diagnostic_screening,Phase4 L3 single-I T11.,34,17,40661,3264.7612558177134,12636.981215557387,16043.48896602909,7263.5147824481055,40661,2333.6256038885717,10158.392987649617,13125.423351077743,5872.87641353641,40661,1302.9180536261554,7290.693410891905,9503.640884520693,4274.104540856468,3354.480730707747,13229.839472180383,6497.988412220277,10034.562884332114,7331.425489929854,7670.752356480486,6799.144318076325,1747.7091163852156,4276.983208033302,649.3125460898086,1146.0066036258213,14614.338824729846,10888.335920343783,124.85321889859964,nan,nan,nan,nan,nan,17,12758.068997658005,2722.672810506381,29270.750209067002,A0,L3,I4,T11,imu_only,S00,X_A0_L3_I4_T11__S00,,,
X_A0_L3_I4_T12,imu_only_diagnostic_screening,Phase4 L3 single-I T12.,34,17,40661,3264.2486521622723,12638.220240167288,16042.763841257069,7263.5106003862165,40661,2333.032833299972,10158.916566862536,13126.52019663967,5872.873147927341,40661,1302.6499900182218,7291.439707768628,9503.632521563613,4274.101920904194,3354.765990123303,13228.018507175533,6497.984979082762,10034.78127865167,7330.542740648536,7685.884297895462,6809.064327608099,1748.671605869069,4292.98717804515,647.1509929669021,1141.0655445346574,14614.338824729846,10888.335920343783,124.85321889859964,nan,nan,nan,nan,nan,17,12797.950065575442,2740.2986200805326,29359.145791763724,A0,L3,I4,T12,imu_only,S00,X_A0_L3_I4_T12__S00,,,
