experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,L,I,T,kind,seed_id,experiment_uid,verdict,screening_score,rank,U,P,R
X_A0_L8_I0_T11,imu_only_diagnostic_screening,Phase4 L8 single-I T11.,34,17,40661,18133.8907078174,77794.51094790846,99093.08759312343,44810.93585856411,40661,12046.020632907223,59340.753067172765,78456.89723003832,35229.47760897514,40661,7101.303455993644,50481.16622591177,68020.11403470847,27693.02944639799,22603.71820365732,77730.18687487501,38618.93908399802,57098.625245826086,32948.5172306142,113100.50388421366,113063.08978160817,8879.568065863914,102218.53915060885,484.6494175512306,919.4427573017892,86038.4129305351,62439.258899680724,717.3429675649146,nan,nan,nan,nan,nan,17,507384.0643226688,158404.0818728221,1198209.541110723,A0,L8,I0,T11,imu_only,S01,X_A0_L8_I0_T11__S01,IMU_ONLY_DRIFTS_AS_EXPECTED,456087.39821103617,1350,,,
X_A0_L8_I0_T12,imu_only_diagnostic_screening,Phase4 L8 single-I T12.,34,17,40661,18132.037769995128,77789.07753846348,99073.09552074326,44810.90748659848,40661,12045.935238604085,59346.674148514794,78447.97667356321,35229.45555352365,40661,7101.257807680243,50480.069164051936,68014.09277007298,27693.011594530293,22604.141657792537,77722.1089766238,38618.91241073182,57094.717557961674,32946.80917297245,113134.19485718285,113096.83188164499,8878.907773108229,102252.36442566598,483.82766776072333,917.7454670030493,86038.4129305351,62439.258899680724,717.3429675649146,nan,nan,nan,nan,nan,17,508315.8884910155,158441.27241219333,1200312.293057628,A0,L8,I0,T12,imu_only,S01,X_A0_L8_I0_T12__S01,IMU_ONLY_DRIFTS_AS_EXPECTED,456754.1839561547,1351,,,
X_A0_L8_I1_T11,imu_only_diagnostic_screening,Phase4 L8 single-I T11.,34,17,40661,18771.098804556193,74283.41067784892,91503.31545581079,42533.522406358,40661,13239.68542162639,57571.280187695476,74602.55826917177,33219.918561843435,40661,6285.3610763973575,43480.390164327466,60832.47032459267,26561.9566116024,20402.445169282786,77597.44730869267,37879.275541421885,56443.64409290397,31503.89929958006,169073.14142634708,168499.92221727676,7401.425504625306,165556.09835362976,419.711164387955,765.4432298822703,85916.00503542888,62658.61155815494,727.1282185922425,nan,nan,nan,nan,nan,17,331490.9524446927,99890.24249276321,768023.6580755839,A0,L8,I1,T11,imu_only,S01,X_A0_L8_I1_T11__S01,IMU_ONLY_DRIFTS_AS_EXPECTED,362383.26761542493,1332,,,
X_A0_L8_I1_T12,imu_only_diagnostic_screening,Phase4 L8 single-I T12.,34,17,40661,18771.79899949291,74284.19553284551,91499.37261969595,42533.495278989016,40661,13237.944134591811,57570.18924002879,74599.6797165613,33219.89761140302,40661,6284.451917175415,43481.620960245455,60835.361472819044,26561.939374520094,20402.61646044017,77598.90849893744,37879.24925390321,56443.20872995122,31504.020098454865,169585.1266638866,169051.62546767184,7402.049108271831,166079.32629440664,418.49118206688536,762.5114934462206,85916.00503542888,62658.61155815494,727.1282185922425,nan,nan,nan,nan,nan,17,332244.1489957348,100175.74465151597,768939.9548483682,A0,L8,I1,T12,imu_only,S01,X_A0_L8_I1_T12__S01,IMU_ONLY_DRIFTS_AS_EXPECTED,363172.80187928595,1333,,,
X_A0_L8_I2_T11,imu_only_diagnostic_screening,Phase4 L8 single-I T11.,34,17,40661,16567.39494243252,63596.417552872284,79296.45173791827,36252.69544298968,40661,11656.416754960117,54936.69390598534,69133.8412858747,30147.31081739051,40661,5435.370342091595,33064.45729764454,45987.12286723604,20134.487263444626,18672.938823499528,66015.01706562785,33073.885779595,54246.113890298795,21710.11083585721,105057.68401388911,104659.75958236906,6124.606644219548,103363.32085509242,443.0142426928382,825.0749750985347,72863.89333544584,60553.64495734968,607.5039770068777,nan,nan,nan,nan,nan,17,595109.4259197464,248555.82692406315,1140478.8321824684,A0,L8,I2,T11,imu_only,S01,X_A0_L8_I2_T11__S01,IMU_ONLY_DRIFTS_AS_EXPECTED,510036.45336783794,1364,,,
X_A0_L8_I2_T12,imu_only_diagnostic_screening,Phase4 L8 single-I T12.,34,17,40661,16567.673918955166,63599.580093996025,79296.05061207576,36252.67397646498,40661,11655.462185548115,54934.74706886176,69132.75520625823,30147.293194832622,40661,5435.407304709837,33065.68355816541,45987.87164148674,20134.474998585385,18674.896939133694,66018.14663018983,33073.865985856086,54238.0689245269,21710.598004312487,105470.93976856205,105074.55417330131,6125.485546863336,103782.88595973945,441.85683872468877,823.72205051004,72863.89333544584,60553.64495734968,607.5039770068777,nan,nan,nan,nan,nan,17,595425.3416271785,248620.94446619673,1141176.9094147214,A0,L8,I2,T12,imu_only,S01,X_A0_L8_I2_T12__S01,IMU_ONLY_DRIFTS_AS_EXPECTED,510470.4303785948,1365,,,
X_A0_L8_I3_T11,imu_only_diagnostic_screening,Phase4 L8 single-I T11.,34,17,40661,16653.458583777356,67024.56597832922,84056.73238539389,38706.9862337258,40661,13698.929409342712,59348.74816704073,77644.32509721318,34575.58399739614,40661,5234.183940619657,31246.302751151623,41081.63652969786,17399.99352117243,18393.2942141749,69415.4854796978,34208.117002588995,54497.0233061574,26243.111469098425,208341.23294307647,207929.32970546774,6674.070406337568,207074.95001693477,475.08662298640024,907.9577269075747,77103.57725506452,60675.51443409336,643.4995777849433,nan,nan,nan,nan,nan,17,526145.9247998003,97441.98463096359,1026384.3884097474,A0,L8,I3,T11,imu_only,S01,X_A0_L8_I3_T11__S01,IMU_ONLY_DRIFTS_AS_EXPECTED,514528.3365003967,1368,,,
X_A0_L8_I3_T12,imu_only_diagnostic_screening,Phase4 L8 single-I T12.,34,17,40661,16653.11597272369,67027.39099122865,84059.48244061586,38706.9614167292,40661,13696.825737151607,59350.23874170243,77645.59348562596,34575.562348631924,40661,5234.67188679634,31246.7045564773,41081.11714464643,17399.98133309428,18391.880414354655,69412.12542359567,34208.094306481966,54493.47800076385,26243.521053236407,208763.3306494372,208352.288946848,6674.147574563352,207499.00426667058,473.4414797399219,906.227190343934,77103.57725506452,60675.51443409336,643.4995777849433,nan,nan,nan,nan,nan,17,527227.9081968904,97088.8180173611,1026768.34560927,A0,L8,I3,T12,imu_only,S01,X_A0_L8_I3_T12__S01,IMU_ONLY_DRIFTS_AS_EXPECTED,515495.16218377167,1369,,,
X_A0_L8_I4_T11,imu_only_diagnostic_screening,Phase4 L8 single-I T11.,34,17,40661,18941.809185243626,71773.43296731397,88984.44861841704,40495.17473627489,40661,12999.696297778635,58277.14017651014,76424.52851940106,33235.88922500273,40661,8120.476333561785,40241.51042562359,50956.529841948,23135.14305866258,20885.02237347023,75758.84760295635,37419.67575790144,57430.617765086776,40900.78556298659,237042.04023450322,236841.07611168487,12282.60428377537,236508.42932196014,473.1230283922113,856.8084659827713,84430.66437778974,63372.33356589025,703.8720823728389,nan,nan,nan,nan,nan,17,478026.4074501423,235130.8006728699,851168.576606337,A0,L8,I4,T11,imu_only,S01,X_A0_L8_I4_T11__S01,IMU_ONLY_DRIFTS_AS_EXPECTED,500273.31891058455,1358,,,
X_A0_L8_I4_T12,imu_only_diagnostic_screening,Phase4 L8 single-I T12.,34,17,40661,18944.20456604174,71777.8525654588,88990.34531587447,40495.15012629881,40661,13000.23454987625,58282.874694259386,76426.01837543084,33235.86916137332,40661,8121.758251985602,40243.92094445997,50956.21562450684,23135.12880533742,20884.762583539865,75756.05195069365,37419.65132264643,57429.73179125549,40901.547371943176,237221.23641441128,237020.26343254457,12282.552244484745,236688.11142023542,471.50468580161913,852.7984171057278,84430.66437778974,63372.33356589025,703.8720823728389,nan,nan,nan,nan,nan,17,478552.0858271214,235577.28726364428,851765.7886973945,A0,L8,I4,T12,imu_only,S01,X_A0_L8_I4_T12__S01,IMU_ONLY_DRIFTS_AS_EXPECTED,500729.8965553853,1360,,,
