row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L2:I3:T6,S00,simulate_imu_prior,L2:I3,0.3023265490010089,,,,,agreement_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_agreement_0000_cuda0
R2:L2:I3:T6,S00,build_track_tensors,L2:I3,0.1291855490017042,,,,,agreement_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_agreement_0000_cuda0
R2:L2:I3:T6,S00,cpu_golden,,0.0678580919993692,,,,,agreement_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_agreement_0000_cuda0
R2:L2:I3:T6,S00,torch_gpu,,0.5357994890000555,0.0,1.0,0.5357994890000555,0.5357994890000555,agreement_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_agreement_0000_cuda0
R2:L2:I0:T6,S00,simulate_imu_prior,L2:I0,0.3013066429994069,,,,,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I0:T6,S00,build_track_tensors,L2:I0,0.1332394010023563,,,,,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I0:T6,S00,torch_gpu,,0.5420160729991039,0.0,1.0,0.5420160729991039,0.5420160729991039,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I0:T8,S00,torch_gpu,,0.2801074359995255,0.0,1.0,0.2801074359995255,0.2801074359995255,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I1:T6,S00,simulate_imu_prior,L2:I1,0.2953347389993723,,,,,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I1:T6,S00,build_track_tensors,L2:I1,0.0479824329995608,,,,,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I1:T6,S00,torch_gpu,,0.2693906770000467,0.0,1.0,0.2693906770000467,0.2693906770000467,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I1:T8,S00,torch_gpu,,0.2822948969987919,0.0,1.0,0.2822948969987919,0.2822948969987919,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I3:T6,S00,load_imu_prior_cache,L2:I3,0.0027077839986304,,,,,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I3:T6,S00,build_track_tensors,L2:I3,0.0490015579998726,,,,,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I3:T6,S00,torch_gpu,,0.1945849860021553,0.0,1.0,0.1945849860021553,0.1945849860021553,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I3:T8,S00,torch_gpu,,0.274953366999398,0.0,1.0,0.274953366999398,0.274953366999398,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I4:T6,S00,simulate_imu_prior,L2:I4,0.2930569460004335,,,,,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
R2:L2:I4:T6,S00,build_track_tensors,L2:I4,0.1326591569995798,,,,,partial_raw_0000,cuda:0,smoke_shm_cache_concurrent_20260606T210437Z_partial_raw_0000_cuda0
