L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,experiment_short
L0,A0,U4,P0,I5,T2,position_fusion,5,72.88887890628617,118.25550658992256,0.0,77.2070617008194,231.8021379954777,113.54663140555513,1.0,113.54663140555513,30.461349889865204,101.45112578766252,383.5793090424479,X_A0_U4_P0_L0_I5_T2
L0,A0,U4,P0,I6,T2,position_fusion,5,74.18823895218495,121.7242678726088,0.0,79.07429498330971,231.8021379954777,110.0778701228689,1.0,110.0778701228689,32.476869886907025,103.10931856818362,364.7584173774412,X_A0_U4_P0_L0_I6_T2
L1,A0,U4,P0,I5,T2,position_fusion,5,75.75400122949262,124.99922955056266,3.2647317888004546,81.08262304914794,231.8021379954777,106.80290844491503,1.0,106.80290844491503,33.45993401689273,108.17974843992343,331.66974266335967,X_A0_U4_P0_L1_I5_T2
L0,A0,U4,P0,I8,T2,position_fusion,5,75.35684370075256,125.39600200732968,0.0,80.78712594459088,231.8021379954777,106.40613598814801,1.0,106.40613598814801,34.29296909504174,105.20635322686628,350.56964590540105,X_A0_U4_P0_L0_I8_T2
L1,A0,U4,P0,I6,T2,position_fusion,5,75.2697755315046,128.20471810070313,3.3035690916545795,83.51218388086689,231.8021379954777,103.59741989477455,1.0,103.59741989477455,35.650608889587694,108.31741251664278,321.56665073276116,X_A0_U4_P0_L1_I6_T2
L0,A0,U4,P0,I4,T2,position_fusion,5,76.0392274564069,128.238207622838,0.0,82.36161243992507,231.8021379954777,103.5639303726397,1.0,103.5639303726397,35.92538469425719,106.74437017931352,339.8377477418165,X_A0_U4_P0_L0_I4_T2
L0,A0,U4,P0,I3,T2,position_fusion,5,76.70298037752382,130.5864050597478,0.0,83.8126757785715,231.8021379954777,101.2157329357299,1.0,101.2157329357299,37.390827568140764,107.67822026049289,331.65798859810496,X_A0_U4_P0_L0_I3_T2
L1,A0,U4,P0,I8,T2,position_fusion,5,77.52648236105215,131.6034936691416,4.685671591741464,85.40197319981237,231.8021379954777,100.19864432633608,1.0,100.19864432633608,37.23889486163569,113.18056657739052,311.4939048035581,X_A0_U4_P0_L1_I8_T2
L0,A0,U4,P0,I2,T2,position_fusion,5,77.39989798308378,132.16141702823893,0.0,85.15384147452902,231.8021379954777,99.64072096723876,1.0,99.64072096723876,38.705874363300325,108.67780540525703,325.3379959390736,X_A0_U4_P0_L0_I2_T2
L0,A0,U4,P0,I7,T2,position_fusion,5,77.39989798308378,132.16141702823893,0.0,85.15384147452902,231.8021379954777,99.64072096723876,1.0,99.64072096723876,38.705874363300325,108.67780540525703,325.3379959390736,X_A0_U4_P0_L0_I7_T2
L0,A0,U4,P0,I1,T2,position_fusion,5,77.83859361485602,134.80754469890948,0.0,86.39718175513973,231.8021379954777,96.99459329656821,1.0,96.99459329656821,39.93573502396259,110.11169315403,320.3517632683783,X_A0_U4_P0_L0_I1_T2
L1,A0,U4,P0,I4,T2,position_fusion,5,79.7270483795156,135.30777602441907,2.0766542815552995,87.32084456344292,231.8021379954777,96.49436197105862,1.0,96.49436197105862,38.921923004016534,110.54054449476037,279.8887017825968,X_A0_U4_P0_L1_I4_T2
L16,A0,U4,P0,I5,T2,position_fusion,5,79.55388462554038,135.87324261624755,5.6280064721107586,87.89577851016456,231.8021379954777,95.92889537923013,1.0,95.92889537923013,37.93995709696266,121.29980788339098,287.34005297214804,X_A0_U4_P0_L16_I5_T2
L1,A0,U4,P0,I3,T2,position_fusion,5,79.18714817188928,136.7666959996509,1.8322316879627198,86.83956118710536,231.8021379954777,95.03544199582682,1.0,95.03544199582682,40.44610909559556,111.456655521308,316.55566849146203,X_A0_U4_P0_L1_I3_T2
L19,A0,U4,P0,I5,T2,position_fusion,5,81.38965194539205,138.451681151735,2.997504282841829,91.45380149917187,231.8021379954777,93.3504568437427,1.0,93.3504568437427,37.58548352547334,119.6412524357011,313.7598126613394,X_A0_U4_P0_L19_I5_T2
L19,A0,U4,P0,I6,T2,position_fusion,5,83.27078355792915,140.0652219937952,5.414043838647981,90.48158003635895,231.8021379954777,91.7369160016825,1.0,91.7369160016825,40.121909602714645,122.926422726058,281.27021774389806,X_A0_U4_P0_L19_I6_T2
L5,A0,U4,P0,I5,T2,position_fusion,5,81.45573887780239,140.2471751659667,5.2330417895267445,90.11162725034758,231.8021379954777,91.55496282951098,1.0,91.55496282951098,37.65259604950522,120.67953914159295,321.48834313600105,X_A0_U4_P0_L5_I5_T2
L1,A0,U4,P0,I2,T2,position_fusion,5,82.61869238085426,140.58506641743173,3.9841708022704445,91.62466765384458,231.8021379954777,91.21707157804596,1.0,91.21707157804596,42.24337109992014,115.29195907203764,310.04211771041145,X_A0_U4_P0_L1_I2_T2
L0,A0,U4,P3,I5,T2,position_fusion,5,71.08871402029209,109.15171687541954,0.0,73.85819277665308,200.2766290041533,91.12491212873377,1.0,122.65042112005816,30.461349889865204,102.83545219705556,369.0610561239793,X_A0_U4_P3_L0_I5_T2
L15,A0,U4,P0,I5,T2,position_fusion,5,81.66777724405227,141.1178344859199,7.944156175591101,89.93519526938259,231.8021379954777,90.68430350955778,1.0,90.68430350955778,38.42800589954934,123.83018301461126,305.4792927475907,X_A0_U4_P0_L15_I5_T2
L1,A0,U4,P0,I7,T2,position_fusion,5,80.74343621905864,141.90498712270204,2.7262751549521265,89.6883397988646,231.8021379954777,89.89715087277565,1.0,89.89715087277565,42.056598472402314,119.53122079740676,307.68072084865474,X_A0_U4_P0_L1_I7_T2
L1,A0,U4,P0,I1,T2,position_fusion,5,82.26233472351393,143.38815628256708,4.524022031522717,90.75521040487514,231.8021379954777,88.41398171291061,1.0,88.41398171291061,43.15953707990516,116.4724082287541,292.4082935971809,X_A0_U4_P0_L1_I1_T2
L0,A0,U4,P3,I6,T2,position_fusion,5,71.91777097947266,112.15114949137634,0.0,74.73709227364077,200.2766290041533,88.12547951277695,1.0,119.65098850410133,32.476869886907025,104.03646534779963,355.95576630831965,X_A0_U4_P3_L0_I6_T2
L16,A0,U4,P0,I6,T2,position_fusion,5,83.55793890893379,144.76774382328512,5.652231014332471,92.16237029260355,231.8021379954777,87.03439417219259,1.0,87.03439417219259,40.60244361072066,123.40134685178862,312.4882089661842,X_A0_U4_P0_L16_I6_T2
L16,A0,U4,P0,I8,T2,position_fusion,5,84.6126652600362,145.47071731819662,2.8956869567247163,94.02691397457922,231.8021379954777,86.33142067728106,1.0,86.33142067728106,41.57181866281391,122.87063652619956,229.23181354590264,X_A0_U4_P0_L16_I8_T2
L19,A0,U4,P0,I8,T2,position_fusion,5,82.67460684320878,145.8760355721641,5.354652195789335,91.86035011816611,231.8021379954777,85.9261024233136,1.0,85.9261024233136,41.66736153930451,125.57623353361066,287.3788765609872,X_A0_U4_P0_L19_I8_T2
L15,A0,U4,P0,I6,T2,position_fusion,5,85.54271402621363,146.2824044903427,5.590278939262934,94.39337509092431,231.8021379954777,85.51973350513497,1.0,85.51973350513497,41.2601068877476,124.37155995953253,249.35832406145346,X_A0_U4_P0_L15_I6_T2
L0,A0,U4,P3,I8,T2,position_fusion,5,72.71899790559783,114.80586899922442,0.0,75.56342479813385,200.2766290041533,85.47076000492889,1.0,116.99626899625328,34.29296909504174,105.4595943271842,347.05221218085484,X_A0_U4_P3_L0_I8_T2
