capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R01,BS2DCE,1201,1201,0.0005265037077057742,0.0008900558231543382,0.0012183053281902248,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R01,BSDC91,1200,1200,0.0005715030830490234,0.001104202368237908,0.0022101473383738333,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R02,BS2DCE,1201,1201,0.0004250269094876377,0.0007841433551580367,0.001091068187155557,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R02,BSDC91,1200,1200,0.0005399528209741269,0.0009891676888200789,0.002036070766615849,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R03,BS2DCE,1200,1200,0.0003943761406783508,0.0006986976686833415,0.0013133873750056585,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R03,BSDC91,1200,1200,0.0004983208195803552,0.0009348084961207378,0.0013667046127411279,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R04,BS2DCE,1200,1200,0.00036739556788595366,0.0006308077428086603,0.00132996850057429,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R04,BSDC91,1200,1200,0.00044947018952645604,0.0008318995965188189,0.001507874716371658,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R05,BS2DCE,1200,1200,0.0005294747459640271,0.0008768400312944744,0.001938126513011827,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R05,BSDC91,1201,1201,0.0006527867491316743,0.0011940435157062907,0.0020759948214680015,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
