capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R01,BS2DCE,1201,1201,0.00040358899255118553,0.0006560864769223588,0.0008069480708415876,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R01,BSDC91,1200,1200,0.0003861504280204591,0.0006173839254686294,0.0009097816735511606,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R02,BS2DCE,1201,1201,0.00038578389780656477,0.0006578316891005302,0.001097438130567448,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R02,BSDC91,1200,1200,0.0003729366238937366,0.0006415659060147927,0.0012119144011383568,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R03,BS2DCE,1200,1200,0.00039754432060561226,0.0006290738067409046,0.0009168897973215378,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R03,BSDC91,1200,1200,0.0004064507395597679,0.0007504895525035434,0.001353304763110558,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R04,BS2DCE,1200,1200,0.000409803494961056,0.0006966111153391324,0.0010788550033189342,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R04,BSDC91,1200,1200,0.00040858684780208495,0.0007427974765840165,0.001116186998712312,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R05,BS2DCE,1200,1200,0.0003631457142268066,0.0006124061845299178,0.0011867183522600853,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R05,BSDC91,1201,1201,0.0003083041909717475,0.0005170799132386259,0.0008597960543980706,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R06,BS2DCE,1200,1200,0.0004000737748564327,0.0006844855327110692,0.0010104088065235604,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R06,BSDC91,1201,1201,0.0003487703688528195,0.0006161180318355212,0.0009050110196915377,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R07,BS2DCE,1200,1200,0.0004126793592062717,0.0006481362531925997,0.0008842467665565161,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R07,BSDC91,1201,1201,0.0006443901800869358,0.0011920197887734932,0.0014933997576930922,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R08,BS2DCE,1201,1201,0.00035156199629694107,0.0005727170605996843,0.0008693062866420761,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R08,BSDC91,1200,1200,0.000359850820845668,0.0006172897640317205,0.0008936089659118333,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R09,BS2DCE,1200,1200,0.00026206630719346737,0.0004291039085929138,0.000673754024747696,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R09,BSDC91,1200,1200,0.0003633189357907299,0.0005533436642726717,0.0008368754678713564,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R10,BS2DCE,1200,1200,0.00040796833212985864,0.000721115510999721,0.0011244595947786432,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R10,BSDC91,1200,1200,0.00032570336708593787,0.0005650363284004916,0.0007937820372283075,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R11,BS2DCE,1201,1201,0.00036974847692283335,0.0005855733097825396,0.0008730863080356619,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
