row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R4:L18:I0:T6,simulate_imu_prior,0.6650093920034124,,,,
R4:L18:I0:T6,cpu_golden,21.28771561899339,,,,
R4:L18:I0:T6,torch_gpu,2.266868296006578,0,1,2.266868296006578,2.266868296006578
R4:L18:I0:T8,simulate_imu_prior,0.605080168999848,,,,
R4:L18:I0:T8,cpu_golden,21.312766089991783,,,,
R4:L18:I0:T8,torch_gpu,2.3892856879974715,0,1,2.3892856879974715,2.3892856879974715
R4:L18:I1:T6,simulate_imu_prior,0.6351540779869538,,,,
R4:L18:I1:T6,cpu_golden,21.389487941996776,,,,
R4:L18:I1:T6,torch_gpu,2.16127267399861,0,1,2.16127267399861,2.16127267399861
R4:L18:I1:T8,simulate_imu_prior,0.5875184169999557,,,,
R4:L18:I1:T8,cpu_golden,21.522943617994315,,,,
R4:L18:I1:T8,torch_gpu,2.325672011997085,0,1,2.325672011997085,2.325672011997085
