row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L10:I0:T6,S00,simulate_imu_prior,L10:I0,0.780131186999995,,,,
R2:L10:I0:T6,S00,build_track_tensors,L10:I0,14.601407462999987,,,,
R2:L10:I0:T6,S00,torch_gpu,,16.770284564999997,0,1,16.770284564999997,16.770284564999997
R2:L10:I0:T8,S00,torch_gpu,,13.677432084000003,0,1,13.677432084000003,13.677432084000003
R2:L10:I1:T6,S00,simulate_imu_prior,L10:I1,0.627121681999995,,,,
R2:L10:I1:T6,S00,build_track_tensors,L10:I1,13.35981872299999,,,,
R2:L10:I1:T6,S00,torch_gpu,,11.176657253000002,0,1,11.176657253000002,11.176657253000002
R2:L10:I1:T8,S00,torch_gpu,,16.109674923,0,1,16.109674923,16.109674923
R2:L10:I3:T6,S00,simulate_imu_prior,L10:I3,0.5913146649999987,,,,
R2:L10:I3:T6,S00,build_track_tensors,L10:I3,13.06742231199999,,,,
R2:L10:I3:T6,S00,torch_gpu,,2.8060636739999723,0,1,2.8060636739999723,2.8060636739999723
R2:L10:I3:T8,S00,torch_gpu,,11.311509314999967,0,1,11.311509314999967,11.311509314999967
R2:L10:I4:T6,S00,simulate_imu_prior,L10:I4,0.5511158939999632,,,,
R2:L10:I4:T6,S00,build_track_tensors,L10:I4,10.973308686999985,,,,
R2:L10:I4:T6,S00,torch_gpu,,10.386689852000018,0,1,10.386689852000018,10.386689852000018
R2:L10:I4:T8,S00,torch_gpu,,2.8799285499999883,0,1,2.8799285499999883,2.8799285499999883
