row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R4:L7:I0:T6,S00,load_imu_prior_cache,L7:I0,0.005146715000591939,,,,
R4:L7:I0:T6,S00,load_track_tensors_cache,L7:I0,1.8900027498602867e-06,,,,
R4:L7:I0:T6,S00,torch_gpu,,14.399841670998285,0,1,14.399841670998285,14.399841670998285
R4:L7:I0:T8,S00,torch_gpu,,17.244762991002062,0,1,17.244762991002062,17.244762991002062
R4:L7:I1:T6,S00,load_imu_prior_cache,L7:I1,0.004703170001448598,,,,
R4:L7:I1:T6,S00,load_track_tensors_cache,L7:I1,1.1299998732283711e-06,,,,
R4:L7:I1:T6,S00,torch_gpu,,15.865119635000156,0,1,15.865119635000156,15.865119635000156
R4:L7:I1:T8,S00,torch_gpu,,16.758819351001875,0,1,16.758819351001875,16.758819351001875
R4:L7:I3:T6,S00,load_imu_prior_cache,L7:I3,0.004225065000355244,,,,
R4:L7:I3:T6,S00,load_track_tensors_cache,L7:I3,1.2000018614344299e-06,,,,
R4:L7:I3:T6,S00,torch_gpu,,17.934896462000324,0,1,17.934896462000324,17.934896462000324
R4:L7:I3:T8,S00,torch_gpu,,16.436183942001662,0,1,16.436183942001662,16.436183942001662
R4:L7:I4:T6,S00,load_imu_prior_cache,L7:I4,0.003966110998590011,,,,
R4:L7:I4:T6,S00,load_track_tensors_cache,L7:I4,9.300019883085042e-07,,,,
R4:L7:I4:T6,S00,torch_gpu,,17.629213626998535,0,1,17.629213626998535,17.629213626998535
R4:L7:I4:T8,S00,torch_gpu,,16.65928677500051,0,1,16.65928677500051,16.65928677500051
