row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R4:L13:I0:T6,S03,load_imu_prior_cache,L13:I0,0.004145731999415148,,,,
R4:L13:I0:T6,S03,load_track_tensors_cache,L13:I0,1.219999830937013e-06,,,,
R4:L13:I0:T6,S03,torch_gpu,,9.100725683000746,0,1,9.100725683000746,9.100725683000746
R4:L13:I0:T8,S03,torch_gpu,,7.482482839999648,0,1,7.482482839999648,7.482482839999648
R4:L13:I1:T6,S03,load_imu_prior_cache,L13:I1,0.005099054000311298,,,,
R4:L13:I1:T6,S03,load_track_tensors_cache,L13:I1,1.4000006558489986e-06,,,,
R4:L13:I1:T6,S03,torch_gpu,,9.9551466289995,0,1,9.9551466289995,9.9551466289995
R4:L13:I1:T8,S03,torch_gpu,,12.408657545999631,0,1,12.408657545999631,12.408657545999631
R4:L13:I3:T6,S03,load_imu_prior_cache,L13:I3,0.007214750999992248,,,,
R4:L13:I3:T6,S03,load_track_tensors_cache,L13:I3,9.899995347950608e-07,,,,
R4:L13:I3:T6,S03,torch_gpu,,11.333740246000161,0,1,11.333740246000161,11.333740246000161
R4:L13:I3:T8,S03,torch_gpu,,11.476024723000592,0,1,11.476024723000592,11.476024723000592
R4:L13:I4:T6,S03,load_imu_prior_cache,L13:I4,0.0051087439996990724,,,,
R4:L13:I4:T6,S03,load_track_tensors_cache,L13:I4,1.030000021273736e-06,,,,
R4:L13:I4:T6,S03,torch_gpu,,11.763180023000132,0,1,11.763180023000132,11.763180023000132
R4:L13:I4:T8,S03,torch_gpu,,8.3498732070002,0,1,8.3498732070002,8.3498732070002
