capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R01,BS2DCE,1201,1201,0.000527352599089716,0.0009740441968004341,0.0012357536724950282,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R01,BSDC91,1200,1200,0.00048306695175158936,0.0009298226774342274,0.0018344578478611206,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R02,BS2DCE,1201,1201,0.0004411353507792184,0.0008459761908326027,0.0011977385502192537,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R02,BSDC91,1200,1200,0.0004945559934404991,0.0009413840727585852,0.0015186953237420384,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R03,BS2DCE,1200,1200,0.0003829245593848113,0.0006673097176162492,0.0009673644955479122,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R03,BSDC91,1200,1200,0.0005571278894937266,0.001044729019920873,0.0019007476038258747,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R04,BS2DCE,1200,1200,0.0004207178512064987,0.0007806960246966772,0.0013916366399725347,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R04,BSDC91,1200,1200,0.0004207493605793386,0.0007739292016252597,0.0014920920277797466,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R05,BS2DCE,1200,1200,0.0004715621745370435,0.0008345173058493811,0.00137840604425358,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R05,BSDC91,1201,1201,0.0005622201019677184,0.001102755214219752,0.002269676995598238,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R06,BS2DCE,1200,1200,0.0005140480621956231,0.0009956564973732,0.0014844474225330954,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
