capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,seed_id,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R01,BS2DCE,1201,1201,0.00035381690805681677,0.0005347401990511705,0.0008438170117927546,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R01,BSDC91,1200,1200,0.00024959352470962096,0.0004105330201551236,0.0005929408639634887,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R02,BS2DCE,1201,1201,0.0003463293546739744,0.000513307190550522,0.0007968160101219279,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R02,BSDC91,1200,1200,0.00028466992699711235,0.00047740123216444903,0.0007019224382927356,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R03,BS2DCE,1200,1200,0.0003831422544106265,0.0006042238589431231,0.0009005541162541704,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R03,BSDC91,1200,1200,0.0003336082427237741,0.0005417806279195956,0.0007819349655214315,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R04,BS2DCE,1200,1200,0.00030219274295785155,0.0005240029289841243,0.0008111238825840638,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R04,BSDC91,1200,1200,0.00032704832208340197,0.0005515547026006772,0.0007522418147303022,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R05,BS2DCE,1200,1200,0.0002885969687867164,0.0004571494507363381,0.0006379804917332292,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R05,BSDC91,1201,1201,0.0003066893290624763,0.0004867444897057327,0.0006084308944542602,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R06,BS2DCE,1200,1200,0.0003546978351496558,0.0005999058029151055,0.0009649564350931246,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
