capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,seed_id,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R01,BS2DCE,1201,1201,0.0004032124404226428,0.000667262864295771,0.0009835054869310935,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R01,BSDC91,1200,1200,0.0003373993047823754,0.000587243853557421,0.0009607531725611642,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R02,BS2DCE,1201,1201,0.0003709659344442684,0.000661218471871876,0.0009639026941872901,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R02,BSDC91,1200,1200,0.0003447980926194823,0.0006387638712460613,0.0008438692133051851,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R03,BS2DCE,1200,1200,0.00040498076074494836,0.0006688884155288633,0.0009552970661428881,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R03,BSDC91,1200,1200,0.00039630255060610483,0.0006807526887449392,0.000936412452631849,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R04,BS2DCE,1200,1200,0.0004007989705156418,0.0006491374600059033,0.000981613401959861,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R04,BSDC91,1200,1200,0.0004290324936048205,0.0007520797451808478,0.0009705673159999634,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R05,BS2DCE,1200,1200,0.00034578028678846446,0.000553760260223077,0.0008558483690086007,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
R05,BSDC91,1201,1201,0.00036914863289046147,0.0006239966710379488,0.0008168069278149632,1.0,1.0,R2:L19:I8:T6,S02,R2,L19,I8,T6,61.768525,1.0,False
