row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L7:I0:T6,S04,simulate_imu_prior,L7:I0,1.3738699079999606,,,,
R2:L7:I0:T6,S04,build_track_tensors,L7:I0,17.869286618999922,,,,
R2:L7:I0:T6,S04,torch_gpu,,8.913490377000016,0,1,8.913490377000016,8.913490377000016
R2:L7:I0:T8,S04,torch_gpu,,6.65854000499985,0,1,6.65854000499985,6.65854000499985
R2:L7:I1:T6,S04,simulate_imu_prior,L7:I1,0.5954180409999026,,,,
R2:L7:I1:T6,S04,build_track_tensors,L7:I1,13.446207565999885,,,,
R2:L7:I1:T6,S04,torch_gpu,,1.1689391340000839,0,1,1.1689391340000839,1.1689391340000839
R2:L7:I1:T8,S04,torch_gpu,,1.3007053890000861,0,1,1.3007053890000861,1.3007053890000861
R2:L7:I3:T6,S04,simulate_imu_prior,L7:I3,1.0355979209998623,,,,
R2:L7:I3:T6,S04,build_track_tensors,L7:I3,18.00099018400033,,,,
R2:L7:I3:T6,S04,torch_gpu,,8.933938757000305,0,1,8.933938757000305,8.933938757000305
R2:L7:I3:T8,S04,torch_gpu,,2.303508239000166,0,1,2.303508239000166,2.303508239000166
R2:L7:I4:T6,S04,simulate_imu_prior,L7:I4,0.5667917259997921,,,,
R2:L7:I4:T6,S04,build_track_tensors,L7:I4,19.694559763999678,,,,
R2:L7:I4:T6,S04,torch_gpu,,7.101844419999907,0,1,7.101844419999907,7.101844419999907
R2:L7:I4:T8,S04,torch_gpu,,7.6366061039998385,0,1,7.6366061039998385,7.6366061039998385
