row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R4:L3:I0:T6,S00,load_imu_prior_cache,L3:I0,0.0025458330019318964,,,,
R4:L3:I0:T6,S00,load_track_tensors_cache,L3:I0,7.00001692166552e-07,,,,
R4:L3:I0:T6,S00,torch_gpu,,0.4505576830015343,0,1,0.4505576830015343,0.4505576830015343
R4:L3:I0:T8,S00,torch_gpu,,0.40180886900270707,0,1,0.40180886900270707,0.40180886900270707
R4:L3:I1:T6,S00,load_imu_prior_cache,L3:I1,0.003239466001105029,,,,
R4:L3:I1:T6,S00,load_track_tensors_cache,L3:I1,7.199996616691351e-07,,,,
R4:L3:I1:T6,S00,torch_gpu,,0.4039719590000459,0,1,0.4039719590000459,0.4039719590000459
R4:L3:I1:T8,S00,torch_gpu,,0.40452118100074586,0,1,0.40452118100074586,0.40452118100074586
R4:L3:I3:T6,S00,load_imu_prior_cache,L3:I3,0.0028779749991372228,,,,
R4:L3:I3:T6,S00,load_track_tensors_cache,L3:I3,8.09999619377777e-07,,,,
R4:L3:I3:T6,S00,torch_gpu,,0.464783104001981,0,1,0.464783104001981,0.464783104001981
R4:L3:I3:T8,S00,torch_gpu,,0.3553229730023304,0,1,0.3553229730023304,0.3553229730023304
R4:L3:I4:T6,S00,load_imu_prior_cache,L3:I4,0.0031600349975633435,,,,
R4:L3:I4:T6,S00,load_track_tensors_cache,L3:I4,1.1000010999850929e-06,,,,
R4:L3:I4:T6,S00,torch_gpu,,0.326065175999247,0,1,0.326065175999247,0.326065175999247
R4:L3:I4:T8,S00,torch_gpu,,0.32972117500321474,0,1,0.32972117500321474,0.32972117500321474
