job_index,experiment_id,L,I,P,T,seed_id,stress_id,wall_time_s,status
11,X_A0_U4_P0_L2_I2_T2,L2,I2,P0,T2,S00,ST1_vibration_3x,6.267733754997607,ok
11,X_A0_U4_P0_L2_I2_T3,L2,I2,P0,T3,S00,ST1_vibration_3x,6.126004115998512,ok
11,X_A0_U4_P0_L2_I2_T4,L2,I2,P0,T4,S00,ST1_vibration_3x,6.085227736999514,ok
11,X_A0_U4_P0_L2_I2_T5,L2,I2,P0,T5,S00,ST1_vibration_3x,6.192668609000975,ok
11,X_A0_U4_P1_L2_I2_T2,L2,I2,P1,T2,S00,ST1_vibration_3x,6.189333246991737,ok
11,X_A0_U4_P1_L2_I2_T3,L2,I2,P1,T3,S00,ST1_vibration_3x,6.340531858004397,ok
11,X_A0_U4_P1_L2_I2_T4,L2,I2,P1,T4,S00,ST1_vibration_3x,6.432046089001233,ok
11,X_A0_U4_P1_L2_I2_T5,L2,I2,P1,T5,S00,ST1_vibration_3x,6.196483052015537,ok
11,X_A0_U4_P2_L2_I2_T2,L2,I2,P2,T2,S00,ST1_vibration_3x,6.209008498000912,ok
11,X_A0_U4_P2_L2_I2_T3,L2,I2,P2,T3,S00,ST1_vibration_3x,6.309181883989368,ok
11,X_A0_U4_P2_L2_I2_T4,L2,I2,P2,T4,S00,ST1_vibration_3x,6.0992865480075125,ok
11,X_A0_U4_P2_L2_I2_T5,L2,I2,P2,T5,S00,ST1_vibration_3x,6.1029481230070814,ok
11,X_A0_U4_P3_L2_I2_T2,L2,I2,P3,T2,S00,ST1_vibration_3x,6.284265335008968,ok
11,X_A0_U4_P3_L2_I2_T3,L2,I2,P3,T3,S00,ST1_vibration_3x,6.0450150160177145,ok
11,X_A0_U4_P3_L2_I2_T4,L2,I2,P3,T4,S00,ST1_vibration_3x,6.078202600998338,ok
11,X_A0_U4_P3_L2_I2_T5,L2,I2,P3,T5,S00,ST1_vibration_3x,6.096896308008581,ok
11,X_A0_U4_P4_L2_I2_T2,L2,I2,P4,T2,S00,ST1_vibration_3x,6.103178614983335,ok
11,X_A0_U4_P4_L2_I2_T3,L2,I2,P4,T3,S00,ST1_vibration_3x,6.106152549997205,ok
11,X_A0_U4_P4_L2_I2_T4,L2,I2,P4,T4,S00,ST1_vibration_3x,6.252268550975714,ok
11,X_A0_U4_P4_L2_I2_T5,L2,I2,P4,T5,S00,ST1_vibration_3x,6.390930538007524,ok
11,X_A0_U4_P5_L2_I2_T2,L2,I2,P5,T2,S00,ST1_vibration_3x,6.219866537023336,ok
11,X_A0_U4_P5_L2_I2_T3,L2,I2,P5,T3,S00,ST1_vibration_3x,6.225365063990466,ok
11,X_A0_U4_P5_L2_I2_T4,L2,I2,P5,T4,S00,ST1_vibration_3x,6.231375884992303,ok
11,X_A0_U4_P5_L2_I2_T5,L2,I2,P5,T5,S00,ST1_vibration_3x,6.256077608006308,ok
11,L2_S00_ST1_vibration_3x_I2_bundle,L2,I2,,,S00,ST1_vibration_3x,150.05538596899714,bundle_complete
10,X_A0_U4_P0_L2_I1_T2,L2,I1,P0,T2,S00,ST1_vibration_3x,6.3969531940238085,ok
10,X_A0_U4_P0_L2_I1_T3,L2,I1,P0,T3,S00,ST1_vibration_3x,6.174395059992094,ok
10,X_A0_U4_P0_L2_I1_T4,L2,I1,P0,T4,S00,ST1_vibration_3x,6.4801444609765895,ok
10,X_A0_U4_P0_L2_I1_T5,L2,I1,P0,T5,S00,ST1_vibration_3x,6.271271835023072,ok
10,X_A0_U4_P1_L2_I1_T2,L2,I1,P1,T2,S00,ST1_vibration_3x,6.222097983001731,ok
10,X_A0_U4_P1_L2_I1_T3,L2,I1,P1,T3,S00,ST1_vibration_3x,6.30749011298758,ok
10,X_A0_U4_P1_L2_I1_T4,L2,I1,P1,T4,S00,ST1_vibration_3x,6.41116509999847,ok
10,X_A0_U4_P1_L2_I1_T5,L2,I1,P1,T5,S00,ST1_vibration_3x,6.2919473980145995,ok
10,X_A0_U4_P2_L2_I1_T2,L2,I1,P2,T2,S00,ST1_vibration_3x,6.217028968007071,ok
10,X_A0_U4_P2_L2_I1_T3,L2,I1,P2,T3,S00,ST1_vibration_3x,6.084739225014346,ok
10,X_A0_U4_P2_L2_I1_T4,L2,I1,P2,T4,S00,ST1_vibration_3x,5.965643470000941,ok
10,X_A0_U4_P2_L2_I1_T5,L2,I1,P2,T5,S00,ST1_vibration_3x,6.043275484989863,ok
10,X_A0_U4_P3_L2_I1_T2,L2,I1,P3,T2,S00,ST1_vibration_3x,6.175630087993341,ok
10,X_A0_U4_P3_L2_I1_T3,L2,I1,P3,T3,S00,ST1_vibration_3x,6.355681682995055,ok
10,X_A0_U4_P3_L2_I1_T4,L2,I1,P3,T4,S00,ST1_vibration_3x,6.090078180015553,ok
10,X_A0_U4_P3_L2_I1_T5,L2,I1,P3,T5,S00,ST1_vibration_3x,6.238572380010737,ok
10,X_A0_U4_P4_L2_I1_T2,L2,I1,P4,T2,S00,ST1_vibration_3x,6.327380761009408,ok
10,X_A0_U4_P4_L2_I1_T3,L2,I1,P4,T3,S00,ST1_vibration_3x,6.255897998984437,ok
10,X_A0_U4_P4_L2_I1_T4,L2,I1,P4,T4,S00,ST1_vibration_3x,5.956098363007186,ok
10,X_A0_U4_P4_L2_I1_T5,L2,I1,P4,T5,S00,ST1_vibration_3x,6.06669871500344,ok
10,X_A0_U4_P5_L2_I1_T2,L2,I1,P5,T2,S00,ST1_vibration_3x,6.347585389972664,ok
10,X_A0_U4_P5_L2_I1_T3,L2,I1,P5,T3,S00,ST1_vibration_3x,6.247202986996854,ok
10,X_A0_U4_P5_L2_I1_T4,L2,I1,P5,T4,S00,ST1_vibration_3x,6.418074308981886,ok
10,X_A0_U4_P5_L2_I1_T5,L2,I1,P5,T5,S00,ST1_vibration_3x,6.167003542010207,ok
10,L2_S00_ST1_vibration_3x_I1_bundle,L2,I1,,,S00,ST1_vibration_3x,150.67619387301966,bundle_complete
3,X_A0_U4_P0_L2_I3_T2,L2,I3,P0,T2,S00,ST0_nominal,6.277905338007258,ok
3,X_A0_U4_P0_L2_I3_T3,L2,I3,P0,T3,S00,ST0_nominal,6.3983765929879155,ok
3,X_A0_U4_P0_L2_I3_T4,L2,I3,P0,T4,S00,ST0_nominal,6.222579262015643,ok
3,X_A0_U4_P0_L2_I3_T5,L2,I3,P0,T5,S00,ST0_nominal,6.012156985991169,ok
3,X_A0_U4_P1_L2_I3_T2,L2,I3,P1,T2,S00,ST0_nominal,6.286729464016389,ok
3,X_A0_U4_P1_L2_I3_T3,L2,I3,P1,T3,S00,ST0_nominal,6.338331806007773,ok
3,X_A0_U4_P1_L2_I3_T4,L2,I3,P1,T4,S00,ST0_nominal,6.187244737986475,ok
3,X_A0_U4_P1_L2_I3_T5,L2,I3,P1,T5,S00,ST0_nominal,6.176616312004626,ok
3,X_A0_U4_P2_L2_I3_T2,L2,I3,P2,T2,S00,ST0_nominal,6.447196177003207,ok
3,X_A0_U4_P2_L2_I3_T3,L2,I3,P2,T3,S00,ST0_nominal,6.215252502006479,ok
3,X_A0_U4_P2_L2_I3_T4,L2,I3,P2,T4,S00,ST0_nominal,6.236675310996361,ok
3,X_A0_U4_P2_L2_I3_T5,L2,I3,P2,T5,S00,ST0_nominal,6.482668578013545,ok
3,X_A0_U4_P3_L2_I3_T2,L2,I3,P3,T2,S00,ST0_nominal,6.380072272004327,ok
3,X_A0_U4_P3_L2_I3_T3,L2,I3,P3,T3,S00,ST0_nominal,6.271837490989128,ok
3,X_A0_U4_P3_L2_I3_T4,L2,I3,P3,T4,S00,ST0_nominal,6.367371177999303,ok
3,X_A0_U4_P3_L2_I3_T5,L2,I3,P3,T5,S00,ST0_nominal,6.26797142601572,ok
3,X_A0_U4_P4_L2_I3_T2,L2,I3,P4,T2,S00,ST0_nominal,5.956206432019826,ok
3,X_A0_U4_P4_L2_I3_T3,L2,I3,P4,T3,S00,ST0_nominal,6.061516227986431,ok
3,X_A0_U4_P4_L2_I3_T4,L2,I3,P4,T4,S00,ST0_nominal,6.120512288995087,ok
3,X_A0_U4_P4_L2_I3_T5,L2,I3,P4,T5,S00,ST0_nominal,6.099608350981725,ok
3,X_A0_U4_P5_L2_I3_T2,L2,I3,P5,T2,S00,ST0_nominal,6.1808587170089595,ok
3,X_A0_U4_P5_L2_I3_T3,L2,I3,P5,T3,S00,ST0_nominal,6.318256844009738,ok
3,X_A0_U4_P5_L2_I3_T4,L2,I3,P5,T4,S00,ST0_nominal,6.117651428998215,ok
3,X_A0_U4_P5_L2_I3_T5,L2,I3,P5,T5,S00,ST0_nominal,6.295212602999527,ok
3,L2_S00_ST0_nominal_I3_bundle,L2,I3,,,S00,ST0_nominal,150.86471411501407,bundle_complete
5,X_A0_U4_P0_L2_I5_T2,L2,I5,P0,T2,S00,ST0_nominal,6.632176354993135,ok
5,X_A0_U4_P0_L2_I5_T3,L2,I5,P0,T3,S00,ST0_nominal,6.305970132001676,ok
5,X_A0_U4_P0_L2_I5_T4,L2,I5,P0,T4,S00,ST0_nominal,6.074915990000591,ok
5,X_A0_U4_P0_L2_I5_T5,L2,I5,P0,T5,S00,ST0_nominal,6.197711613000138,ok
5,X_A0_U4_P1_L2_I5_T2,L2,I5,P1,T2,S00,ST0_nominal,6.4828654270095285,ok
5,X_A0_U4_P1_L2_I5_T3,L2,I5,P1,T3,S00,ST0_nominal,6.234178421989782,ok
5,X_A0_U4_P1_L2_I5_T4,L2,I5,P1,T4,S00,ST0_nominal,6.105822559999069,ok
5,X_A0_U4_P1_L2_I5_T5,L2,I5,P1,T5,S00,ST0_nominal,6.301717216992984,ok
5,X_A0_U4_P2_L2_I5_T2,L2,I5,P2,T2,S00,ST0_nominal,6.22078023001086,ok
5,X_A0_U4_P2_L2_I5_T3,L2,I5,P2,T3,S00,ST0_nominal,6.1934799820010085,ok
5,X_A0_U4_P2_L2_I5_T4,L2,I5,P2,T4,S00,ST0_nominal,6.00705610300065,ok
5,X_A0_U4_P2_L2_I5_T5,L2,I5,P2,T5,S00,ST0_nominal,6.080445841012988,ok
5,X_A0_U4_P3_L2_I5_T2,L2,I5,P3,T2,S00,ST0_nominal,6.225387195008807,ok
5,X_A0_U4_P3_L2_I5_T3,L2,I5,P3,T3,S00,ST0_nominal,6.278688107006019,ok
5,X_A0_U4_P3_L2_I5_T4,L2,I5,P3,T4,S00,ST0_nominal,6.189671592001105,ok
5,X_A0_U4_P3_L2_I5_T5,L2,I5,P3,T5,S00,ST0_nominal,6.177889972022967,ok
5,X_A0_U4_P4_L2_I5_T2,L2,I5,P4,T2,S00,ST0_nominal,6.087052165996283,ok
5,X_A0_U4_P4_L2_I5_T3,L2,I5,P4,T3,S00,ST0_nominal,6.225684542994713,ok
5,X_A0_U4_P4_L2_I5_T4,L2,I5,P4,T4,S00,ST0_nominal,6.333770891011227,ok
5,X_A0_U4_P4_L2_I5_T5,L2,I5,P4,T5,S00,ST0_nominal,6.2769359029771294,ok
5,X_A0_U4_P5_L2_I5_T2,L2,I5,P5,T2,S00,ST0_nominal,6.1777425140026025,ok
5,X_A0_U4_P5_L2_I5_T3,L2,I5,P5,T3,S00,ST0_nominal,6.468967230000999,ok
5,X_A0_U4_P5_L2_I5_T4,L2,I5,P5,T4,S00,ST0_nominal,6.22138255299069,ok
5,X_A0_U4_P5_L2_I5_T5,L2,I5,P5,T5,S00,ST0_nominal,6.261450447986135,ok
5,L2_S00_ST0_nominal_I5_bundle,L2,I5,,,S00,ST0_nominal,150.9443412279943,bundle_complete
2,X_A0_U4_P0_L2_I2_T2,L2,I2,P0,T2,S00,ST0_nominal,6.16248629099573,ok
2,X_A0_U4_P0_L2_I2_T3,L2,I2,P0,T3,S00,ST0_nominal,6.676670913991984,ok
2,X_A0_U4_P0_L2_I2_T4,L2,I2,P0,T4,S00,ST0_nominal,6.215971380996052,ok
2,X_A0_U4_P0_L2_I2_T5,L2,I2,P0,T5,S00,ST0_nominal,6.291057251015445,ok
2,X_A0_U4_P1_L2_I2_T2,L2,I2,P1,T2,S00,ST0_nominal,6.304022972995881,ok
2,X_A0_U4_P1_L2_I2_T3,L2,I2,P1,T3,S00,ST0_nominal,6.35183069499908,ok
2,X_A0_U4_P1_L2_I2_T4,L2,I2,P1,T4,S00,ST0_nominal,6.180414957983885,ok
2,X_A0_U4_P1_L2_I2_T5,L2,I2,P1,T5,S00,ST0_nominal,6.116477089992259,ok
2,X_A0_U4_P2_L2_I2_T2,L2,I2,P2,T2,S00,ST0_nominal,6.1441988550068345,ok
2,X_A0_U4_P2_L2_I2_T3,L2,I2,P2,T3,S00,ST0_nominal,6.242491102981148,ok
2,X_A0_U4_P2_L2_I2_T4,L2,I2,P2,T4,S00,ST0_nominal,6.253513123985613,ok
2,X_A0_U4_P2_L2_I2_T5,L2,I2,P2,T5,S00,ST0_nominal,6.607590241008438,ok
2,X_A0_U4_P3_L2_I2_T2,L2,I2,P3,T2,S00,ST0_nominal,6.102632805006579,ok
2,X_A0_U4_P3_L2_I2_T3,L2,I2,P3,T3,S00,ST0_nominal,6.191259829996852,ok
2,X_A0_U4_P3_L2_I2_T4,L2,I2,P3,T4,S00,ST0_nominal,6.096653640997829,ok
2,X_A0_U4_P3_L2_I2_T5,L2,I2,P3,T5,S00,ST0_nominal,6.185233119991608,ok
2,X_A0_U4_P4_L2_I2_T2,L2,I2,P4,T2,S00,ST0_nominal,6.364792386011686,ok
2,X_A0_U4_P4_L2_I2_T3,L2,I2,P4,T3,S00,ST0_nominal,6.301223454007413,ok
2,X_A0_U4_P4_L2_I2_T4,L2,I2,P4,T4,S00,ST0_nominal,6.333717945002718,ok
2,X_A0_U4_P4_L2_I2_T5,L2,I2,P4,T5,S00,ST0_nominal,6.15298913398874,ok
2,X_A0_U4_P5_L2_I2_T2,L2,I2,P5,T2,S00,ST0_nominal,6.195198667002842,ok
