L,P,I,T,stress_count,p50_mean,p95_mean,p95_worst,p95_std_across_stress,rmse_mean,horiz_xz_p95_mean,vertical_y_p95_mean,sameP_delta_p95_mean,sameP_improved_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,robust_score,robust_rank
L20,P4,I3,T2,5,72.99313690647064,124.06514885116776,131.88056620467336,5.0267874250174795,81.21655657744279,86.11993393773197,101.58030538774263,14.821087091859715,1.0,107.73698914430994,20.075719212179024,114.48572053556038,388.06782074246433,L20 Xsens MTi-3,X_A0_U4_P4_L20_I3_T2,183.69093333017258,1
L20,P4,I5,T2,5,74.12584872151294,123.1743411392583,137.70074487246467,9.142300283236763,81.6957756607402,86.97494622843983,94.66724592579224,15.711894803769184,0.96,108.62779685621942,17.302353758217375,112.35180082787363,329.5955139622097,L20 Xsens MTi-3,X_A0_U4_P4_L20_I5_T2,184.2943982678597,2
L20,P4,I5,T4,5,74.42204675434253,128.36976008489754,129.4367304524901,0.7650036699649624,82.3810840897784,87.71226465475979,104.10884791344111,10.516475858129962,1.0,103.4323779105802,22.750998639660324,104.18123507631222,409.29903825241155,L20 Xsens MTi-3,X_A0_U4_P4_L20_I5_T4,186.6706820401834,3
L16,P4,I5,T4,5,74.58751277514259,129.10780866303128,131.75750715449345,1.6820377775645372,82.27004196492686,87.85884263665298,103.87725700449978,9.778427279996214,1.0,102.69432933244646,22.83468166587299,107.17971061603323,417.077787931856,L16 ICM-45686,X_A0_U4_P4_L16_I5_T4,188.8552859395099,4
L16,P4,I3,T2,5,74.29225596832325,127.05225087105453,137.63458547138958,7.02712006943297,82.7353609758997,88.46220368602226,103.69238181209758,11.833985071972954,0.9199999999999999,104.74988712442318,20.42608709116089,119.25160054019102,367.1500376830507,L16 ICM-45686,X_A0_U4_P4_L16_I3_T2,190.15359959907627,5
L16,P4,I5,T2,5,75.46291719454481,126.25422617701778,142.55091089837214,11.829840912871775,82.95170061701707,90.92498584276852,98.2083157607278,12.632009766009691,0.8400000000000001,105.54791181845992,17.710771079146234,117.20824067509038,352.60814284342746,L16 ICM-45686,X_A0_U4_P4_L16_I5_T2,190.57027865120915,6
L20,P4,I3,T4,5,75.18730273292712,132.01901233584027,133.8052513844793,1.315438222313687,83.24355321681416,88.35039848060019,105.48124847217375,6.867223607187218,1.0,99.78312565963745,23.31186291436781,109.555341821451,415.9078670706193,L20 Xsens MTi-3,X_A0_U4_P4_L20_I3_T4,193.56734569182885,7
L16,P4,I3,T4,5,75.00550496212585,132.2865129318197,133.24192779391905,0.6259215881833916,83.59501283666623,88.97748685744419,105.70118742673849,6.599723011207803,1.0,99.51562506365804,23.361455766618384,112.4127637148877,405.5995404956733,L16 ICM-45686,X_A0_U4_P4_L16_I3_T4,194.13317146412254,8
L20,P0,I5,T2,5,83.80536018006492,143.4077430395626,158.53973028331114,9.973189365415378,92.47672361861964,107.98733821333394,107.87114294464524,88.39439495591513,1.0,88.39439495591513,38.85788706702216,122.51361873776678,272.9168970276438,L20 Xsens MTi-3,X_A0_U4_P0_L20_I5_T2,195.17509271040774,9
L2,P4,I5,T4,5,77.44038515936225,133.38522064697622,135.63736440907806,1.5862050059250121,86.02965661889331,93.50090231454253,109.236227833837,5.501015296051269,0.96,98.4169173485015,23.39008191834464,117.16786635138378,385.14533223078115,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I5_T4,197.0582243188483,10
L2,P4,I3,T4,5,76.04607832576758,134.00781491052865,135.93527276093522,2.324485785111886,85.19505831430213,92.71558012731111,108.44448999503368,4.87842103249884,0.96,97.79432308494907,23.64222053434451,116.09458717736356,386.95946540402304,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I3_T4,197.7797431953358,11
L20,P5,I5,T2,5,85.99952963145252,137.41638395770062,150.86359926461256,8.04588515167116,94.17045469812223,105.020282016578,102.19309403422821,19.320675475502217,0.96,94.3857540377771,40.05729165295095,105.43389371264045,250.99001340516742,L20 Xsens MTi-3,X_A0_U4_P5_L20_I5_T2,201.20355888833552,12
L20,P5,I3,T2,5,87.14959317620273,140.82156611792055,147.74673489798607,4.313114093957473,95.63318109529979,108.05844234255983,104.78016866964768,15.915493315282273,1.0,90.98057187755717,47.07480050218682,105.68686655485517,319.4961783588003,L20 Xsens MTi-3,X_A0_U4_P5_L20_I3_T2,204.4070799866234,13
L16,P0,I5,T2,5,85.70351525947186,148.02021584174014,167.92591802755322,13.68216055449491,94.49301761419449,112.55880371084349,111.12690995807824,83.78192215373761,1.0,83.78192215373761,39.868059102880046,127.44184858513532,289.027398292655,L16 ICM-45686,X_A0_U4_P0_L16_I5_T2,204.96508390071966,14
L20,P0,I3,T2,5,85.6620640306583,152.13007015079165,162.59084263616427,6.60055182668027,95.8772616419019,113.74969973282859,119.90648786634851,79.67206784468605,1.0,79.67206784468605,45.96914277164667,127.62952750206505,288.8067015445418,L20 Xsens MTi-3,X_A0_U4_P0_L20_I3_T2,208.2632772375874,15
L16,P5,I5,T2,5,88.53661027627328,141.6190251421801,159.0306540603298,11.831327629610026,96.47032819995647,110.35104361698568,104.55433142761417,15.118034291022727,0.8400000000000001,90.18311285329762,40.65050818407872,109.59207327715146,257.9146886465542,L16 ICM-45686,X_A0_U4_P5_L16_I5_T2,209.9390564821126,16
L16,P5,I3,T2,5,89.97344649685672,143.85391132176215,153.2418000692164,6.346189783209709,98.13059548346965,111.52539690924262,107.6823419827268,12.88314811144068,0.9199999999999999,87.94822667371557,47.65305795915558,109.96841285036972,292.9038220761059,L16 ICM-45686,X_A0_U4_P5_L16_I3_T2,210.76301624568316,17
L20,P5,I5,T4,5,88.96450527922268,149.02279464541692,150.39513834037393,0.8922753715720521,98.84887071242522,114.44315121307424,109.86167530634648,7.714264787785915,1.0,82.77934335006081,53.92328047841793,103.63701192642407,462.47563422414015,L20 Xsens MTi-3,X_A0_U4_P5_L20_I5_T4,215.27807865656493,18
L16,P5,I5,T4,5,89.55206516533141,149.23436723430203,152.05847812289363,1.919477652184689,99.44858314698205,116.55707399857272,110.82357981846408,7.502692198900803,1.0,82.5677707611757,54.11763835891348,105.99760636913068,470.8034664317444,L16 ICM-45686,X_A0_U4_P5_L16_I5_T4,216.47880248295917,19
L16,P0,I3,T2,5,86.7691687844263,157.52248396973698,173.06351124965266,9.234139861289727,98.5735270414593,116.7420689333281,120.90766710757364,74.27965402574074,1.0,74.27965402574074,46.793271637337504,133.0467952480853,268.5123627015718,L16 ICM-45686,X_A0_U4_P0_L16_I3_T2,219.48181868789305,20
