experiment_id,deployability,description,capture_id,tag,n_samples,availability_fraction,effective_update_rate_hz,err3d_p50_mm,err3d_p95_mm,err3d_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p95_mm,err_vertical_y_p50_mm,err_vertical_y_p95_mm,max_gap_s,turn_center_abs_error_3d_mm,turn_center_abs_error_xz_mm,turn_center_abs_error_y_mm,fused_radius_mm,opti_radius_mm,nominal_radius_mm,radius_error_mm,radius_error_abs_mm,circle_thickness_rms_mm,circle_thickness_p95_mm,A,U,P,L,I,T,kind
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R01,BS2DCE,1201,1.0,9.670244657189972,94.30735952178415,201.38968578298758,119.05445904607323,43.68785315320708,101.74299429048261,76.82247338212665,189.30792801090138,0.2472799999999893,72.73844486950286,23.926519163818142,68.69063286021719,422.9909467375038,426.45493419491004,440.0,-3.4639874574062333,3.4639874574062333,35.27762847707923,68.43397211581788,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R01,BSDC91,1200,1.0,9.75562167699062,64.42517435793346,137.54106899389342,80.86643935390526,25.207815594684618,70.55044357006886,54.26470398863057,128.9339777745355,0.229810999999998,59.88169848062513,19.0530804756956,56.76969206637614,547.9423919123304,553.4977558404732,560.0,-5.55536392814281,5.55536392814281,18.378112425436104,34.87398737696861,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R02,BS2DCE,1201,1.0,10.185685038246906,66.76138778811689,133.13506397554553,78.15240117979351,36.49800795487096,86.039708675318,44.72134924518036,125.62005464479739,0.2527329999999921,32.81374341738346,21.823620004789948,24.504517276380057,426.8674189593861,411.38212265509225,440.0,15.485296304293854,15.485296304293854,34.79887563893361,66.90215429921409,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R02,BSDC91,1200,1.0,9.564252649297773,79.85526986004749,140.23140289216153,88.8398888365494,28.850390852342247,75.27113333594521,56.787267914572794,136.33229911209867,0.21061200000000468,55.64044253613833,17.074188995421704,52.9559337163073,530.9814358787214,533.9870329923971,560.0,-3.0055971136756625,3.0055971136756625,33.96515285315401,61.23060976501836,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R03,BS2DCE,1050,1.0,9.709869110964398,86.14862364144108,202.12017536197698,113.66247149646439,57.65277797271655,112.88912193868325,54.028566265800805,172.50697060855427,0.21259900000000087,67.68634815103687,60.77059215561331,29.805651394986853,443.0013824580974,410.241275797954,440.0,32.76010666014338,32.76010666014338,29.710434463288394,58.36923347870779,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R03,BSDC91,1200,1.0,9.619824534400529,67.29252631262003,117.61376663151131,75.57227997238239,37.1778020416362,80.0680263602563,53.570193448590885,95.4775397172686,0.22298299999999927,62.80187884661165,22.56444916868152,58.608204377701895,524.800846858635,532.4057597268549,560.0,-7.604912868219799,7.604912868219799,24.9009346633226,47.64995565376232,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R04,BS2DCE,1200,1.0,9.648877353119858,84.35822366461349,162.88810632445757,98.0637127241254,63.3516447371567,103.51955911428928,48.32642393059825,140.66202927425684,0.22420100000000076,64.94088093351867,64.00829288076837,10.966150596778562,433.8849220356952,410.89796258200374,440.0,22.98695945369144,22.98695945369144,29.54781113244173,58.08120833883858,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R04,BSDC91,1200,1.0,10.10243872870947,63.614778304210716,107.46998496772981,69.43201727868993,41.20499531243321,72.80574575822762,41.10821649367443,91.25040329027712,0.2215089999999975,43.82608511177698,38.656497101078116,20.64947863988482,539.1427773186289,533.4026523194126,560.0,5.7401249992162775,5.7401249992162775,32.241877363707644,55.909597779958105,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R05,BS2DCE,1200,1.0,9.883473843386287,80.86490051939234,173.91097418492546,100.65895455343498,61.08105802603724,155.8311234555192,40.108898478847266,105.85547176510627,0.24221000000000004,85.76907704365175,79.1954563708451,32.930445899402,445.6830445578559,412.072896874072,440.0,33.61014768378391,33.61014768378391,33.21482024137668,65.09582886505974,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R05,BSDC91,1201,1.0,10.079629069650302,57.01966854840863,91.15106817995141,61.57301433612905,35.54104410136011,77.2771851469279,37.7646724341962,68.99683847074391,0.20794599999999974,43.36243274940831,34.405184241518796,26.392875388144148,552.0496253192534,534.7991719953401,560.0,17.250453323913348,17.250453323913348,23.258057095825922,42.98635734573713,A0,U4,P4,B0,I0,T1,uwb_only
