metric,version,eval_set,stat,point,ci_low,ci_high,unit,n_values,n_boot,method,source
layout_rigid_3d_error,v1-old,all8,rms,101.27420364979389,73.8370345991083,130.00005963077908,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/tables/layout_abs_errors_all8.csv
layout_rigid_horizontal_error,v1-old,all8,rms,93.81663143384432,65.6662415757837,120.77264187254147,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/tables/layout_abs_errors_all8.csv
layout_rigid_vertical_error,v1-old,all8,rms,38.14320373678825,18.31241998174459,52.75199525817139,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/tables/layout_abs_errors_all8.csv
layout_rigid_3d_error,v2,all8,rms,136.45445890161056,112.55853468037324,159.5482865341353,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/tables/layout_abs_errors_all8.csv
layout_rigid_horizontal_error,v2,all8,rms,109.01547390580379,78.44109587485094,137.46835610784584,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/tables/layout_abs_errors_all8.csv
layout_rigid_vertical_error,v2,all8,rms,82.06976180801517,62.4280842725804,99.60490367051847,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/tables/layout_abs_errors_all8.csv
layout_rigid_3d_error,v3-full,all8,rms,143.44671872661849,98.56574751991081,180.17904955468128,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/tables/layout_abs_errors_all8.csv
layout_rigid_horizontal_error,v3-full,all8,rms,127.45478327958912,72.62927311552056,167.20933585618116,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/tables/layout_abs_errors_all8.csv
layout_rigid_vertical_error,v3-full,all8,rms,65.81974880373342,47.65563133276803,79.83176123526947,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/tables/layout_abs_errors_all8.csv
layout_rigid_3d_error,v3-lite,all8,rms,136.60069612738366,113.19566378972229,159.17395301612524,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/tables/layout_abs_errors_all8.csv
