case,case_label,source_root,fusion_id,fusion_family,fusion_deployability,fusion_description,track_count,capture_pair_count,prior_sigma_mm,measurement_sigma_mm,note,sample_err3d_n,sample_err3d_mean_mm,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_mean_mm,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_mean_mm,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err_horizontal_xz_p95_mm,trackmedian_err_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_turn_center_repeatability_rms_mm,trackmedian_bodyfit_prior_vs_opti_p50_mm,trackmedian_bodyfit_prior_vs_opti_p95_mm,turn_center_abs_error_3d_rms_mm,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,improvement_vs_PI0_sample_err3d_p50_mm,improvement_vs_PI0_sample_err3d_p95_mm,improvement_vs_PI0_sample_err3d_rmse_mm,improvement_vs_PI0_trackmedian_err3d_p50_mm,improvement_vs_PI0_trackmedian_err3d_p95_mm,improvement_vs_PI0_turn_center_abs_error_3d_rms_mm,improvement_vs_PI0_legacy_deltaR_error_rms_mm,fusion_verdict
full_original_v4io_T4,FULL original v4-io/T4,FULL,PI0,passthrough,baseline,unfiltered solved UWB antenna positions,34,17,inf,inf,original self-cal layout and solver residual delay corrections,40661,119.39146085640134,102.63336074100644,208.35038044734483,256.9324074144985,141.26598484796438,40661,77.65796592294942,66.14323345844797,145.82607164755407,178.95306106671896,93.41834672726404,40661,78.56222476731494,61.570920766890026,163.11599399532645,205.8963041825253,105.9674052235402,105.83784720842544,231.8021379954775,167.47209082957772,187.38314568289812,69.13009495766383,46.61896524458732,48.332389209494806,51.2632693702775,82.08589643324513,13.657450234965037,0.6045796683815616,1.4892126687682796,72.08191541633067,25.89900908100945,25.96917199935632,37.79143533695915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE_UNFILTERED
full_original_v4io_T4,FULL original v4-io/T4,FULL,PI1,pseudo_imu_relative_prior,online_oracle,causal filter with strong OptiTrack-derived antenna relative-motion prior,34,17,8.0,90.0,original self-cal layout and solver residual delay corrections,40661,66.3720096314021,64.02509456507221,103.151323267594,115.23472278850294,71.63280018891531,40661,43.29804282357458,39.712338559009055,75.53331687730976,87.1326969991726,49.27986472744733,40661,43.82950132817955,40.75871608265686,81.88393782548246,97.64880228330505,51.98800818794233,66.09938616581576,97.52296272829489,72.0177028894482,79.42657106993892,59.24764494562534,35.38255846184657,42.16860810664326,16.610282097632478,20.759107782810677,10.55260363454062,0.6045796683815616,1.4892126687682796,60.395758089956885,12.311320300016536,11.268616033240336,21.066614953279327,38.60826617593422,141.69768462599558,69.63318465904906,39.738461042609686,134.2791752671826,11.686157326373788,13.587688780992917,PSEUDO_IMU_HELPS
full_original_v4io_T4,FULL original v4-io/T4,FULL,PI2,pseudo_imu_relative_prior,online_oracle,causal filter with balanced OptiTrack-derived antenna relative-motion prior,34,17,30.0,90.0,original self-cal layout and solver residual delay corrections,40661,88.83450872267424,82.03925398370062,145.95844036254172,171.06042391841066,98.8872747122848,40661,58.68614068852702,51.7818174920532,107.79570448700495,127.91849040485783,68.90032514229313,40661,57.184051792342586,50.525961152229456,113.54820346735534,137.59754281569644,70.9326320906617,84.67916330338892,153.18372446200505,112.10355787538757,120.31239926646757,64.56451783783984,40.47346740156897,47.835322965407954,41.73885436277084,43.12193251242107,12.342819000937231,0.6045796683815616,1.4892126687682796,67.64003330253878,23.18324976955449,18.687347170770067,36.1409301625084,20.59410675730581,85.87198349608786,42.37871013567958,21.15868390503653,78.61841353347245,4.441882113791891,2.71575931145496,PSEUDO_IMU_HELPS
full_original_v4io_T4,FULL original v4-io/T4,FULL,PI3,pseudo_imu_relative_prior_fixed_lag,fixed_lag_oracle,bounded-lag smoother over PI1 causal pseudo-IMU trajectory,34,17,8.0,90.0,original self-cal layout and solver residual delay corrections,40661,66.33293594242164,64.69934546684875,98.29769269108888,108.52026388969402,70.71155547550948,40661,44.68046137058035,42.795633139125606,73.85465990029121,84.45698320808776,49.658760914326805,40661,42.83602334622857,40.57315620400789,78.74435161718588,90.49582341251266,50.34015834519975,63.28511758263355,102.52427273695643,75.41349954050597,74.00907445152231,58.84899739412184,30.446794235967616,38.718186832871936,13.677603830731217,19.038405276065298,11.59453609595272,0.6045796683815616,1.4892126687682796,60.605568873550624,17.103638121753487,16.167323166319363,27.74559632455773,37.93401527415767,148.4121435248045,70.55442937245489,42.55272962579189,129.27786525852105,11.47634654278005,8.795370959255962,PSEUDO_IMU_HELPS
full_original_v4io_T4,FULL original v4-io/T4,FULL,PI4,pseudo_imu_relative_prior_rts,offline_upper_bound,full-sequence RTS smoother with strong pseudo-IMU prior; uses future samples,34,17,8.0,90.0,original self-cal layout and solver residual delay corrections,40661,58.51575218624015,56.49810232954432,86.0170091224658,94.59131770349404,61.75880880226725,40661,36.77171992039062,35.066711756010264,63.16814279341053,71.47750581307672,41.5087619746037,40661,40.05515899799908,38.117106083184126,69.23411553830817,80.9963727116849,45.72934663879089,58.66696183551167,81.52143015123671,52.40282305461152,59.74095525842855,58.06673703698044,34.22835952375544,37.5613758798072,12.635856066180908,12.55104318446852,9.400246915858382,0.6045796683815616,1.4892126687682796,57.63649956204423,5.349373957398158,4.841166158680949,9.1495640782599,46.13525841146211,162.34108971100449,79.50717604569712,47.17088537291377,150.2807078442408,14.445415854286445,20.54963512361129,PSEUDO_IMU_HELPS_DIAGNOSTIC_ONLY
full_original_v4io_T4,FULL original v4-io/T4,FULL,PI5,pseudo_imu_relative_prior_rts,offline_upper_bound,full-sequence RTS smoother with balanced pseudo-IMU prior; uses future samples,34,17,30.0,90.0,original self-cal layout and solver residual delay corrections,40661,80.19571949904591,75.71578573127078,129.1321096321328,150.50940698939684,88.14375988677705,40661,53.44914690920167,47.86431653705704,96.7942936567854,114.12442186155732,62.18799263059077,40661,51.18562234037974,46.18844540388227,99.53051946225344,120.09315090178012,62.46579847849058,75.25024498999355,127.7286710578779,98.55723874076352,101.87592974616916,60.73072355519223,39.043832238052445,43.80170805182843,38.5518773945004,32.206333801759094,11.60560189840338,0.6045796683815616,1.4892126687682796,64.56354985311552,19.70560919347641,18.53186396126597,30.63352479970148,26.917575009735643,106.42300042510168,53.12222496118733,30.587602218431897,104.0734669375996,7.518365563215156,6.19339988753304,PSEUDO_IMU_HELPS_DIAGNOSTIC_ONLY
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction,PI0,passthrough,baseline,unfiltered solved UWB antenna positions,34,17,inf,inf,pre-registered one-baseline E-H control,40661,112.27919645210672,104.39306196427772,179.10647036484852,207.44455636229537,126.68509529098873,40661,68.96347314506536,61.19040658818304,122.94459688204893,145.71251507299837,80.75485520335927,40661,77.16594611213858,66.78702973087798,150.355925558742,177.84031099883418,97.61027983758356,106.21110129630526,200.39273513936124,138.20735472944034,170.42965250274804,75.2262212300983,39.99978423838368,62.25407052673325,21.165907366501585,74.99993882688014,13.677185796781677,0.6045796683815616,1.4892126687682796,77.0801596837481,13.358114036861302,13.128300004404934,20.408069261233837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE_UNFILTERED
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction,PI1,pseudo_imu_relative_prior,online_oracle,causal filter with strong OptiTrack-derived antenna relative-motion prior,34,17,8.0,90.0,pre-registered one-baseline E-H control,40661,69.3409471081738,69.34111491100126,100.933966454209,110.13511193487766,73.7393969395738,40661,36.53474314214425,35.212845408596834,60.11175995407008,67.88207207327788,40.73425909112599,40661,54.39791053789239,54.74614274228804,90.450145882995,100.85632349577564,61.46721725691708,70.1555059404266,104.60338879698466,58.99520592068925,88.54780245276199,67.47404608309688,30.136047717626116,55.75157541340269,5.984283202428856,20.7250479501046,10.54280127709994,0.6045796683815616,1.4892126687682796,68.14698781147126,10.3618290947469,9.452311667953722,15.825654914964806,35.051947053276464,97.30944442741772,52.94569835141492,36.055595355878665,95.78934634237658,8.93317187227683,2.9962849421144018,PSEUDO_IMU_HELPS
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction,PI2,pseudo_imu_relative_prior,online_oracle,causal filter with balanced OptiTrack-derived antenna relative-motion prior,34,17,30.0,90.0,pre-registered one-baseline E-H control,40661,85.35208475435633,82.83611675709672,131.14240194097027,147.16204884237794,92.84317824543604,40661,49.36713171933792,45.08100735927827,86.49476375317012,102.31539088815973,56.79534661183898,40661,61.450519732108624,57.27262846894496,114.07562780924547,129.77904129103354,73.44483882448704,85.50291403798052,139.11164212046322,93.97219385796224,119.78220888242176,74.06112847276113,35.521310131807695,59.33070192176445,16.210014786215993,40.647792927164375,11.749458203729631,0.6045796683815616,1.4892126687682796,74.29584499909797,14.627471525313643,12.901632260094516,23.9189785193713,21.556945207181,60.28250751991743,33.84191704555268,20.70818725832474,61.28109301889802,2.784314684650127,-1.2693574884523429,PSEUDO_IMU_HELPS
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction,PI3,pseudo_imu_relative_prior_fixed_lag,fixed_lag_oracle,bounded-lag smoother over PI1 causal pseudo-IMU trajectory,34,17,8.0,90.0,pre-registered one-baseline E-H control,40661,72.18760998890097,71.83396091513372,108.98184830292786,118.41431116369256,77.43590757537193,40661,40.28239085733112,38.88644497823445,66.4936271385862,74.04823244114291,44.69843148869072,40661,55.176445362742825,55.86305831510049,95.06401126323658,104.51647319922928,63.23266564420927,72.97538449625208,108.2948847205626,66.89809956971209,95.4763828893238,68.02871147486474,30.367470549748663,57.127651317497566,26.812166050284876,19.096577354037148,10.624007549277348,0.6045796683815616,1.4892126687682796,67.95841726271166,14.492775393835178,12.681364754767628,22.77285130395546,32.559101049144004,89.03024519860283,49.24918771561679,33.23571680005318,92.09785041879864,9.12174242103643,-1.1346613569738755,PSEUDO_IMU_HELPS
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction,PI4,pseudo_imu_relative_prior_rts,offline_upper_bound,full-sequence RTS smoother with strong pseudo-IMU prior; uses future samples,34,17,8.0,90.0,pre-registered one-baseline E-H control,40661,64.64586437101929,65.11326134471322,89.40009608492058,95.95594851956156,67.67858312005345,40661,32.07708073733868,31.32577128593428,50.79202253643007,56.91243966842724,35.093531474562255,40661,52.98608494468376,54.09931900928029,82.38548314371974,89.84242217557062,57.86911664940023,65.66747402085298,88.9060376747501,46.411779198979154,75.07706635266112,65.02133088208465,29.74135874529427,54.10001791224204,5.011539879966364,12.559194507993103,8.627717905571519,0.6045796683815616,1.4892126687682796,65.53716723754872,3.642049495368864,1.9094345805803528,6.397830484648894,39.2798006195645,111.4886078427338,59.00651217093527,40.54362727545228,111.48669746461114,11.542992446199378,9.716064541492438,PSEUDO_IMU_HELPS_DIAGNOSTIC_ONLY
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction,PI5,pseudo_imu_relative_prior_rts,offline_upper_bound,full-sequence RTS smoother with balanced pseudo-IMU prior; uses future samples,34,17,30.0,90.0,pre-registered one-baseline E-H control,40661,78.41059527728066,76.89345866120975,118.9105994633828,131.6631022412325,84.55522356221566,40661,44.24482423392667,40.98279141682325,76.25514084694895,89.78664018467103,50.38689141345381,40661,57.6330385743704,55.34727334017475,105.55560417783111,118.40893996087355,67.90248158458633,79.21548370398423,123.31515387376736,78.03168945900393,107.8795009142136,68.76359034376942,35.56745360253663,60.14138306595771,17.18557085548531,30.593499801000704,10.777956855805702,0.6045796683815616,1.4892126687682796,71.11699236680363,10.98837513129465,10.896330012240924,17.3138531421102,27.49960330306797,75.78145412106286,42.129871728773054,26.995617592321025,77.07758126559388,5.963167316944464,2.3697389055666527,PSEUDO_IMU_HELPS_DIAGNOSTIC_ONLY
scale_to_vicon_delaycal_v4io_T4,Full similarity scale + delaycal / v4-io/T4,FULL_AutoPos_scale_to_vicon,PI0,passthrough,baseline,unfiltered solved UWB antenna positions,34,17,inf,inf,full similarity scale-to-Vicon with re-estimated residual delay corrections,40661,114.47494734715544,107.6817918768846,181.3030731950046,207.96216618655123,127.7562833974634,40661,69.99616535642467,62.85757509799113,123.23541872980496,145.69708410145583,81.42999030600001,40661,78.647992613031,68.65419470835445,154.10823778453573,179.4351716967892,98.4419860948454,110.50368257403034,200.7083769132022,139.53230205195888,176.54631896422873,71.33256496662933,37.59992091940214,59.5337090650296,18.636902194679863,75.30137805269408,13.320584546572446,0.6045796683815616,1.4892126687682796,76.66271037947061,15.607954476407162,12.28693623263996,24.443409456159436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE_UNFILTERED
