capture_id,delta_from_best_s,beta_s,score_median_3d_mm,n_overlap
R01,-0.5,37.20795600000014,441.77436592652657,2401
R01,-0.2,37.507956000000135,204.8894620361927,2401
R01,-0.1,37.60795600000014,138.16768174510216,2401
R01,-0.05,37.65795600000014,115.69151616733058,2401
R01,0.0,37.70795600000014,107.20546492327846,2401
R01,0.05,37.757956000000135,120.1167310862264,2401
R01,0.1,37.80795600000014,143.9148233800772,2401
R01,0.2,37.90795600000014,212.0773103121887,2401
R01,0.5,38.20795600000014,446.6967194901248,2401
R02,-0.5,46.02235800000014,396.3357101749429,2401
R02,-0.2,46.322358000000136,195.50739596227376,2401
R02,-0.1,46.42235800000014,137.59462796669686,2401
R02,-0.05,46.47235800000014,118.69418099110605,2401
R02,0.0,46.52235800000014,110.93572178105433,2401
R02,0.05,46.572358000000136,119.7930750201189,2401
R02,0.1,46.62235800000014,140.40174201873458,2401
R02,0.2,46.72235800000014,197.3931806381533,2401
R02,0.5,47.02235800000014,397.0313271736662,2401
R03,-0.5,45.877582000000146,395.9213506013755,2255
R03,-0.2,46.17758200000014,191.95597635424417,2252
R03,-0.1,46.277582000000145,130.7037048721021,2251
R03,-0.05,46.32758200000015,111.20652167518683,2251
R03,0.0,46.377582000000146,106.78418228218246,2250
R03,0.05,46.42758200000014,119.06534929951411,2250
R03,0.1,46.47758200000015,140.8463287333585,2249
R03,0.2,46.57758200000015,199.91971555141492,2248
R03,0.5,46.877582000000146,406.7798490354927,2245
R04,-0.5,46.79321100000013,394.51945655147586,2400
R04,-0.2,47.093211000000124,191.6838330057791,2400
R04,-0.1,47.193211000000126,134.30172973035368,2400
R04,-0.05,47.24321100000013,113.48589279883036,2400
R04,0.0,47.29321100000013,103.83337530664596,2400
R04,0.05,47.343211000000124,111.96705093322441,2400
R04,0.1,47.39321100000013,132.8576001904011,2400
R04,0.2,47.49321100000013,192.50806620610888,2400
R04,0.5,47.79321100000013,400.4112918949095,2400
R05,-0.5,48.20257800000013,407.1738692251128,2401
R05,-0.2,48.50257800000013,204.34807203628299,2401
R05,-0.1,48.60257800000013,141.49841240365035,2401
R05,-0.05,48.65257800000013,121.39951293691014,2401
R05,0.0,48.70257800000013,113.44679221003578,2401
R05,0.05,48.75257800000013,121.99870971210339,2401
R05,0.1,48.80257800000013,142.58411485468326,2401
R05,0.2,48.90257800000013,200.3221952046703,2401
R05,0.5,49.20257800000013,413.6383745680964,2401
R06,-0.5,45.02379100000014,342.9041477481559,2401
R06,-0.2,45.323791000000135,178.43029706945484,2401
R06,-0.1,45.423791000000136,132.4461885739547,2401
R06,-0.05,45.47379100000014,119.73568495984077,2401
R06,0.0,45.52379100000014,117.14211614527524,2401
R06,0.05,45.573791000000135,123.7805733662138,2401
R06,0.1,45.62379100000014,139.8677663516828,2401
R06,0.2,45.72379100000014,182.1237534046819,2401
R06,0.5,46.02379100000014,343.6457404982299,2401
R07,-0.5,44.729804000000115,356.38818182951087,2401
R07,-0.2,45.02980400000011,181.05754173182265,2401
R07,-0.1,45.129804000000114,129.01038434934907,2401
R07,-0.05,45.17980400000012,110.80393602974422,2401
R07,0.0,45.229804000000115,100.90395455080343,2401
R07,0.05,45.27980400000011,102.75492044130209,2401
R07,0.1,45.32980400000012,113.46289156328756,2401
R07,0.2,45.42980400000012,154.05285393925035,2401
R07,0.5,45.729804000000115,311.60463995018944,2401
R08,-0.5,44.34747700000013,335.82209104907076,2401
R08,-0.2,44.64747700000013,164.37505664009223,2401
R08,-0.1,44.74747700000013,117.8338489419521,2401
R08,-0.05,44.797477000000136,101.49702961070726,2401
R08,0.0,44.84747700000013,95.03493331671426,2401
R08,0.05,44.89747700000013,103.3238530260183,2401
R08,0.1,44.947477000000134,120.74618291544786,2401
R08,0.2,45.047477000000136,168.33642353872594,2401
R08,0.5,45.34747700000013,343.09904417009864,2401
R09,-0.5,44.46743900000014,348.1564174994962,2400
R09,-0.2,44.76743900000014,189.18267623675135,2400
R09,-0.1,44.86743900000014,142.1919249571783,2400
R09,-0.05,44.917439000000144,126.77463999398111,2400
R09,0.0,44.96743900000014,122.72066283492782,2400
R09,0.05,45.01743900000014,129.56185266318835,2400
R09,0.1,45.06743900000014,144.36875267313775,2400
R09,0.2,45.167439000000144,190.0169442515098,2400
R09,0.5,45.46743900000014,363.70226429980335,2400
R10,-0.5,44.84070900000013,316.9972309126871,2400
R10,-0.2,45.14070900000013,155.58747908691169,2400
R10,-0.1,45.24070900000013,110.81635671969924,2400
R10,-0.05,45.290709000000135,95.74702229913314,2400
R10,0.0,45.34070900000013,90.12549456408001,2400
R10,0.05,45.39070900000013,97.40533013315277,2400
R10,0.1,45.44070900000013,114.36178942530665,2400
R10,0.2,45.540709000000135,161.03230325318953,2400
R10,0.5,45.84070900000013,323.3459574059998,2400
R11,-0.5,45.012481000000136,304.874016495183,2401
R11,-0.2,45.31248100000013,148.86231881142396,2401
R11,-0.1,45.412481000000135,109.13633531253767,2401
R11,-0.05,45.46248100000014,97.11361728546579,2401
R11,0.0,45.512481000000136,93.09557430637604,2401
