L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,accuracy_rank,rescue_rank
L20,A0,U4,P4,I5,T2,position_fusion,5,68.41527837277158,112.11947569066972,2.070138717381489,75.67346898510884,77.20376461784534,92.5702508357009,138.8862359430275,26.766760252357777,1.0,119.68266230480799,16.611810863369577,105.13036154425401,391.33633406760225,L20 Xsens MTi-3,X_A0_U4_P4_L20_I5_T2,1,193
L16,A0,U4,P4,I5,T2,position_fusion,5,68.97208718918213,114.94037318282658,4.693714435827412,76.08845140604735,80.81059943207674,91.62027640856745,138.8862359430275,23.945862760200917,1.0,116.86176481265113,16.924635602253524,107.82490252379303,348.6700563789349,L16 ICM-45686,X_A0_U4_P4_L16_I5_T2,2,222
L20,A0,U4,P4,I4,T2,position_fusion,5,70.39354716407212,117.45343389173676,5.194981424578498,77.63291097463656,82.30185546074912,94.63929370283084,138.8862359430275,21.432802051290714,1.0,114.34870410374091,18.82398272746581,109.40338018552163,429.4242462920218,L20 Xsens MTi-3,X_A0_U4_P4_L20_I4_T2,3,251
L16,A0,U4,P4,I3,T2,position_fusion,5,71.12873376188979,118.43414790325642,2.9821090413298093,77.85477060801655,83.82816348292198,97.70791333320997,138.8862359430275,20.45208803977108,1.0,113.36799009222129,19.73803185451455,109.26534352044773,333.4761377737664,L16 ICM-45686,X_A0_U4_P4_L16_I3_T2,4,264
L20,A0,U4,P4,I2,T2,position_fusion,5,71.64114787719204,118.51190736225672,2.767515006111385,78.98465089250688,81.52167600175741,101.05624776284074,138.8862359430275,20.374328580770783,1.0,113.290230633221,20.04973901541615,112.54315178632439,355.24714678009303,L20 Xsens MTi-3,X_A0_U4_P4_L20_I2_T2,5,265
L20,A0,U4,P4,I8,T2,position_fusion,5,70.62608028029251,118.90427454847297,4.801392429228655,78.6041871045176,82.6519141336038,96.44163818633365,138.8862359430275,19.98196139455452,1.0,112.89786344700474,18.02078796236532,111.5183344891592,395.7522973634867,L20 Xsens MTi-3,X_A0_U4_P4_L20_I8_T2,6,277
L20,A0,U4,P4,I6,T2,position_fusion,5,68.73951382794613,119.50864541971984,2.5708641769744625,77.38494516699063,79.33317917675427,93.88979322869727,138.8862359430275,19.377590523307635,1.0,112.29349257575784,17.551256255272996,106.84344202359992,454.1339902444398,L20 Xsens MTi-3,X_A0_U4_P4_L20_I6_T2,7,284
L20,A0,U4,P4,I3,T2,position_fusion,5,71.2101901330171,119.99409112894239,1.5993477382188361,78.57145331975302,81.10841923127353,98.59705919274231,138.8862359430275,18.892144814085107,1.0,111.80804686653532,19.5132820410012,108.57670999401344,397.44675876314693,L20 Xsens MTi-3,X_A0_U4_P4_L20_I3_T2,8,290
L16,A0,U4,P4,I6,T2,position_fusion,5,73.00344195974384,121.13491758697322,1.9741231812485118,79.32483668471198,84.67795451450904,95.87705238456006,138.8862359430275,17.751318356054266,1.0,110.66722040850448,17.904060390355916,109.84794104901873,397.6784582250622,L16 ICM-45686,X_A0_U4_P4_L16_I6_T2,9,304
L20,A0,U4,P4,I1,T2,position_fusion,5,72.7923173998116,121.76158440091073,3.627527830218554,78.91974447966247,84.49430706260978,97.92968912915418,138.8862359430275,17.124651542116748,1.0,110.04055359456694,20.072372875884252,110.35180397351341,340.26442120569243,L20 Xsens MTi-3,X_A0_U4_P4_L20_I1_T2,10,317
L20,A0,U4,P4,I7,T2,position_fusion,5,71.2577022430896,121.95064280213833,4.321133507341985,80.2178562600578,85.17430379422669,100.12796462378209,138.8862359430275,16.935593140889164,1.0,109.85149519333936,19.921743202895936,114.1467032147513,418.3037671666888,L20 Xsens MTi-3,X_A0_U4_P4_L20_I7_T2,11,322
L20,A0,U4,P1,I5,T2,position_fusion,5,75.61040410864221,122.69554644881745,2.0474688844223037,82.4887580900556,91.78328717407393,93.60576226847044,179.58127537090328,56.88572892208583,1.0,109.10659154666023,34.030666561211525,111.96092944533612,348.9740618866866,L20 Xsens MTi-3,X_A0_U4_P1_L20_I5_T2,12,42
L16,A0,U4,P4,I8,T2,position_fusion,5,71.841634076271,122.93861092622842,3.530026235503604,80.69911016351313,82.31137789218187,96.94901501214193,138.8862359430275,15.947625016799062,1.0,108.86352706924927,18.272308849028907,111.07710772036133,314.3631034932079,L16 ICM-45686,X_A0_U4_P4_L16_I8_T2,13,338
