variant,position,frames_input,frames_solved,delta_tag_train_mm,rho_tag_train_percent,anchor_delay_min_mm,anchor_delay_max_mm,correction_description,anchor_registration,anchor_registration_det,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,d3_std_mm,pct_solved_ge8,residual_rms_median_mm
V-B_tagfit_delta_only_LOO_T4,ID01,1201,1201,-171.38938535073328,8.0523571606129,-45.06347709154271,72.59077498186588,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,41.17528729725643,-278.7384097884822,-12.762469111572898,43.10782877663243,278.7384097884822,282.05209801249003,78.3734997670721,91.75686927560366,96.08715477667523
V-B_tagfit_delta_plus_rho_LOO_T4,ID01,1201,1201,-171.38938535073328,8.0523571606129,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,84.26978178830336,3.477418433004459,26.55577853814026,88.35499700874318,3.477418433004459,88.42340151437975,54.910532299998884,91.75686927560366,71.4959044728353
V-B_tagfit_delta_only_LOO_T4,ID02,1201,1201,-157.7780664182711,7.746452511622337,-42.74496032549759,79.13285842820748,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-71.46812869404641,102.48126609741757,10.645644596366026,72.25664791492142,102.48126609741757,125.39311412047563,105.98737497394936,95.67027477102414,119.01608356093921
V-B_tagfit_delta_plus_rho_LOO_T4,ID02,1201,1201,-157.7780664182711,7.746452511622337,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,26.461271037635015,-27.119697473206543,49.94880211939375,56.525053720359566,27.119697473206543,62.694175878846835,64.73616208327532,95.67027477102414,57.27565975658623
V-B_tagfit_delta_only_LOO_T4,ID03,1201,1201,-138.39189607457826,7.11333773540872,-30.100495018001745,91.57401560066998,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-44.1171948154672,403.9601565827322,-26.963015784536594,51.704265767759004,403.9601565827322,407.25561899736704,95.97368623474337,92.2564529558701,140.03031505258986
V-B_tagfit_delta_plus_rho_LOO_T4,ID03,1201,1201,-138.39189607457826,7.11333773540872,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,13.952348466193484,50.81751163933541,23.625035605188657,27.437389363212446,50.81751163933541,57.75144867691643,82.25275095938589,92.2564529558701,136.06390921031965
V-B_tagfit_delta_only_LOO_T4,ID04,1201,1201,-179.41406784181555,8.157136395988118,-55.245969712592036,70.78883312019201,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,48.0813603286349,-471.85742286462374,38.764596643852144,61.76172895906152,471.85742286462374,475.8822739674771,58.38425308103396,93.83846794338052,107.4464645179868
V-B_tagfit_delta_plus_rho_LOO_T4,ID04,1201,1201,-179.41406784181555,8.157136395988118,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,46.820801459512495,-139.91919286626504,-56.39553848327938,73.29832337871129,139.91919286626504,157.9557683102368,58.14251711253442,93.83846794338052,79.5516354104912
V-B_tagfit_delta_only_LOO_T4,ID05,1200,1200,-146.7498776931585,7.317683348136761,-35.21643591599624,69.77884465747533,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-34.68549678137637,105.71045227520244,51.62343749410252,62.19375359052049,105.71045227520244,122.64894090821262,193.3576038316722,91.5,206.21808241054114
V-B_tagfit_delta_plus_rho_LOO_T4,ID05,1200,1200,-146.7498776931585,7.317683348136761,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,-3.9027282814131183,9.122209650484365,-19.123652624206215,19.517822053954973,9.122209650484365,21.544374825862114,72.7285626006268,91.5,138.11447673264428
