pair,i,j,anchor_i,anchor_j,dhat_mm,vicon_distance_mm,oracle_excess_mm
A-B,0,1,A,B,2895.1933471933476,2665.0643575793506,230.12898961399696
A-C,0,2,A,C,3717.5,3414.1085019320158,303.39149806798423
A-D,0,3,A,D,2428.8099547511315,2165.8598471827554,262.9501075683761
A-E,0,4,A,E,1548.9817587802886,1403.6365517390243,145.3452070412643
A-F,0,5,A,F,3321.9016657710913,3074.024420727174,247.87724504391736
A-G,0,6,A,G,4020.659751037345,3734.3841559079856,286.2755951293593
A-H,0,7,A,H,2687.5000000000005,2517.200327023951,170.29967297604935
B-C,1,2,B,C,2407.1395939086296,2179.133082966119,228.00651094251043
B-D,1,3,B,D,3669.8390243902436,3440.4790686576366,229.35995573260698
B-E,1,4,B,E,3134.515596330275,2955.9630981271275,178.55249820314748
B-F,1,5,B,F,1619.7131979695432,1392.3829235074895,227.3302744620537
B-G,1,6,B,G,2744.951219512195,2658.9595708272213,85.99164868497382
B-H,1,7,B,H,3901.1882352941175,3745.511858044666,155.67637724945143
C-D,2,3,C,D,2887.3329758713135,2636.9464765477865,250.386499323527
C-E,2,4,C,E,3885.9282218597064,3718.707957323416,167.22026453629041
C-F,2,5,C,F,2672.0,2566.2905209564447,105.70947904355535
C-G,2,6,C,G,1617.9904153354632,1406.489122081887,211.50129325357625
C-H,2,7,C,H,3346.5,3091.2461466183227,255.25385338167735
D-E,3,4,D,E,2792.3801916932907,2660.813628381067,131.56656331222393
D-F,3,5,D,F,3848.748235294118,3737.3010362894142,111.44719900470363
D-G,3,6,D,G,3160.241095890411,2964.7456840920613,195.49541179834978
D-H,3,7,D,H,1659.3837837837839,1395.6256482556894,263.7581355280945
E-F,4,5,E,F,2760.4705882352937,2682.8449302921804,77.62565794311331
E-G,4,6,E,G,3711.716981132075,3495.0033830335615,216.71359809851356
E-H,4,7,E,H,2332.5829694323143,2198.9630417696453,133.61992766266894
F-G,5,6,F,G,2373.6393442622953,2236.1352352837457,137.50410897854954
F-H,5,7,F,H,3659.487804878049,3509.9137150979086,149.57408978014018
G-H,6,7,G,H,2880.0,2739.7245543524423,140.27544564755772
