case_id,layout_name,case_kind,fixed_tag_delay_mm,n_sessions,err_3d_median_mm,err_3d_p95_mm,err_3d_rmse_mm,err_horizontal_median_mm,err_horizontal_p95_mm,err_vertical_median_mm,err_vertical_p95_mm,d_tag_session_median_p50_mm,d_tag_session_median_p25_mm,d_tag_session_median_p75_mm,d_tag_session_median_iqr_mm,d_tag_frame_iqr_session_median_mm,residual_rms_session_median_mm,pct_solved_ge8_session_median
phase1c_common_mode_fixed_0mm,phase1c_common_mode,fixed,0.0,24,109.51538194751674,223.8592378045819,140.52524928793653,45.21830372733815,75.96229646685205,89.42072844017994,222.158724199241,0.0,0.0,0.0,0.0,0.0,87.92488329406694,91.88176519567027
phase1c_common_mode_fixed_112mm,phase1c_common_mode,fixed,112.0,24,74.74306448199832,153.42575377133784,89.75583235782045,42.250132908133445,93.50522274765461,53.13862398256859,138.73718471444022,112.0,112.0,112.0,0.0,0.0,105.5308481126625,91.88176519567027
phase1c_common_mode_fixed_130mm,phase1c_common_mode,fixed,130.0,24,89.80567601192098,156.23642053513274,104.50300066849069,50.284482539991664,113.03930943523588,56.45839236752981,142.3814975647483,130.0,130.0,130.0,0.0,0.0,116.8617669380996,91.88176519567027
phase1c_common_mode_fixed_150mm,phase1c_common_mode,fixed,150.0,24,112.16485026850565,171.8283406574094,123.25534020281621,64.0681328186086,135.4628481472277,80.679820662363,160.83172047481293,150.0,150.0,150.0,0.0,0.0,129.65125202561137,91.88176519567027
phase1c_common_mode_fixed_40mm,phase1c_common_mode,fixed,40.0,24,74.03889437314044,161.59445784199667,90.40319089442741,35.83232069087913,64.42543352001026,58.44429426790964,145.00741753388266,40.0,40.0,40.0,0.0,0.0,82.17157288101485,91.88176519567027
phase1c_common_mode_fixed_60mm,phase1c_common_mode,fixed,60.0,24,63.51051673424904,135.96995234392443,77.25550046637565,26.752697702134746,61.711300912101706,52.509958444297695,121.93121664231157,60.0,60.0,60.0,0.0,0.0,87.33760234905031,91.88176519567027
phase1c_common_mode_fixed_80mm,phase1c_common_mode,fixed,80.0,24,60.06561083588939,131.97725808819285,74.87094265537777,32.15291475384795,71.977315326434,45.79998998743099,102.44719298160152,80.0,80.0,80.0,0.0,0.0,94.61846134812845,91.88176519567027
phase1c_common_mode_fixed_95mm,phase1c_common_mode,fixed,95.0,24,60.73939712875314,145.7753139498642,79.52545074231655,35.491227738605716,81.70225225029365,47.806848232924125,125.01978171265314,95.0,95.0,95.0,0.0,0.0,98.98961493652314,91.88176519567027
phase1c_common_mode_joint,phase1c_common_mode,joint,,24,72.85638274226098,317.4728220696032,146.8447618991669,34.38579119138011,70.346136939867,61.189888793822206,306.3057147272128,46.71524634348944,9.515832963775841,63.117008139629604,53.60117517585376,26.204292911177102,77.81081783909474,91.88176519567027
production_v4io_fixed_0mm,production_v4io,fixed,0.0,24,72.6891193204547,171.49736845476423,109.84509967728258,37.4203480766745,73.55923720151176,61.870068315403614,169.9758029065568,0.0,0.0,0.0,0.0,0.0,79.59724289805993,91.88176519567027
production_v4io_fixed_112mm,production_v4io,fixed,112.0,24,94.94171604786035,147.92569932158924,102.13653259469872,51.30841986665607,107.75829993942203,59.01273689584889,141.91253472448165,112.0,112.0,112.0,0.0,0.0,110.67261740498886,91.88176519567027
production_v4io_fixed_130mm,production_v4io,fixed,130.0,24,112.89317773666622,171.6522882851178,118.06959569852813,59.72167573588793,127.11782288571492,73.78383373225654,165.7420998684579,130.0,130.0,130.0,0.0,0.0,121.04405631558835,91.88176519567027
production_v4io_fixed_150mm,production_v4io,fixed,150.0,24,136.36348568222874,184.42091970629116,136.69236290556145,68.2598268976044,146.83631132254862,84.74467617954122,173.07642201995571,150.0,150.0,150.0,0.0,0.0,140.10713385392836,91.88176519567027
production_v4io_fixed_40mm,production_v4io,fixed,40.0,24,61.05792248907631,117.45674191974653,76.8639232360224,35.87059333837661,71.19080038544001,47.43322544675257,110.94417191430288,40.0,40.0,40.0,0.0,0.0,78.94785015729697,91.88176519567027
production_v4io_fixed_60mm,production_v4io,fixed,60.0,24,59.03043449258824,110.33432492153678,74.12102612118609,34.31117439817922,69.57391268945419,39.28535303000672,95.03830949487028,60.0,60.0,60.0,0.0,0.0,80.06931560942208,91.88176519567027
production_v4io_fixed_80mm,production_v4io,fixed,80.0,24,68.82395088205706,121.03830285931798,79.90370355686996,36.16433804584473,72.86567784318518,49.528707298348436,112.441889576985,80.0,80.0,80.0,0.0,0.0,86.34883142617835,91.88176519567027
production_v4io_fixed_95mm,production_v4io,fixed,95.0,24,76.65189728383307,137.30589341731846,88.84050566890514,37.16478488270772,88.18798094178003,48.255215350220055,121.33440098623485,95.0,95.0,95.0,0.0,0.0,96.92493582587434,91.88176519567027
production_v4io_joint,production_v4io,joint,,24,72.76758268526774,207.348881746381,106.41357641905529,34.870862683925374,64.66290788623533,59.467827666305084,198.923751988604,39.24764241462283,18.82880224145248,52.83675727305929,34.00795503160681,21.614760715172356,74.06019540542883,91.88176519567027
