version,tag_method,eval_set,ID,capture,location,height,facing,tag_truth_source,tag_truth_corrected,tag_truth_permutation,tag_truth_shift_from_motive_mm,tag_ball_fingerprint_as_is_max_abs_dev_mm,tag_ball_fingerprint_corrected_max_abs_dev_mm,point_estimator,tag_delay_by_tag_mm,effective_tag_delay_mm,frames_input,frames_solved,solve_fraction,status,x_mm,y_mm,z_mm,mean_x_mm,mean_y_mm,mean_z_mm,median_x_mm,median_y_mm,median_z_mm,x_std_mm,y_std_mm,z_std_mm,d3_std_mm,radial_p50_mm,radial_p95_mm,anchors_used_median,anchors_input_median,pct_solved_ge7,pct_solved_ge8,residual_rms_median_mm,residual_rms_p95_mm,rejected_frames,rejected_anchor_counts,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,anchor_fit_det,anchor_fit_scale,anchor_fit_vertical_shift_mm,anchor_fit_method,anchor_similarity_scale_diagnostic,distance_to_array_centroid_mm,scale_bias_expected_mm,source_tr_all,layout_json
v4-io-commonmode,T4,all8,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,reconstructed_from_relabelled_balls,True,"0,1,4,2,3",54.12208743140742,29.051378695780997,1.5155498742221383,mean,"{""BSF66F"": 95.0}",95.0,1201,1201,1.0,ok,1320.9148791644598,772.0521744930026,148.86338245843797,1320.9148791644607,772.052174493003,148.8633824584379,1321.4934991390967,772.5853541082387,149.64095647663652,19.284012158567915,22.71024654279893,33.052966848960594,44.498618410968604,36.597541810826826,75.71027657839048,8.0,8.0,99.75020815986679,91.75686927560366,103.78794130907578,182.2067950114159,0,{},204.60976468551712,3189.1490136090224,-295.10954608389125,-542.215344349341,182.54280058407934,-383.3240609304319,746.8251090348581,3006.606213024943,88.21451484654068,752.0169839269179,3006.606213024943,3099.227397967875,0.9999999999999999,1.0,3040.2856311505843,height_preserving_2d_horizontal_FGH_vertical_shift,1.0097822800764376,889.8367413746068,8.704632226430935,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io-commonmode/layout.json
v4-io-commonmode,T4,all8,ID02,static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,motive_iantenna,False,"0,1,2,3,4",0.0,0.6572220380767959,0.6572220380767959,mean,"{""BSF66F"": 95.0}",95.0,1201,1201,1.0,ok,1449.2809782487907,691.0341992377935,-808.9999425798102,1449.2809782487932,691.0341992377932,-808.9999425798114,1454.0385719811998,693.9608765208238,-818.8029182550204,36.175927652901805,46.58223851452609,56.32639354347551,81.55528981118675,61.574671709656485,162.0704609942275,8.0,8.0,99.91673605328893,95.67027477102414,85.27554517662003,114.58641641065745,0,{},288.43394668521194,2231.2856885707743,-168.55807742127968,-543.22998,1105.589,-259.92136,831.6639266852119,1125.6966885707743,91.36328257872032,836.6672793608129,1125.6966885707743,1402.5709147890639,0.9999999999999999,1.0,3040.2856311505843,height_preserving_2d_horizontal_FGH_vertical_shift,1.0097822800764376,461.6346339824702,4.515839282600261,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID02_BSF66F_120s_20260528_111027/tag_capture_20260528_111027/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io-commonmode/layout.json
v4-io-commonmode,T4,all8,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,motive_iantenna,False,"0,1,2,3,4",0.0,0.6213212809211015,0.6213212809211015,mean,"{""BSF66F"": 95.0}",95.0,1201,1201,1.0,ok,1406.0183055164468,668.233222038144,-1412.6328034235319,1406.0183055164473,668.233222038144,-1412.632803423533,1414.4006995993254,673.3527461499655,-1412.3130824252898,44.158105738290025,60.4012583634987,38.4380777097479,84.11739494485515,37.60626206995827,222.97362933119697,8.0,8.0,100.0,92.2564529558701,159.55040930536413,190.99847127538118,0,{},310.2770176347019,1627.6528277270525,-212.3122048231644,-554.00287,1625.5614500000001,-256.2951,864.2798876347019,2.091377727052304,43.9828951768356,865.3983009215984,2.091377727052304,865.4008279975163,0.9999999999999999,1.0,3040.2856311505843,height_preserving_2d_horizontal_FGH_vertical_shift,1.0097822800764376,813.3092827400905,7.956019192530105,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID03_BSF66F_120s_20260528_111354/tag_capture_20260528_111355/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io-commonmode/layout.json
v4-io-commonmode,T4,all8,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,motive_iantenna,False,"0,1,2,3,4",0.0,1.6855830977794,1.6855830977794,mean,"{""BSF66F"": 95.0}",95.0,1201,1201,1.0,ok,2111.3349766503075,1011.0251357783574,145.71743535447644,2111.33497665031,1011.0251357783575,145.71743535447632,2116.2097505437355,1018.9975157452623,134.7969641711129,29.434979558427802,36.41607523130154,57.82957117875804,74.40972960289479,30.91820041790387,204.94543668804258,8.0,8.0,100.0,93.83846794338052,94.19128856397049,129.9249998967768,0,{},-16.905044802366888,3186.003066505061,500.3797347443142,-321.178815,182.16379,479.93381999999997,304.2737701976331,3003.8392765050608,20.445914744314223,304.95993615557734,3003.8392765050608,3019.2798746943713,0.9999999999999999,1.0,3040.2856311505843,height_preserving_2d_horizontal_FGH_vertical_shift,1.0097822800764376,1047.8906733259494,10.25076005596117,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID04_BSF66F_120s_20260528_111732/tag_capture_20260528_111732/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io-commonmode/layout.json
v4-io-commonmode,T4,all8,ID05,static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,reconstructed_from_relabelled_balls,True,"3,4,2,0,1",2.0942332073721013,5.490229164285438,0.8401003929094628,mean,"{""BSF66F"": 95.0}",95.0,1200,1200,1.0,ok,2102.890883813836,1098.7273564877592,-870.5036994860361,2102.8908838138345,1098.727356487761,-870.503699486037,2104.102445585004,1103.167849527394,-878.3919204257941,25.576334017343296,38.568860773203724,53.24357782172899,70.54491096009687,47.902991903315225,144.52690580079414,8.0,8.0,99.75,91.5,135.98848128412519,190.6119356346002,0,{},-104.771899678615,2169.781931664548,493.8683573671419,-184.9818897969324,1103.5866165595767,473.70402893394925,80.20999011831739,1066.1953151049715,20.16432843319268,82.70575950888932,1066.1953151049715,1069.3982853024086,0.9999999999999999,1.0,3040.2856311505843,height_preserving_2d_horizontal_FGH_vertical_shift,1.0097822800764376,705.9514108073571,6.905814420873793,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID05_BSF66F_120s_20260528_112057/tag_capture_20260528_112057/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io-commonmode/layout.json
v4-io-commonmode,T4,all8,ID06,static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,motive_iantenna,False,"0,1,2,3,4",0.0,1.4652634113752043,1.4652634113752043,mean,"{""BSF66F"": 95.0}",95.0,1201,1201,1.0,ok,2093.6700260877847,1073.6370242745966,-1457.4756547838342,2093.670026087786,1073.6370242745952,-1457.4756547838313,2096.346567127338,1077.1035103644151,-1457.0530972029046,27.39885347066551,35.818063347187625,39.82831826986521,60.165818947769864,40.87075770361498,113.37602120305374,8.0,8.0,99.83347210657784,92.83930058284763,67.19439843483359,125.80392033693164,0,{},-79.89063491556817,1582.80997636675,484.09739776421065,-193.231255,1684.95255,476.52297999999996,113.34062008443183,-102.14257363324987,7.574417764210693,113.5934327573135,102.14257363324987,152.76312812329476,0.9999999999999999,1.0,3040.2856311505843,height_preserving_2d_horizontal_FGH_vertical_shift,1.0097822800764376,1013.9317064581626,9.918563930954015,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID06_BSF66F_120s_20260528_112429/tag_capture_20260528_112429/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io-commonmode/layout.json
v4-io-commonmode,T4,all8,ID07,static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,motive_iantenna,False,"0,1,2,3,4",0.0,3.010748996927397,3.010748996927397,mean,"{""BSF66F"": 95.0}",95.0,1201,1201,1.0,ok,1595.033780879981,1514.052310593811,90.86826995312937,1595.0337808799802,1514.052310593812,90.86826995312941,1591.425730171135,1508.602868970389,93.55640438067061,30.741409517482815,54.70253845390343,54.935537031102704,83.39853236908922,68.80853320695276,148.23415831981902,8.0,8.0,100.0,90.84096586178185,131.10262385948067,193.90998750817346,0,{},-531.1761284264464,3131.153901103714,-4.722745852248181,352.14755,211.565355,53.795866000000004,-883.3236784264465,2919.5885461037137,-58.518611852248185,885.2599329021631,2919.5885461037137,3050.849459960609,0.9999999999999999,1.0,3040.2856311505843,height_preserving_2d_horizontal_FGH_vertical_shift,1.0097822800764376,906.6934696461826,8.86952946355589,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID07_BSF66F_120s_20260528_112810/tag_capture_20260528_112810/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io-commonmode/layout.json
v4-io-commonmode,T4,all8,ID08,static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,motive_iantenna,False,"0,1,2,3,4",0.0,0.8379427491692439,0.8379427491692439,mean,"{""BSF66F"": 95.0}",95.0,1201,1201,1.0,ok,1446.6523989024304,1623.965203166909,-1035.1265221774456,1446.652398902431,1623.9652031669086,-1035.1265221774452,1447.699154205571,1620.3701883931394,-1037.3024894625403,25.393198298609875,39.04208801263551,43.69285851249525,63.860512378243804,45.91056957116483,115.9916341035025,8.0,8.0,100.0,90.25811823480433,122.46757428265198,156.21839419141068,0,{},-644.3288401965415,2005.1591089731387,-150.6485567645982,391.90054,1132.2804,-71.53192899999999,-1036.2293801965416,872.8787089731386,-79.1166277645982,1039.2452882603561,872.8787089731386,1357.1838525969736,0.9999999999999999,1.0,3040.2856311505843,height_preserving_2d_horizontal_FGH_vertical_shift,1.0097822800764376,557.6228692802323,5.45482308432596,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID08_BSF66F_120s_20260528_113136/tag_capture_20260528_113136/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io-commonmode/layout.json
v4-io-commonmode,T4,all8,ID09,static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,motive_iantenna,False,"0,1,2,3,4",0.0,1.1233421057233244,1.1233421057233244,mean,"{""BSF66F"": 95.0}",95.0,1201,1201,1.0,ok,1501.1716788299848,1649.7186030809248,-1205.028784105551,1501.1716788299834,1649.7186030809241,-1205.028784105551,1502.6134416897457,1653.7561495821733,-1201.576285790789,32.247692269857644,36.98125206138694,49.52442737962441,69.71510286902662,45.57517227165731,141.74017418041993,8.0,8.0,99.91673605328893,93.42214820982515,135.52227521370844,186.86072642760985,0,{},-668.8758163992231,1835.2568470450333,-95.5755556637389,408.80994,1568.1853500000002,-62.425788499999996,-1077.685756399223,267.0714970450331,-33.1497671637389,1078.1954816306622,267.0714970450331,1110.780212797586,0.9999999999999999,1.0,3040.2856311505843,height_preserving_2d_horizontal_FGH_vertical_shift,1.0097822800764376,828.1828777899989,8.101516865051824,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID09_BSF66F_120s_20260528_113816/tag_capture_20260528_113816/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io-commonmode/layout.json
v4-io-commonmode,T4,all8,ID10,static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,motive_iantenna,False,"0,1,2,3,4",0.0,1.700334281718746,1.700334281718746,mean,"{""BSF66F"": 95.0}",95.0,1201,1201,1.0,ok,659.0431429363572,1239.6908335802048,-10.350202688298248,659.0431429363567,1239.6908335802045,-10.350202688298236,664.2059894095032,1241.1199100034146,-11.855001907975229,31.09556394887619,21.116340372293426,31.625745681216394,49.12251742236115,33.2716166299654,87.02049744373936,8.0,8.0,99.91673605328893,90.75770191507078,71.75757286364276,125.56457051911276,0,{},-277.4859564831936,3029.935428462286,-946.526329964457,65.499245,238.64973,-938.19342,-342.9852014831936,2791.285698462286,-8.33290996445703,343.08641160055095,2791.285698462286,2812.2916165051292,0.9999999999999999,1.0,3040.2856311505843,height_preserving_2d_horizontal_FGH_vertical_shift,1.0097822800764376,1028.888366883956,10.064874172247297,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID10_BSF66F_120s_20260528_114216/tag_capture_20260528_114216/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io-commonmode/layout.json
