version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T1+F0,external_position_filter,all8,24,ABEF,6,135.89984511849707,359.37616267513425,206.82944899577743
v1-old,T1+F0,external_position_filter,all8,24,ADHE,6,189.9573645921332,231.39709861654887,185.14308304582383
v1-old,T1+F0,external_position_filter,all8,24,BCGF,6,116.76903861466158,310.6776986613778,185.5834506323701
v1-old,T1+F0,external_position_filter,all8,24,CDHG,6,165.77028595902817,283.01239317246944,194.9506695848914
v1-old,T1+F1,external_position_filter,all8,24,ABEF,6,140.3140956970057,355.3176601092173,204.7201507212365
v1-old,T1+F1,external_position_filter,all8,24,ADHE,6,188.87344331856974,227.88280380111865,184.0057511283976
v1-old,T1+F1,external_position_filter,all8,24,BCGF,6,119.19235148851249,308.1824777907813,184.5608384955042
v1-old,T1+F1,external_position_filter,all8,24,CDHG,6,161.5306544546668,268.74988952758173,190.3513371460643
v1-old,T1+F2,external_position_filter,all8,24,ABEF,6,140.3140956970057,355.3176601092173,204.7201507212365
v1-old,T1+F2,external_position_filter,all8,24,ADHE,6,188.87344331856974,227.88767708524375,184.00712675308907
v1-old,T1+F2,external_position_filter,all8,24,BCGF,6,119.19235148851249,308.1824777907813,184.5608384955042
v1-old,T1+F2,external_position_filter,all8,24,CDHG,6,161.5306544546668,268.74988952758173,190.3513371460643
v1-old,T1+F3,external_position_filter,all8,24,ABEF,6,139.04220444068432,355.740658338432,204.80623040588802
v1-old,T1+F3,external_position_filter,all8,24,ADHE,6,189.25232366423094,227.44153420233988,183.96209221685606
v1-old,T1+F3,external_position_filter,all8,24,BCGF,6,118.87123874549803,308.5510892011782,184.71916205523772
v1-old,T1+F3,external_position_filter,all8,24,CDHG,6,162.9471742717986,272.12884244539,192.20603195242
v1-old,T1+F4,external_position_filter,all8,24,ABEF,6,139.57412815668968,354.88388598057327,204.38456352272507
v1-old,T1+F4,external_position_filter,all8,24,ADHE,6,188.68120520077292,229.15850624378618,184.32042843100515
v1-old,T1+F4,external_position_filter,all8,24,BCGF,6,118.93737026815725,307.9941287820939,184.41635104542405
v1-old,T1+F4,external_position_filter,all8,24,CDHG,6,160.12933542076465,266.81040002971406,188.6234767806732
v1-old,T1+F5,external_position_filter,all8,24,ABEF,6,140.40502689359687,353.3712012581171,203.75424139974214
v1-old,T1+F5,external_position_filter,all8,24,ADHE,6,188.4054078168134,229.09569016359984,184.2797268235906
v1-old,T1+F5,external_position_filter,all8,24,BCGF,6,118.45098630970392,307.55129613311567,184.06691387216057
v1-old,T1+F5,external_position_filter,all8,24,CDHG,6,160.4592875563613,265.3655846678917,187.95534924889384
v1-old,T2+F0,external_position_filter,all8,24,ABEF,6,135.98213170664812,359.8065401017094,207.0188612565825
v1-old,T2+F0,external_position_filter,all8,24,ADHE,6,190.52516574865194,229.9505424296741,184.76266702227082
v1-old,T2+F0,external_position_filter,all8,24,BCGF,6,117.85256556025885,310.4938121577301,185.77157832382667
v1-old,T2+F0,external_position_filter,all8,24,CDHG,6,165.7494057947482,282.5488282907354,194.42454885077808
v1-old,T2+F1,external_position_filter,all8,24,ABEF,6,139.97642402185573,355.8614284869261,204.86639884844942
v1-old,T2+F1,external_position_filter,all8,24,ADHE,6,189.09763126569328,227.42535083732716,183.68858505348646
v1-old,T2+F1,external_position_filter,all8,24,BCGF,6,120.12683583347084,308.27140989158625,184.8683180790568
v1-old,T2+F1,external_position_filter,all8,24,CDHG,6,161.10975699166818,268.2363989589475,189.50482352394133
v1-old,T2+F2,external_position_filter,all8,24,ABEF,6,139.97642402185573,355.8614284869261,204.86639884844942
v1-old,T2+F2,external_position_filter,all8,24,ADHE,6,189.09763126569328,227.57629373651977,183.73133978170424
v1-old,T2+F2,external_position_filter,all8,24,BCGF,6,120.12683583347084,308.27140989158625,184.8683180790568
v1-old,T2+F2,external_position_filter,all8,24,CDHG,6,161.10975699166818,268.2363989589475,189.50482352394133
v1-old,T2+F3,external_position_filter,all8,24,ABEF,6,138.86874390373777,356.21868416492134,204.9724648240927
v1-old,T2+F3,external_position_filter,all8,24,ADHE,6,189.4049421133791,226.9074164019712,183.6543677182376
v1-old,T2+F3,external_position_filter,all8,24,BCGF,6,119.93456992459653,308.38105999149855,184.95288623230948
v1-old,T2+F3,external_position_filter,all8,24,CDHG,6,163.16428680668105,270.71128208249513,191.02879538473047
v1-old,T2+F4,external_position_filter,all8,24,ABEF,6,139.11278805826225,355.23332373022475,204.42293612726078
v1-old,T2+F4,external_position_filter,all8,24,ADHE,6,188.63687258113208,229.7268505915187,184.25634121399216
v1-old,T2+F4,external_position_filter,all8,24,BCGF,6,119.71904224420454,307.6667985723314,184.49194740005348
v1-old,T2+F4,external_position_filter,all8,24,CDHG,6,160.0379235264315,266.07940571355715,187.8212323503345
v1-old,T2+F5,external_position_filter,all8,24,ABEF,6,139.78595641155943,353.79101001288996,203.81398201983916
v1-old,T2+F5,external_position_filter,all8,24,ADHE,6,188.34747765126394,229.62727308022104,184.2552415725233
v1-old,T2+F5,external_position_filter,all8,24,BCGF,6,119.2181374428868,307.2949497085715,184.184776691824
v1-old,T2+F5,external_position_filter,all8,24,CDHG,6,160.29048222534985,264.9087487179385,187.30522975209166
v1-old,T3+F0,external_position_filter,all8,24,ABEF,6,93.24787043727376,186.61138216200786,119.86915367083022
v1-old,T3+F0,external_position_filter,all8,24,ADHE,6,154.30821684085493,195.61049185165518,152.2679354766547
v1-old,T3+F0,external_position_filter,all8,24,BCGF,6,101.67319740717807,312.6954885240922,182.84326089567978
v1-old,T3+F0,external_position_filter,all8,24,CDHG,6,164.68831337269506,312.61715261323064,207.00072741238068
v1-old,T3+F1,external_position_filter,all8,24,ABEF,6,81.66865011133608,187.30255598117478,116.67058574948115
v1-old,T3+F1,external_position_filter,all8,24,ADHE,6,154.23851676682847,194.08109007039724,150.72454283316364
v1-old,T3+F1,external_position_filter,all8,24,BCGF,6,101.26452892716722,310.92379411251045,182.16512625053312
v1-old,T3+F1,external_position_filter,all8,24,CDHG,6,160.66621132103933,301.62312323604664,201.0101740097514
v1-old,T3+F2,external_position_filter,all8,24,ABEF,6,81.66865011133608,187.30255598117478,116.67058574948115
v1-old,T3+F2,external_position_filter,all8,24,ADHE,6,154.23851676682847,194.08109007039724,150.72454283316364
v1-old,T3+F2,external_position_filter,all8,24,BCGF,6,101.26452892716722,310.92379411251045,182.16512625053312
v1-old,T3+F2,external_position_filter,all8,24,CDHG,6,160.66621132103933,301.62312323604664,201.0101740097514
