version,solver,solver_family,eval_set,n_positions,height,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v4-io,T4+F0,external_position_filter,all8,24,high,8,83.43277616394985,160.15440639525212,103.69631832898291
v4-io,T4+F0,external_position_filter,all8,24,low,8,128.44799606427293,238.527207501342,146.41317572265368
v4-io,T4+F0,external_position_filter,all8,24,mid,8,62.64241032463278,82.43729718371335,63.309504098184334
v4-io,T4+F1,external_position_filter,all8,24,high,8,84.70553333988772,165.04746981378975,105.45270766242899
v4-io,T4+F1,external_position_filter,all8,24,low,8,131.59184750239413,238.3598061708189,148.21951500355217
v4-io,T4+F1,external_position_filter,all8,24,mid,8,60.257626321060904,73.20021652406663,58.66563724845961
v4-io,T4+F2,external_position_filter,all8,24,high,8,84.70553333988772,165.04746981378975,105.45270766242899
v4-io,T4+F2,external_position_filter,all8,24,low,8,131.59184750239413,238.3598061708189,148.21951500355217
v4-io,T4+F2,external_position_filter,all8,24,mid,8,60.257626321060904,73.20021652406663,58.66563724845961
v4-io,T4+F3,external_position_filter,all8,24,high,8,84.12496479544693,164.7033640925472,105.25677251612439
v4-io,T4+F3,external_position_filter,all8,24,low,8,131.13974948225433,238.37375171719907,147.87870011037936
v4-io,T4+F3,external_position_filter,all8,24,mid,8,60.32464268855348,74.4845701771151,59.44628140845784
v4-io,T4+F4,external_position_filter,all8,24,high,8,84.70625085194482,165.0470648412161,105.45037737985034
v4-io,T4+F4,external_position_filter,all8,24,low,8,131.6040802449677,238.35385206700556,148.218600712135
v4-io,T4+F4,external_position_filter,all8,24,mid,8,60.256918116317124,73.19986571654596,58.6641066382503
v4-io,T4+F5,external_position_filter,all8,24,high,8,84.97853996871646,165.45949916553658,105.649495313736
v4-io,T4+F5,external_position_filter,all8,24,low,8,131.8514512527143,238.61355864275436,148.64105924723594
v4-io,T4+F5,external_position_filter,all8,24,mid,8,60.16041560194434,72.1726235973449,58.058299834886284
