version,solver,solver_family,eval_set,n_positions,location,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v4-io,T4+F0,external_position_filter,all8,24,center,12,58.716800426927335,121.30842255294516,74.86804245656533
v4-io,T4+F0,external_position_filter,all8,24,edge,12,128.46115190034266,220.56947566693466,136.11270353992026
v4-io,T4+F1,external_position_filter,all8,24,center,12,59.13969762136244,126.24187132986897,75.38169748559143
v4-io,T4+F1,external_position_filter,all8,24,edge,12,127.32284585547515,221.37261331192624,136.64395266843425
v4-io,T4+F2,external_position_filter,all8,24,center,12,59.13969762136244,126.24187132986897,75.38169748559143
v4-io,T4+F2,external_position_filter,all8,24,edge,12,127.32284585547515,221.37261331192624,136.64395266843425
v4-io,T4+F3,external_position_filter,all8,24,center,12,58.81360872470425,125.36172441323319,75.29077745939833
v4-io,T4+F3,external_position_filter,all8,24,edge,12,127.48435845912236,221.41759450289857,136.57209750281905
v4-io,T4+F4,external_position_filter,all8,24,center,12,59.14102227818294,126.2313032395397,75.37747086912358
v4-io,T4+F4,external_position_filter,all8,24,edge,12,127.32651125967256,221.3703048951489,136.64398613999765
v4-io,T4+F5,external_position_filter,all8,24,center,12,59.379619289517464,126.9655226167871,75.51274643824922
v4-io,T4+F5,external_position_filter,all8,24,edge,12,127.20697915488002,221.45154071785703,136.8051758814556
