case,d_tag_mm,version,tag_method,point_estimator,eval_set,n_sessions,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,signed_vertical_slope_mm_per_m,signed_vertical_intercept_mm,signed_vertical_r2,range_ssr,range_ssr_terms,range_ssr_per_term,range_sigma_rmse,ssr_frames_input,ssr_frames_solved,replay_mean_check_max_delta_mm,replay_mean_check_median_delta_mm,raw_replay_out,static_abs_out,case_log
tag_delay_000p000,0.0,v4-io-commonmode,T4,mean,all8,24,109.51538194751674,223.85923780458197,140.5252492879366,45.21830372733827,89.42072844018016,196.43517809599686,-208.47017285849623,0.7693476326585722,5777347.213127706,228265,25.309825041630152,5.030887102850764,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_000p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_000p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_000p000/case.log
tag_delay_010p000,10.0,v4-io-commonmode,T4,mean,all8,24,98.38249387924722,194.9521698638403,125.93031568676106,38.57658302850382,83.2282385191819,170.39851000700168,-184.6363728430556,0.7359499630919761,5576265.540031413,228265,24.428911747448854,4.942561253788248,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_010p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_010p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_010p000/case.log
tag_delay_020p000,20.0,v4-io-commonmode,T4,mean,all8,24,86.1235390385263,179.7306812911156,112.47983097171986,34.61780873690958,79.48448480268905,145.26580644587926,-161.26431994789513,0.6894190543712122,5410581.712131675,228265,23.703071921370668,4.868580072400029,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_020p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_020p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_020p000/case.log
tag_delay_030p000,30.0,v4-io-commonmode,T4,mean,all8,24,72.60689055336911,167.03693942932546,100.52202513845863,35.576709610901695,66.07668813921023,121.17999589456849,-138.3853513585959,0.6235082951474098,5283757.57126091,228265,23.147471453183403,4.811181918529313,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_030p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_030p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_030p000/case.log
tag_delay_035p000,35.0,v4-io-commonmode,T4,mean,all8,24,71.44605306737797,164.13864024329092,95.20491956656963,35.757644819313114,59.98871619432202,109.52560650479282,-127.11359348981212,0.5811601276676277,5235644.456366245,228265,22.93669400199875,4.789226868921408,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_035p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_035p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_035p000/case.log
tag_delay_037p000,37.0,v4-io-commonmode,T4,mean,all8,24,72.80643246560078,163.10578955476632,93.21951325928768,35.68868096323136,59.37449858727609,104.93565627567669,-122.63815061783858,0.5621511778956341,5219349.308590739,228265,22.865307027317982,4.781768190462392,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_037p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_037p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_037p000/case.log
tag_delay_039p000,39.0,v4-io-commonmode,T4,mean,all8,24,73.84840597700908,162.0928140257606,91.31990211541029,35.70747028071761,58.753452350263615,100.38810442617013,-118.18102838263522,0.5418959887132561,5204746.776566748,228265,22.801335187465217,4.7750743646005365,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_039p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_039p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_039p000/case.log
tag_delay_040p000,40.0,v4-io-commonmode,T4,mean,all8,24,74.03889437314041,161.59445784199661,90.40319089442741,35.832320690879314,58.44429426790964,98.13124056579407,-115.96042006966934,0.5313050616264038,5198107.6338083735,228265,22.772249945494814,4.77202786512137,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_040p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_040p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_040p000/case.log
tag_delay_041p000,41.0,v4-io-commonmode,T4,mean,all8,24,74.23784184851478,161.10313920775428,89.50939781568421,35.33703897727078,58.138420226801486,95.88537107040526,-113.74676863240946,0.5203990764692423,5191922.983552523,228265,22.745155777506508,4.769188167550794,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_041p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_041p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_041p000/case.log
tag_delay_043p000,43.0,v4-io-commonmode,T4,mean,all8,24,74.65006864813625,160.13184201284332,87.79267538691066,34.35565355765689,57.899119375954115,91.42527577356117,-109.3386352013032,0.4976132197809726,5180881.833698189,228265,22.696785901028143,4.764114387903395,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_043p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_043p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_043p000/case.log
tag_delay_045p000,45.0,v4-io-commonmode,T4,mean,all8,24,72.54049392927894,159.17084456592232,86.17049017978228,33.712279728413144,57.939219622508176,87.00678776370556,-104.95451559181458,0.4735680154514068,5171531.778993205,228265,22.655824497812652,4.759813494015564,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_045p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_045p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_045p000/case.log
tag_delay_047p000,47.0,v4-io-commonmode,T4,mean,all8,24,70.40482921941663,158.22160115946494,84.64707400461141,34.317062718072194,58.632874707975134,82.62920838321662,-100.59784494015496,0.44828770855528177,5163925.2493040785,228265,22.622501256452274,4.7563117282672165,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_047p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_047p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_047p000/case.log
tag_delay_049p000,49.0,v4-io-commonmode,T4,mean,all8,24,68.2973007307572,154.7539223677162,83.22284999731593,33.8317297680602,59.344499700255255,78.28781739212921,-96.26474679275172,0.42181058688167483,5158120.05765567,228265,22.597069448472915,4.753637496535986,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_049p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_049p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_049p000/case.log
tag_delay_050p000,50.0,v4-io-commonmode,T4,mean,all8,24,68.05486854965339,152.95476575409953,82.5487437085521,33.16610754081757,58.98345294948422,76.13104651121176,-94.10821599006533,0.4081600429517932,5155918.274435101,228265,22.587423715572257,4.7526228248802,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_050p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_050p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_050p000/case.log
