version,eval_set,method,n_tags,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,range_median_min_mm,range_median_max_mm,range_p95_min_mm,range_p95_max_mm,det,scale,note
v1-old,all8,A_tag_cloud_fit_WRONG_circular,24,150.1658398218225,328.99425815410905,190.91131353537557,52.035602441186825,134.99497359156555,,,,,-1.0000000000000007,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v1-old,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,301.61544101537487,1626.0817979251963,607.9613904688139,2263.06816698518,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v1-old,all8,C_anchor_locked_OFFICIAL,24,157.40234329476485,326.14966583343835,192.62143066526323,51.84490781924797,139.8061439969531,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v2,all8,A_tag_cloud_fit_WRONG_circular,24,78.01637722362307,225.63680873811143,131.6405359847679,46.8702173396252,58.02466666760017,,,,,-1.0000000000000004,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v2,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,255.0490945175549,1563.1040163793632,556.4665282402993,2187.952697901455,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v2,all8,C_anchor_locked_OFFICIAL,24,81.13460329414815,248.02407163922993,135.69995289331197,44.283576858267764,73.9743679648144,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-full,all8,A_tag_cloud_fit_WRONG_circular,24,116.76711877528265,267.58968374915935,156.487404339377,45.86552917592733,114.09665333851868,,,,,-1.0000000000000007,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-full,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,280.86812519711555,1579.7748724839698,615.2949515821695,2238.1273220144426,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-full,all8,C_anchor_locked_OFFICIAL,24,120.6045068834042,293.77946273111223,160.68710414352864,48.82973465735604,113.66056336900581,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-lite,all8,A_tag_cloud_fit_WRONG_circular,24,78.29513962969938,225.79337583876412,131.78191728225988,47.05932873109565,58.47589084951301,,,,,-0.9999999999999992,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-lite,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,255.3367217641117,1563.097027059326,556.7500391216404,2188.0674867263783,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-lite,all8,C_anchor_locked_OFFICIAL,24,81.82464638448306,248.462740065971,135.91872083075157,44.613472802163486,74.56152306114018,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v4-io,all8,A_tag_cloud_fit_WRONG_circular,24,80.80489627178719,263.8685956800395,135.62355755824566,44.11277190645758,62.96552783902359,,,,,-1.0,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v4-io,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,241.06880791327518,1569.661000167593,554.8961231763009,2202.4741916651346,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v4-io,all8,C_anchor_locked_OFFICIAL,24,73.96289045329979,282.12949495641834,139.55059600371152,42.291734757487475,65.3185860074235,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
