pair,measured_median_mm,optitrack_true_mm,pair_bias_mm,common_endpoint_bias_mm,delaycal_pair_predicted_bias_mm,delaycal_pair_residual_mm
A-B,2895.0,2665.0643575793506,229.9356424206494,114.9678212103247,244.83363896626443,14.89799654561503
A-C,3718.0,3414.1085019320158,303.89149806798423,151.94574903399212,275.59566418020097,-28.29583388778326
A-D,2429.0,2165.8598471827554,263.1401528172446,131.5700764086223,263.12073401679777,-0.019418800446828755
A-E,1550.0,1403.6365517390243,146.3634482609757,73.18172413048785,197.59386714019593,51.230418879220224
A-F,3322.0,3074.024420727174,247.97557927282605,123.98778963641303,198.93383522547333,-49.04174404735272
A-G,4020.5,3734.3841559079856,286.1158440920144,143.0579220460072,234.25901465471543,-51.856829437298984
A-H,2688.0,2517.200327023951,170.7996729760489,85.39983648802445,233.8850837240953,63.0854107480464
B-C,2407.0,2179.133082966119,227.86691703388078,113.93345851694039,223.64303124397532,-4.2238857899054665
B-D,3670.0,3440.4790686576366,229.52093134236338,114.76046567118169,211.16810108057217,-18.352830261791212
B-E,3135.0,2955.9630981271275,179.03690187287248,89.51845093643624,145.6412342039703,-33.39566766890218
B-F,1620.0,1392.3829235074895,227.61707649251048,113.80853824625524,146.98120228924773,-80.63587420326274
B-G,2745.0,2658.9595708272213,86.04042917277866,43.02021458638933,182.30638171848983,96.26595254571117
B-H,3902.0,3745.511858044666,156.48814195533396,78.24407097766698,181.93245078786967,25.44430883253571
C-D,2887.0,2636.9464765477865,250.05352345221354,125.02676172610677,241.93012629450868,-8.123397157704858
C-E,3885.0,3718.707957323416,166.29204267658406,83.14602133829203,176.4032594179068,10.11121674132275
C-F,2672.0,2566.2905209564447,105.70947904355535,52.854739521777674,177.74322750318424,72.0337484596289
C-G,1618.0,1406.489122081887,211.510877918113,105.7554389590565,213.06840693242634,1.5575290143133316
C-H,3347.0,3091.2461466183227,255.75385338167735,127.87692669083867,212.69447600180618,-43.059377379871165
D-E,2793.0,2660.813628381067,132.1863716189332,66.0931858094666,163.92832925450367,31.741957635570458
D-F,3850.0,3737.3010362894142,112.69896371058576,56.34948185529288,165.2682973397811,52.56933362919534
D-G,3160.0,2964.7456840920613,195.2543159079387,97.62715795396934,200.5934767690232,5.339160861084508
D-H,1659.0,1395.6256482556894,263.3743517443106,131.6871758721553,200.21954583840304,-63.15480590590758
E-F,2762.0,2682.8449302921804,79.15506970781962,39.57753485390981,99.74143046317923,20.586360755359607
E-G,3711.0,3495.0033830335615,215.99661696643852,107.99830848321926,135.06660989242133,-80.9300070740172
E-H,2333.0,2198.9630417696453,134.03695823035468,67.01847911517734,134.69267896180116,0.655720731446479
F-G,2374.0,2236.1352352837457,137.86476471625429,68.93238235812714,136.40657797769873,-1.458186738555554
F-H,3660.0,3509.9137150979086,150.0862849020914,75.0431424510457,136.03264704707857,-14.053637855012823
G-H,2880.0,2739.7245543524423,140.27544564755772,70.13772282377886,171.35782647632067,31.08238082876295
