fold,wall_s,completed,total,live_cpu_percent,dtag_by_variant
ID03,0.724813439999707,1,24,68.9,"{""deployable_v5_rigid_selfcal"": 49.621032516254864, ""physical_sim3_vicon_delaycal"": 53.600633617155225}"
ID01,0.82803901299485,2,24,75.0,"{""deployable_v5_rigid_selfcal"": 49.169522655454465, ""physical_sim3_vicon_delaycal"": 56.17230901888516}"
ID04,0.7437460000219289,3,24,76.8,"{""deployable_v5_rigid_selfcal"": 48.10606494503249, ""physical_sim3_vicon_delaycal"": 53.600633617155225}"
ID02,0.8681127320160158,4,24,73.7,"{""deployable_v5_rigid_selfcal"": 50.37703728252997, ""physical_sim3_vicon_delaycal"": 56.17230901888516}"
ID05,0.8978289839869831,5,24,67.4,"{""deployable_v5_rigid_selfcal"": 48.57674117675603, ""physical_sim3_vicon_delaycal"": 53.600633617155225}"
ID06,0.9272524889966007,6,24,63.8,"{""deployable_v5_rigid_selfcal"": 47.93694671853872, ""physical_sim3_vicon_delaycal"": 52.14788305825302}"
ID07,0.5812085079960525,7,24,63.8,"{""deployable_v5_rigid_selfcal"": 48.57674117675603, ""physical_sim3_vicon_delaycal"": 55.0069905440874}"
ID09,0.6404486329993233,8,24,58.9,"{""deployable_v5_rigid_selfcal"": 49.621032516254864, ""physical_sim3_vicon_delaycal"": 55.0069905440874}"
ID10,0.83399179999833,9,24,39.1,"{""deployable_v5_rigid_selfcal"": 48.57674117675603, ""physical_sim3_vicon_delaycal"": 53.600633617155225}"
ID08,0.9387222419900354,10,24,15.4,"{""deployable_v5_rigid_selfcal"": 49.621032516254864, ""physical_sim3_vicon_delaycal"": 53.600633617155225}"
ID11,0.8888722139818128,11,24,10.3,"{""deployable_v5_rigid_selfcal"": 47.93694671853872, ""physical_sim3_vicon_delaycal"": 52.71418024241054}"
ID12,0.8961421730055008,12,24,12.4,"{""deployable_v5_rigid_selfcal"": 49.621032516254864, ""physical_sim3_vicon_delaycal"": 55.0069905440874}"
ID13,0.691536175989313,13,24,10.4,"{""deployable_v5_rigid_selfcal"": 49.621032516254864, ""physical_sim3_vicon_delaycal"": 55.0069905440874}"
ID14,0.6507468070194591,14,24,13.7,"{""deployable_v5_rigid_selfcal"": 50.37703728252997, ""physical_sim3_vicon_delaycal"": 56.17230901888516}"
ID15,0.553060739999637,15,24,11.0,"{""deployable_v5_rigid_selfcal"": 50.37703728252997, ""physical_sim3_vicon_delaycal"": 56.17230901888516}"
ID17,0.5847911679884419,16,24,12.8,"{""deployable_v5_rigid_selfcal"": 50.77618461959965, ""physical_sim3_vicon_delaycal"": 56.17230901888516}"
ID16,0.7028729040175676,17,24,18.2,"{""deployable_v5_rigid_selfcal"": 49.621032516254864, ""physical_sim3_vicon_delaycal"": 55.0069905440874}"
ID18,0.580531139014056,18,24,19.4,"{""deployable_v5_rigid_selfcal"": 50.77618461959965, ""physical_sim3_vicon_delaycal"": 56.792360042820206}"
ID19,0.5838147189933807,19,24,21.0,"{""deployable_v5_rigid_selfcal"": 49.784255803831535, ""physical_sim3_vicon_delaycal"": 56.17230901888516}"
ID21,0.5597859380068257,20,24,14.1,"{""deployable_v5_rigid_selfcal"": 49.621032516254864, ""physical_sim3_vicon_delaycal"": 55.0069905440874}"
ID20,0.7663707429892384,21,24,25.8,"{""deployable_v5_rigid_selfcal"": 50.77618461959965, ""physical_sim3_vicon_delaycal"": 56.52885801585266}"
ID22,0.5537224719882943,22,24,25.4,"{""deployable_v5_rigid_selfcal"": 50.77618461959965, ""physical_sim3_vicon_delaycal"": 56.17230901888516}"
ID24,0.5754761729913298,23,24,14.4,"{""deployable_v5_rigid_selfcal"": 48.57674117675603, ""physical_sim3_vicon_delaycal"": 53.600633617155225}"
ID23,0.672652328008553,24,24,11.1,"{""deployable_v5_rigid_selfcal"": 49.621032516254864, ""physical_sim3_vicon_delaycal"": 55.0069905440874}"
