case,case_label,source_root,filter_id,filter_family,filter_deployability,filter_kind,capture_id,tag,n_samples,filter_rejections,err3d_p50_mm,err3d_p95_mm,err3d_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p95_mm,err_vertical_y_p50_mm,err_vertical_y_p95_mm,note,turn_center_abs_error_3d_mm,turn_center_abs_error_horizontal_xz_mm,turn_center_abs_error_vertical_y_mm,filtered_radius_mm,opti_radius_mm,radius_error_mm,radius_error_abs_mm,circle_thickness_rms_mm,circle_thickness_p95_mm,turn_count,turn_center_repeatability_rms_mm,turn_center_repeatability_p95_mm
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,F0,R01,BS2DCE,1201,0,122.44387286762633,595.4802850951193,237.79541278947428,81.37866712846248,233.37983256769883,74.28207389014119,545.1237261143797,original self-cal layout and solver residual delay corrections,58.24438367604432,12.582079436875965,56.869143714728125,478.04666518947874,426.48582848840823,51.560836701070514,51.560836701070514,201.90389891895467,487.2182702747015,31,24.977281315776665,39.181134166301135
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,F0,R01,BSDC91,1200,0,98.17622406386265,304.25507185810864,148.9811343766482,63.58174671147525,173.19136610724595,61.49006814236873,245.42108568462734,original self-cal layout and solver residual delay corrections,61.8040793088549,22.47926080999985,57.57106089565514,604.4932329019689,553.5374362567889,50.955796645180044,50.955796645180044,116.25690543598212,241.42211617092664,31,17.74321432795342,29.025391345882024
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,F0,R02,BS2DCE,1201,0,123.19353943187785,336.26272848775994,182.9068489794698,83.91818006117069,202.56801536700763,71.26980848771245,304.71362866611753,original self-cal layout and solver residual delay corrections,51.91687073853372,26.741581626508967,44.499991903306864,480.503797090897,426.5872672453299,53.91652984556714,53.91652984556714,155.26194318249932,305.77283443724514,28,22.156154825699357,36.60823068095283
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,F0,R02,BSDC91,1200,0,104.61068203841941,225.64721168527757,132.63115184938476,64.7351506628271,136.72909844754912,70.41239683729816,200.84557267621923,original self-cal layout and solver residual delay corrections,59.727100121849105,9.151942814775488,59.021762356612726,588.5285015534056,553.7579522299013,34.77054932350427,34.77054932350427,96.51238213864822,173.10795974289178,28,11.550031440476037,20.29248626617716
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,F0,R03,BS2DCE,1050,0,131.7493780327302,310.8326703379214,170.44564323136206,82.1568604649323,205.31437900237745,81.6336908553576,254.05854526100092,original self-cal layout and solver residual delay corrections,88.77565333116593,61.59134049037276,63.93452432742674,517.0770474047474,426.57234620164684,90.50470120310058,90.50470120310058,101.6009112981212,185.9429973805585,25,19.629699874615365,30.855798416553075
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,F0,R03,BSDC91,1200,0,92.81429899887313,225.32846866485008,121.07104124220697,62.36344263362394,154.05959744809323,60.552795442985484,177.6217370263746,original self-cal layout and solver residual delay corrections,69.510248300818,33.33505160281072,60.99548305800454,596.2947463936358,553.5575033917082,42.737243001927595,42.737243001927595,83.09214061035155,153.37712471655178,29,13.829301444304287,20.762102256104647
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,F0,R04,BS2DCE,1200,0,123.94235545012985,326.61429251530615,167.3198647038622,81.63130105573819,209.38451284317193,76.97719156506821,271.48230962971314,original self-cal layout and solver residual delay corrections,77.95810602305158,71.56302270212224,30.922484965424246,503.0679066299408,426.43337333690476,76.63453329303604,76.63453329303604,123.50092323153793,257.618152388806,28,20.708588453982617,33.38330218340771
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,F0,R04,BSDC91,1200,0,90.91127239327773,216.15981068919183,123.97927520726385,62.643848296748786,172.17993731011617,52.32238887412393,162.61705111098334,original self-cal layout and solver residual delay corrections,65.47057989633488,50.02835574699412,42.23222055746737,604.4363866278698,553.4706845883857,50.965702039484086,50.965702039484086,95.01552831827962,181.72424705996335,28,13.674264601862784,21.29316502572309
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,F0,R05,BS2DCE,1200,0,132.22805429241018,334.88371378802753,184.0546906733597,94.51774104894531,269.7521518972738,72.40026358543219,248.53676740876065,original self-cal layout and solver residual delay corrections,93.80157409192188,81.93422798400529,45.66746748821697,514.1426873247317,426.4908337551261,87.65185356960558,87.65185356960558,134.11147709487634,257.8534040601849,29,25.36210455946369,44.180161036417175
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,F0,R05,BSDC91,1201,0,102.78225385039497,189.85922999319786,115.78088814620898,77.66755733376723,155.83839113575797,48.75642754622436,134.79476383785675,original self-cal layout and solver residual delay corrections,59.33351135197451,40.35560106104846,43.4958737394295,620.9918495332901,553.5314134827562,67.46043605053387,67.46043605053387,70.08599779847698,132.42945129491866,29,12.958972055077352,20.02750829612263
