case,case_label,source_root,filter_id,filter_family,filter_deployability,filter_description,track_count,capture_pair_count,note,sample_err3d_n,sample_err3d_mean_mm,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_mean_mm,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_mean_mm,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err_horizontal_xz_p95_mm,trackmedian_err_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_turn_center_repeatability_rms_mm,turn_center_abs_error_3d_rms_mm,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,improvement_vs_F0_sample_err3d_p50_mm,improvement_vs_F0_sample_err3d_p95_mm,improvement_vs_F0_sample_err3d_rmse_mm,improvement_vs_F0_trackmedian_err3d_p50_mm,improvement_vs_F0_trackmedian_err3d_p95_mm,improvement_vs_F0_turn_center_abs_error_3d_rms_mm,improvement_vs_F0_legacy_deltaR_error_rms_mm,filter_verdict
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F0,passthrough,baseline,unfiltered solved ROTO samples,34,17,original self-cal layout and solver residual delay corrections,40661,119.39146085640128,102.63336074100665,208.3503804473449,256.9324074144989,141.2659848479643,40661,77.65796592294926,66.14323345844781,145.82607164755368,178.9530610667181,93.41834672726387,40661,78.562224767315,61.57092076688957,163.1159939953268,205.89630418252534,105.96740522354024,105.83784720842489,231.80213799547772,167.47209082957747,187.38314568289843,69.13009495766377,46.61896524458673,48.3323892094956,51.2632693702773,82.08589643324508,13.657450234964763,72.08191541633148,25.899009081009496,25.969171999356377,37.79143533695917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE_UNFILTERED
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F1,cv_kalman,online,constant-velocity Kalman filter,34,17,original self-cal layout and solver residual delay corrections,40661,121.84098859034171,110.89041083601448,203.41335487984057,241.90411728335266,137.47320247720867,40661,85.42557818296264,76.35514686241598,157.02135079525394,183.76205310300762,99.95179761535998,40661,73.25171781261538,60.23934823335685,149.09396170517107,186.01643172153354,94.3849540594142,116.04967977205084,219.03180764265446,177.7002063339963,159.72413871092908,75.0382976746468,50.43797395546676,45.81497537552343,76.87363120436859,68.45586563522221,15.006815082814537,74.8094386000041,20.25371582378841,18.102240314000824,33.151028885051005,-8.257050095007827,15.028290131146264,3.792782370755617,-10.211832563625947,12.770330352823265,-2.7275231836726164,5.645293257221084,FILTER_HURTS
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F2,cv_kalman_robust,online,constant-velocity Kalman filter with innovation down-weighting,34,17,original self-cal layout and solver residual delay corrections,40661,121.0982594221227,110.57098424013708,202.32333834391733,239.2992319504065,136.14851869676065,40661,85.78656287643932,76.49984717973967,157.85313106022605,184.6598662080835,100.48781072598557,40661,71.99402943601753,59.85827197688013,146.3285882408668,181.34096331006822,91.86195642822268,116.75914300839136,218.7810983190434,178.2041044688421,159.14683690688702,74.89264737774769,50.373199523607695,45.13769077999359,77.77684490461712,68.19089503529463,14.893492716252748,73.98700771212322,20.366317154627062,16.917915800644437,33.79486868893031,-7.937623499130424,17.63317546409243,5.117466151203644,-10.921295799966472,13.021039676434327,-1.9050922957917322,5.532691926382434,FILTER_HURTS
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F3,adaptive_cv_kalman_robust,online,adaptive-acceleration constant-velocity Kalman filter,34,17,original self-cal layout and solver residual delay corrections,40661,117.40460368448151,106.13752716952516,198.4311338049976,238.1280465319748,133.0405000990968,40661,81.16710707403719,71.25750058382042,150.34300839701413,177.44300424628574,95.5883689268341,40661,72.01074306437864,59.550990722272786,146.69151154753308,182.63509848550194,92.53452540822387,111.0617629703357,213.42226849484393,168.54760261830668,160.9206697099513,72.16716797677772,49.27373556150637,45.40360370882996,69.90664218194169,68.95951361153186,14.963963636905444,72.3387752322127,21.257683485147215,21.022997221437436,34.30842983026425,-3.504166428518502,18.804360882524122,8.225484748867501,-5.223915761910817,18.379869500633788,-0.25685981588121365,4.6413255958622806,FILTER_HURTS
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F4,fixed_lag_smoother,fixed_lag,bounded-latency fixed-lag smoother over the F2 trajectory,34,17,original self-cal layout and solver residual delay corrections,40661,92.69263258439729,86.08379516958469,152.19528214568865,178.25345410689826,103.06232945624414,40661,63.694558191411645,57.03547111457985,116.32284535082688,136.85188987941223,74.38134445305799,40661,57.24230856363159,49.83211429138851,113.36809539078968,137.6541079392008,71.33904506161367,86.29640991336629,158.19002854435496,121.53280441711422,109.16059461933544,64.04766279317231,43.24956423541801,45.61625774556359,46.659143186789606,43.02186663184606,13.903141615897894,69.13431463553152,24.461019372788634,24.442905244785322,35.88974270966045,16.549565571421965,78.67895330760066,38.20365539172015,19.5414372950586,73.61210945112276,2.9476007807999594,1.4379897082208615,FILTER_HELPS
full_original_v4io_T4,FULL original v4-io/T4,FULL_US,F5,rts_offline_smoother,offline_upper_bound,full-sequence RTS smoother; uses future samples,34,17,original self-cal layout and solver residual delay corrections,40661,88.72460029987039,82.01977437250224,146.79242912020064,172.6170856952214,98.93285103536462,40661,58.60650221038582,51.261063671483264,108.89281370129686,130.79878847107506,69.18115769359089,40661,57.24491929738609,50.344550177872634,112.25664491208067,135.64757402208556,70.7225313048123,83.30515448210384,148.63709402090709,110.89759936782335,108.37982003271082,63.4469724813066,42.04586784382024,42.99202990543273,43.39533489175591,42.035130751881326,12.86397283700105,68.30628670705428,24.59507303061476,23.10775464158712,36.44509415687994,20.613586368504414,84.31532171927753,42.33313381259967,22.532692726321045,83.16504397457064,3.7756287092772,1.3039360503947357,OFFLINE_FILTER_HELPS_DIAGNOSTIC_ONLY
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction_US,F0,passthrough,baseline,unfiltered solved ROTO samples,34,17,pre-registered one-baseline E-H control,40661,112.27919645210675,104.39306196427793,179.1064703648487,207.44455636229566,126.68509529098873,40661,68.96347314506538,61.19040658818328,122.94459688204866,145.71251507299812,80.75485520335926,40661,77.16594611213863,66.78702973087798,150.35592555874246,177.8403109988344,97.61027983758358,106.21110129630551,200.39273513936155,138.2073547294406,170.42965250274804,75.2262212300976,39.9997842383833,62.254070526732505,21.16590736650167,74.99993882688015,13.677185796781977,77.08015968374771,13.358114036861318,13.128300004404764,20.408069261233617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE_UNFILTERED
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction_US,F1,cv_kalman,online,constant-velocity Kalman filter,34,17,pre-registered one-baseline E-H control,40661,110.14060341702911,104.93104987960015,172.24487075830578,194.27483005797038,121.06364701351147,40661,73.41710571834129,65.45215865808407,133.9069369913153,154.90875906065008,85.11740652967003,40661,69.52628044563926,61.55038965695985,135.41441120008608,158.85871722517004,86.08968424773663,102.54094480840722,187.44974468348985,146.39917030125417,151.10346878167155,78.04248003259607,43.404011748993426,64.57123136475207,43.66753030202125,60.46079415963001,14.469759342202801,79.44247174347248,11.160615767903192,8.795593649392458,18.066558434634352,-0.5379879153222191,13.16972630432528,5.621448277477256,3.6701564878982964,12.942990455871694,-2.362312059724772,2.1974982689581264,FILTER_NEUTRAL
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction_US,F2,cv_kalman_robust,online,constant-velocity Kalman filter with innovation down-weighting,34,17,pre-registered one-baseline E-H control,40661,109.30674600965544,104.76854437393133,171.11390075530184,191.96128680199917,119.42342552468064,40661,73.30524868142825,65.36350104061415,133.62046315385123,154.50017908293444,84.9817850469083,40661,68.62604609222288,61.378850023778796,134.02882385680005,155.96078224458438,83.90501042422923,102.61382754618927,185.2666581414057,146.39917030125417,150.78692276033058,77.91609387330878,43.37164450835651,62.63092255359709,43.86675263135231,60.44765110747062,14.000513706278653,78.67614384786265,9.65421430710404,7.466638366357245,16.001765329478367,-0.37548240965340085,15.483269560296492,7.2616697663080885,3.597273750116244,15.126076997955835,-1.5959841641149382,3.7038997297572784,FILTER_NEUTRAL
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction_US,F3,adaptive_cv_kalman_robust,online,adaptive-acceleration constant-velocity Kalman filter,34,17,pre-registered one-baseline E-H control,40661,107.59071615236724,102.95406421346884,168.30883231452063,189.8378970226333,117.84619755790956,40661,70.30705224931413,62.71768798827952,126.67843027893048,147.96699698341445,81.44675708671086,40661,69.4461857517844,62.00524133274075,135.64333830498265,158.21228360242503,85.1713099518621,101.96676359031105,184.159971644535,140.8874125180045,154.10150810494264,77.01322515261673,43.34920307226037,62.1761178472002,39.59891929092788,62.29729171402789,14.214226605623393,77.3564655747785,10.10418136511616,6.855153599078676,15.779041122089392,1.4389977508090936,17.606659339662343,8.838897733079165,4.244337705994468,16.232763494826543,-0.2763058910307876,3.253932671745158,FILTER_NEUTRAL
