capture_id,n_matched_samples,abs_relative_distance_error_mean_mm,abs_relative_distance_error_rmse_mm,abs_relative_distance_error_p50_mm,abs_relative_distance_error_p90_mm,abs_relative_distance_error_p95_mm,abs_relative_distance_error_max_mm,signed_relative_distance_error_median_mm
R01,1200,117.80235984611761,141.24942575199546,106.2191886071846,220.65939299397272,265.82189826454515,446.0228597898514,102.94450543214964
R02,1199,106.72693690079574,131.67289632200362,95.01948256792969,217.7175294451383,254.83457241986113,369.4402547647951,90.29885648605261
R03,1050,130.1914984331878,149.74384048957225,122.3171455965487,231.55362939998236,256.37426637426836,463.1170847485896,122.08520856683344
R04,1200,124.68119164943717,148.5914077056162,119.28350292553114,235.83702475320442,277.47700105753154,432.28291690587776,119.10310845888353
R05,1198,159.11045751355576,182.19468868346124,145.00358438127802,278.4469146329611,325.81670981216064,626.3771931202247,144.0412793653631
R06,1200,128.91990416975435,151.03370331065307,123.51759105214711,230.02130578482613,259.8257331080747,471.5303487172812,123.43585295313449
R07,1200,112.70296313028662,134.3154386133098,105.62770752035124,212.62063943624156,254.8803799676599,359.4811416372769,105.50439735283948
R08,1200,124.65621485321807,147.40944061515876,113.54712654781554,238.8274879907977,283.5469660690482,432.6754249873509,113.0790126379631
R09,1200,165.5720090450342,195.9423878904191,167.6284013605271,311.3630264718056,340.6356115578967,452.4036205033631,164.82761058869653
R10,1200,112.11311890554886,130.61461274446242,104.61706699086301,202.5947519787228,232.46057457653583,347.13825962368526,103.32607027327879
R11,1201,91.06678915249569,115.03018128152362,75.14976113524142,182.58744566587632,217.97396986216586,529.6320609848531,69.23295839290802
R12,1200,102.77315125685101,123.0315152639347,93.80821590296603,198.61305195453622,228.03686462758506,355.63985272171806,87.42648130925323
R13,1201,103.26924791296913,123.29709058522911,97.05074967611245,197.7992579888837,222.90824732759575,424.8071898658917,94.8341345245359
R14,1201,89.0079051091779,107.63705093279319,79.31929339385192,176.46045356163893,200.99222984750554,313.2112275910139,74.1757732692596
R15,1199,76.36892208140893,96.3557425840479,66.11406181843734,157.33248673762304,193.61078269857623,436.3893495214488,39.04098009959773
R16,1201,84.0192676735391,103.6233260028938,73.67621383662322,165.64452978615122,198.98023743302315,406.1281269675983,67.93626085959909
R17,1201,85.58069893420935,104.57422042006694,76.30041843469076,168.98028230747752,192.98877936238932,363.6597423569194,71.51617726846291
