version,tag_method,eval_set,method,n_tags,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,range_median_min_mm,range_median_max_mm,range_p95_min_mm,range_p95_max_mm,det,scale,note
v1-old,T4,all8,A_tag_cloud_fit_WRONG_circular,24,134.9086740099601,244.36542738165187,158.96961731265836,45.04495248325631,124.53000268009146,,,,,-0.999999999999999,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T4,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,177.5468921966999,1621.0914250704182,378.6133661864824,2231.505663586378,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T4,all8,C_anchor_locked_OFFICIAL,24,130.82424338278227,269.8328955805114,170.28987371681293,50.66175662676048,118.4428360068938,,,,,,1.0,"CORRECT: transform fitted from anchors only; height-preserving 2D horizontal alignment plus F/G/H vertical shift, no scale."
v2,T4,all8,A_tag_cloud_fit_WRONG_circular,24,60.726308946821774,185.03320637425966,98.13119036708733,44.78052600992132,50.42626274110796,,,,,-1.000000000000001,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v2,T4,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,160.31126244718126,1548.7812212062722,331.5667691818994,2153.223471181539,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v2,T4,all8,C_anchor_locked_OFFICIAL,24,136.20927986988306,266.3457503537222,176.52984965600135,51.82570739826872,133.48471486946664,,,,,,1.0,"CORRECT: transform fitted from anchors only; height-preserving 2D horizontal alignment plus F/G/H vertical shift, no scale."
v3-lite,T4,all8,A_tag_cloud_fit_WRONG_circular,24,60.84033381949979,183.92640675318125,98.05824774908545,45.25730513726144,50.9457715497316,,,,,-0.9999999999999987,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v3-lite,T4,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,160.35517381693677,1548.399233519665,331.8981264930222,2153.26660876521,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v3-lite,T4,all8,C_anchor_locked_OFFICIAL,24,137.16987459833354,266.57163046613886,177.19451679933056,51.658962962563805,134.3402268819922,,,,,,1.0,"CORRECT: transform fitted from anchors only; height-preserving 2D horizontal alignment plus F/G/H vertical shift, no scale."
v3-full,T4,all8,A_tag_cloud_fit_WRONG_circular,24,97.33686047410075,229.54345626680933,127.10405483756594,39.841536418077126,80.76524877009169,,,,,-1.0,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v3-full,T4,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,184.6704156704123,1569.5353323057498,381.85495373571854,2195.01149918168,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v3-full,T4,all8,C_anchor_locked_OFFICIAL,24,112.44027115649476,240.26244827071739,141.74173677626968,47.90140360878263,90.90080155871942,,,,,,1.0,"CORRECT: transform fitted from anchors only; height-preserving 2D horizontal alignment plus F/G/H vertical shift, no scale."
v4-io,T4,all8,A_tag_cloud_fit_WRONG_circular,24,62.96375962216311,196.71903893773256,103.69776237900074,39.682617896454104,50.57047694050867,,,,,-1.0000000000000007,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v4-io,T4,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,157.02488616360247,1559.3149971780906,308.7595060513391,2171.7668682750686,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v4-io,T4,all8,C_anchor_locked_OFFICIAL,24,109.18149931690058,230.50280107858143,149.68358396918114,41.302133894928,100.29146621275535,,,,,,1.0,"CORRECT: transform fitted from anchors only; height-preserving 2D horizontal alignment plus F/G/H vertical shift, no scale."
