d_tag_mm,n_positions,n_frames,frames_input_total,median_3d_mm,p75_3d_mm,p95_3d_mm,rmse_3d_mm,median_horiz_mm,rmse_horiz_mm,median_vert_mm,rmse_vert_mm,signed_vertical_slope_mm_per_m,signed_vertical_slope_r2,fail_rate,residual_rms_median_mm,d3_std_median_mm,distance_to_centroid_slope_mm_per_m,distance_to_centroid_slope_r2
0.0,24,28818,28818,109.51537928451557,176.23104113628585,223.85943877996434,140.5199951638537,45.22951266720612,49.71095998324754,89.4207269270108,131.43321307186184,196.4196482751764,0.7692969170331878,0.0,87.92488329406686,72.56612512603928,161.05502034165323,0.4221161221322327
2.0,24,28818,28818,107.2921941832994,172.75123101679526,217.37993947774544,137.5235903605472,43.886968473440604,49.02493360139648,86.82066809185164,128.488496726494,191.148267009312,0.7634262528718796,0.0,87.878328378568,72.30756122488779,156.67081457696378,0.4132680229024619
4.0,24,28818,28818,105.07034963035235,169.2757137906284,210.9631397812508,134.5611401716675,42.55099231419615,48.35473080614966,85.19071782888795,125.57276955201694,185.90304466753037,0.7571842974969378,0.0,87.75190866976665,72.04072266997218,152.35641095060967,0.4042070836249896
6.0,24,28818,28818,102.847242858155,165.80310979990622,204.64373223079758,131.63719344430524,41.2252630794931,47.70080067692963,84.55743811638922,122.69060401136377,180.6903100334916,0.7505455391282195,0.0,87.14121004688872,71.76747496120593,148.11808183217738,0.39498467381336766
8.0,24,28818,28818,100.62065712038827,162.33282650833337,198.45889166933014,128.75944937084307,39.90157874188769,47.06384618691902,83.90291913516592,119.84986518297268,175.5200304276745,0.7434659665799102,0.0,86.60622512683292,71.35534121770013,143.95405135549655,0.3856274333007097
10.0,24,28818,28818,98.38249073205753,158.86259761559873,194.95221521802313,125.92592961251347,38.58552940482684,46.44431094381471,83.22823820191354,117.04813424284023,170.38565098937931,0.7359005213710472,0.0,86.00595054695883,70.83900034882645,139.8598737212631,0.3761678767717924
12.0,24,28818,28818,96.13715260616226,155.400348197827,191.64485636823844,123.13509704622689,37.27348287788048,45.84269424223175,82.5275525565404,114.28341747251422,165.28381027613625,0.7278187380907359,0.0,85.00787170675319,70.25255132418529,135.83772747551362,0.36669633321370976
14.0,24,28818,28818,93.87836757641881,151.95229454953693,188.69395596154854,120.39121438116072,35.9712049351177,45.261902056677684,81.79890516727914,111.5589741902565,160.21898227271967,0.7191886151282372,0.0,83.81408340953087,69.60945602315942,131.8901758190858,0.3572711292396319
16.0,24,28818,28818,91.0990404910358,148.51525085707414,185.7281678850353,117.69856840950806,35.303118012031874,44.702607405991465,81.0478942133841,108.87896902870382,155.19159389852857,0.7099329811435074,0.0,82.60957976273443,68.96694084061318,128.00334898423108,0.347882588298118
18.0,24,28818,28818,88.79260972362044,145.09071704651402,182.74334120029675,115.05929300266274,34.96649640541824,44.16584645632531,80.2774137518735,106.24508888917593,150.20262433297364,0.7000040744678284,0.0,82.33200297720364,68.3980757858867,124.17346867380718,0.3385295036868947
