layout_source,correction_source,tag_delay_mode,d_tag_mm,capture_id,tag,n_points,alignment,status,n,radius_mm,center_x_mm,center_y_mm,center_z_mm,normal_x,normal_y,normal_z,in_plane_radial_rms_mm,in_plane_radial_p95_abs_mm,out_of_plane_rms_mm,out_of_plane_p95_abs_mm
L_V5,C_V5,D0,0.0,R01,BS2DCE,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,493.9148388637028,-179.82712426174717,1100.06273900421,-156.26113274275465,-0.28141706038999403,-0.9419875138034655,-0.1829315772627027,76.77244846691659,147.65204806919883,216.94501341259877,511.84952073142773
L_V5,C_V5,D0,0.0,R01,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,612.3731228502895,-167.38145644334924,1059.6913514784756,-129.5589266380683,0.0551660953286013,0.9978112071071038,0.03646226676524633,53.59328258401169,111.9583892048584,127.80792027635314,284.8249730005899
L_V5,C_V5,D0,0.0,R02,BS2DCE,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,497.37403977114894,-210.16885295066027,1091.4550226488755,-118.19950473668435,0.4024566340954057,-0.9051480334366846,-0.13687839580554295,86.09912833125634,175.1047406160177,166.69571573782395,335.10918353463
L_V5,C_V5,D0,0.0,R02,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,601.4452513097289,-173.08094383217713,1051.3981661699343,-139.51050062696902,0.3245648500384357,-0.9392658352943694,-0.11152286208799798,54.74755097545086,102.23356908500405,98.23149932066474,195.7235134684769
L_V5,C_V5,D0,0.0,R03,BS2DCE,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,550.8422997004523,-115.68447582796617,1064.9872848246737,-30.47918081596478,-0.17991881770714663,-0.7909247102763858,-0.5848652167030265,68.28649186774817,125.57932105724218,91.54224708716565,181.6471283237512
L_V5,C_V5,D0,0.0,R03,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,617.8420234948946,-115.55632516143014,1055.8699278447928,-80.25328319786298,0.04647701093112463,0.8737323123063193,0.48418150923673237,65.62425904131081,108.95875790449965,73.2689665921734,136.74455673820947
L_V5,C_V5,D0,0.0,R04,BS2DCE,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,524.9130214290344,-19.687551906145938,1096.1269183695722,-139.3504958884369,-0.5470553015166582,-0.8354520885281627,-0.052443349020153296,72.77807506501101,149.44780767758985,123.18174224203844,270.6971987012808
L_V5,C_V5,D0,0.0,R04,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,619.138596979821,-56.212564937814115,1066.721586800142,-127.695953170352,0.4015719411448707,0.9157622807813808,0.010927999964506066,64.854263239228,135.1438042817643,86.93091163439614,187.2461050311883
L_V5,C_V5,D0,0.0,R05,BSDC91,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,635.1347433757686,-118.03439805315179,1056.4298713785386,-196.81877407667244,0.021345967347812377,0.9104191636485925,-0.4131359293735931,53.25338296766398,104.73309119746023,66.28655036086782,132.08233022462423
L_V5,C_V5,D0,0.0,R05,BS2DCE,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,531.1799938798274,-88.34560308438716,1078.3261782269938,-239.65948240269563,0.03698226773993334,0.8612250347114782,-0.5068764656787931,106.01771224837795,211.0854758042276,120.7644877311874,270.0539630594504
L_V5,C_V5,D0,0.0,R06,BS2DCE,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,547.2477450535214,-286.9372447743334,1033.1835816101143,-66.13508209471856,0.8568417831154215,-0.5008896535448343,0.12219539139968097,65.65255656237701,126.31668486482843,104.64181935114314,209.0936459947195
L_V5,C_V5,D0,0.0,R06,BSDC91,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,622.2989405332253,-255.73987404503305,1023.9146338222042,-69.76906989990044,-0.7738076176592814,0.6285923170813099,-0.07806067997921778,56.91717357199961,106.09002239877373,71.26983352560953,144.89294098232162
L_V5,C_V5,D0,0.0,R07,BS2DCE,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,547.6415880714319,-43.5954327344258,1067.0313211598536,56.55975118606875,0.027119536893732907,0.5499497676385592,0.8347573202991178,61.63209215375839,126.56279311362619,74.26638077671083,146.16078766868
L_V5,C_V5,D0,0.0,R07,BSDC91,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,623.841812053301,-77.29534748371282,1048.5134680290264,23.961753481550293,0.05853245286295944,-0.6214570613663734,-0.7812586465695706,47.075766801834305,89.35389371905376,50.04461159117791,94.61523412114528
L_V5,C_V5,D0,0.0,R08,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,618.3723428391386,25.531402886976018,1052.4025664562603,-145.34586819847146,-0.7748352628389208,-0.6321631303200596,0.00030352147124398975,50.28674655322821,98.49681620265167,70.59795039881789,150.48637169785036
L_V5,C_V5,D0,0.0,R08,BS2DCE,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,536.7604232904957,67.20178264214553,1055.178677846385,-180.3730619569454,0.839552470485086,0.5427234213920243,-0.024554779064858496,85.30068642377051,172.46799231339037,87.78755215073292,177.71238103046417
L_V5,C_V5,D0,0.0,R09,BS2DCE,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,563.0980163280534,-151.2061748712147,1046.407453996937,-313.35224802106285,-0.00799067564207629,0.5482697177435343,-0.8362633949349981,92.80923698606051,188.6810631886199,110.92169695947031,231.44632917974863
L_V5,C_V5,D0,0.0,R09,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,647.8366452529635,-163.68942821026357,1019.7330801973836,-256.0250866727214,0.016751638138399354,0.6471134036232674,-0.7622096991450521,62.88152229039561,125.20643972380222,62.463828450138614,118.10728345034497
L_V5,C_V5,D0,0.0,R10,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,615.9532617432765,-297.693236744396,948.6421318146824,-68.36301241194467,0.9638215103236796,-0.2629797333314223,-0.04347132496617757,55.707002738839805,111.4353979674119,46.203772516461946,92.49926488486398
L_V5,C_V5,D0,0.0,R10,BS2DCE,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,538.8958965786964,-315.5837558372557,947.3915738284068,-70.78064708705239,0.9767163564803893,-0.2107548886239098,-0.040094088152701976,75.03943431980606,151.27920771872706,69.80340103066115,129.79104749907242
L_V5,C_V5,D0,0.0,R11,BS2DCE,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,526.6262070920404,-46.88051659908164,959.417469671462,93.0972263510687,-0.061354007427500586,0.22514734317901586,0.9723910528342068,58.65336775722464,117.65861738718797,50.01466837139043,104.21710317824117
L_V5,C_V5,D0,0.0,R11,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,605.4192334735102,-65.74256281026345,966.3701377252831,82.65015774105183,-0.03700308930591722,0.27239997693172785,0.961472320948145,51.031295251412715,90.44375003942298,30.068631698976098,57.9940043227998
L_V5,C_V5,D0,0.0,R12,BS2DCE,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,515.4017068672047,102.05808259928065,942.456376842864,-178.2643287376166,-0.9797432900989925,-0.19992760827708345,0.011490733423338527,83.24474151493857,159.4889153723763,63.41844599670525,121.53713772336086
L_V5,C_V5,D0,0.0,R13,BS2DCE,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,539.258524258304,-141.46783224132236,953.10067258596,-323.94158868695513,-0.020488277419542473,0.2535557527282116,-0.9671037745489414,68.08596815530022,128.65216869539972,47.439313420959934,93.69551513415131
L_V5,C_V5,D0,0.0,R12,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,622.5435001717733,70.14344383861166,956.861238134131,-152.09919454343117,0.9699866558157689,0.2431503588171529,0.001946932569610202,61.391002616591464,116.28012028217816,53.63831493829571,110.77425378673409
L_V5,C_V5,D0,0.0,R13,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,621.7759440731068,-131.3705576137179,947.4197045471792,-297.0328134277588,-0.01701892122118577,-0.2560838810346423,0.9665047346985436,47.45857156478695,92.76703359278432,39.938152822768224,74.27703209357199
L_V5,C_V5,D0,0.0,R14,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,611.4542981706028,-185.39245693532274,912.1449774553856,-353.9389143780677,-0.9966870884622608,-0.008670004193228081,0.0808682800602979,50.063406240594816,101.03791176316841,38.382847388142984,73.66768835478284
L_V5,C_V5,D0,0.0,R14,BS2DCE,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,515.145140401395,-183.06447241676838,898.6082564849281,-375.98378240004666,0.9964763432686516,0.007011279225715289,-0.08358073503837896,72.9054387087988,143.73451452393334,56.143816383202996,108.78551660296915
L_V5,C_V5,D0,0.0,R15,BS2DCE,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,494.8631608224447,86.06954623800989,911.710509924031,-150.24864160473155,0.036874476238056494,0.011972182776869067,-0.9992481873097024,75.21898877626545,144.67954698223298,44.14618558699644,85.62925112015682
L_V5,C_V5,D0,0.0,R15,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,594.6093666221976,60.64606778677606,916.8739580317463,-148.9149422079133,-0.022018341794374705,0.007112233762570086,0.9997322685376984,59.238236714638084,110.955307661185,29.970146819300524,57.70674644815928
L_V5,C_V5,D0,0.0,R16,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,608.922460947146,-10.591927620625086,892.6441726473035,-149.53455718916865,0.9993556826120251,-0.021416457146514876,-0.02880199636040711,51.54834269563125,103.56405169296652,39.22058596701992,74.5048017719169
L_V5,C_V5,D0,0.0,R16,BS2DCE,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,515.3356598915383,29.79247744566476,887.8791011555309,-139.96220825308663,-0.9981363558755453,0.06042583233951349,0.008516681605175326,78.91460249905131,157.90494516013644,57.49769589173731,112.54808207754117
L_V5,C_V5,D0,0.0,R17,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,607.4255545480142,-1.2995491220010793,898.1524735553475,-186.2012833066354,-0.00981418973710733,0.000614373920867925,0.9999516509434291,50.60920446389922,105.68889589235637,28.877601672862728,54.049273072130376
L_V5,C_V5,D0,0.0,R17,BS2DCE,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,536.6095211334797,11.500557286662705,903.745543866516,-203.47999255100618,0.022896790418123116,0.0051994759838887294,-0.9997243132174196,62.186070826050354,123.27870434219165,46.51304780255815,90.01333099899074
L_V5,C_V5,D_LOO_CV,49.621,R01,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,593.8245464660802,-161.0724506519573,1046.5016156791653,-114.31389447657912,0.04422595700984157,0.9982043918489248,0.040398723000626746,46.415842260194424,98.18427724366347,97.84701125937644,207.62036652522343
L_V5,C_V5,D_LOO_CV,49.621,R01,BS2DCE,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,461.07333518350134,-175.02293124087794,1065.705751443877,-143.15063479120792,0.16175119164372995,0.9808094993853913,0.10885438859876814,65.57068550516787,145.44475449957656,169.19547022358242,409.87549693873814
L_V5,C_V5,D_LOO_CV,49.621,R02,BS2DCE,1201,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1201,459.139132533609,-195.95694627952093,1081.1224276367175,-121.3139466616135,-0.31943555906004384,0.93904227165821,0.1271240954618185,61.588387841338694,122.65791214396347,113.43471729730942,234.59686412754388
L_V5,C_V5,D_LOO_CV,49.621,R03,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,581.719011870036,-122.07521915974357,1043.721825060983,-67.08761937169317,0.008160441918792623,0.9066972596452729,0.42170307864591505,45.33491750296895,85.46106135129796,53.610757871000025,109.04100274909494
L_V5,C_V5,D_LOO_CV,49.621,R02,BSDC91,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,574.5091664281932,-171.18914958081825,1049.9847592268732,-135.75302271050424,0.2733684285653836,-0.9554715537958637,-0.11110270991569303,58.85810204155889,113.9472722938438,71.36834643866908,144.68751874903478
L_V5,C_V5,D_LOO_CV,49.621,R03,BS2DCE,1200,BEST-FIT-ALIGNED: V5 self-cal anchors rigidly aligned to Vicon; capture-level v4-io/T4 time offsets reused,ok,1200,490.9408919480194,-119.1512596689045,1063.6471652176042,-46.954154306635544,-0.148254363869092,-0.8622196888049932,-0.48435302397197,50.47908055278142,98.90441014234597,67.58939257978682,134.60972132270834
