s,delta_c_mm,d_tag_mm,median_3d_mm,rmse_mm,vert_slope
0.93,-60.0,0.0,476.7416076660156,466.4111484248634,718.5899096805285
0.93,-60.0,5.0,468.50323486328125,456.10060910395634,704.7438691306555
0.93,-60.0,10.0,460.2608642578125,445.91936280565346,690.9206848048196
0.93,-60.0,15.0,452.00347900390625,435.8766489788137,677.1275426304518
0.93,-60.0,20.0,442.78363037109375,425.9796063193636,663.3708621292654
0.93,-60.0,25.0,433.24493408203125,416.233051456753,649.6563674672213
0.93,-60.0,30.0,423.79180908203125,406.6397169178141,635.9888890859373
0.93,-60.0,35.0,414.426025390625,397.200201409818,622.3723142816661
0.93,-60.0,40.0,405.150146484375,387.9133682280104,608.8099075408612
0.93,-60.0,45.0,395.96539306640625,378.7764635969347,595.3039112062436
0.93,-60.0,50.0,387.4451904296875,369.7855163807798,581.8558357915555
0.93,-60.0,55.0,378.9835205078125,360.935687224885,568.4667333419868
0.93,-60.0,60.0,370.5196533203125,352.2213437598579,555.1369573895038
0.93,-60.0,65.0,362.05560302734375,343.63652672555054,541.8664863723594
0.93,-60.0,70.0,353.5931091308594,335.17517574769766,528.6550350850193
0.93,-60.0,75.0,345.13372802734375,326.83105584154634,515.5019844221392
0.93,-60.0,80.0,336.66796875,318.59835853704584,502.4065914920931
0.93,-60.0,85.0,327.6351623535156,310.4713276818006,489.36796324154284
0.93,-60.0,90.0,318.7574157714844,302.44479093299,476.3853549741523
0.93,-60.0,95.0,310.028564453125,294.51405951159614,463.4580367857262
0.93,-60.0,100.0,301.4429931640625,286.67478034787086,450.5851435344514
0.93,-60.0,105.0,292.99517822265625,278.92333456077137,437.7662181995633
0.93,-60.0,110.0,284.67987060546875,271.25655234021536,425.0007418916384
0.93,-60.0,115.0,276.42144775390625,263.67186342592566,412.28835941903884
0.93,-60.0,120.0,267.6398620605469,256.1671969876315,399.6289702087093
0.93,-60.0,125.0,259.4311828613281,248.74116661451518,387.02265195419096
0.93,-60.0,130.0,251.34413146972656,241.39283336503593,374.46960564618433
0.93,-60.0,135.0,243.32986450195312,234.1218049034519,361.9701456324866
0.93,-60.0,140.0,235.38766479492188,226.92825649034984,349.52488374485415
0.93,-50.0,0.0,460.2608642578125,445.91936280565346,690.9206802679023
0.93,-50.0,5.0,452.00347900390625,435.8766489788137,677.1275512635058
0.93,-50.0,10.0,442.78363037109375,425.9796063193636,663.370873640004
0.93,-50.0,15.0,433.24493408203125,416.233051456753,649.6563674672213
0.93,-50.0,20.0,423.79180908203125,406.6397361301524,635.9888949088014
0.93,-50.0,25.0,414.426025390625,397.200201409818,622.3723142816661
0.93,-50.0,30.0,405.150146484375,387.9133682280104,608.8099046631768
0.93,-50.0,35.0,395.96539306640625,378.7764842225557,595.3039187695148
0.93,-50.0,40.0,387.4451904296875,369.7855163807798,581.8558464166695
0.93,-50.0,45.0,378.9835205078125,360.935687224885,568.4667333419868
0.93,-50.0,50.0,370.5196533203125,352.2213326695304,555.1369437742993
0.93,-50.0,55.0,362.05560302734375,343.63652672555054,541.8664892837916
0.93,-50.0,60.0,353.5930480957031,335.175187402051,528.6550434106106
0.93,-50.0,65.0,345.1337890625,326.83107974533266,515.5019973579392
0.93,-50.0,70.0,336.66796875,318.59834627631074,502.40658960127547
0.93,-50.0,75.0,327.6351623535156,310.4713276818006,489.3679622209287
0.93,-50.0,80.0,318.7574157714844,302.44481676414955,476.38535686497005
0.93,-50.0,85.0,310.028564453125,294.51405951159614,463.45803569009615
0.93,-50.0,90.0,301.4429931640625,286.6747667218027,450.58512606585896
0.93,-50.0,95.0,292.99517822265625,278.92334856551537,437.7662341186694
0.93,-50.0,100.0,284.67987060546875,271.2565667407888,425.0007562800618
