loss,weighting,dtag_model,delay_source,median_3d,rmse_3d,p95_3d,vertical_slope,fail_rate
Cauchy50,inverse_rho_rms,scalar,V5_common_mode,82.6948013305664,109.2670672809859,191.5626220703125,124.23230134681303,0.0
Cauchy50,inverse_rho_rms,elevation_2params,V5_common_mode,84.09478759765625,110.02716727727974,192.83670043945312,126.39817984962903,0.0
Cauchy50,inverse_rho_rms,scalar,V5_no_regularization,84.91572570800781,112.71785763439394,198.33291625976562,129.11813769458382,0.0
Cauchy50,NLOS_probability_based,scalar,V5_common_mode,85.38522338867188,109.57939829753583,186.4042510986328,127.49038349185047,0.0
Cauchy50,NLOS_probability_based,scalar,V5_no_regularization,86.4650650024414,112.87145706649002,194.5532989501953,132.89302366029477,0.0
Cauchy50,inverse_rho_rms,elevation_2params,V5_no_regularization,86.55072021484375,113.48303149590251,199.65237426757812,131.28254340448552,0.0
Cauchy50,NLOS_probability_based,elevation_2params,V5_common_mode,86.7619857788086,110.34889183715212,187.6910400390625,129.63183849989787,0.0
StudentT3,inverse_rho_rms,scalar,V5_common_mode,87.44441223144531,110.29461168700627,191.6626739501953,130.35014992483585,0.0
Cauchy50,NLOS_probability_based,elevation_2params,V5_no_regularization,87.84392547607422,113.6446112063832,195.85923767089844,135.03369605626193,0.0
StudentT3,NLOS_probability_based,scalar,V5_common_mode,88.0821304321289,112.85022309044187,200.22425842285156,134.5520448480756,0.0
