pair,anchor_i,anchor_j,n_frames,n_ab,n_ba,mean_mm,std_mm,median_mm,p05_mm,p10_mm,p20_mm,p30_mm,lower_trim_5_mm,lower_trim_10_mm,lower_trim_20_mm,lower_trim_30_mm,skewness,kurtosis_excess,tail_mass_gt_median_plus20,tail_mass_gt_median_plus40,tail_mass_gt_median_plus60,p50_minus_lower_trim20_mm
A-B,A,B,2000,2000,0,2895.163,22.320159626733886,2895.0,2859.0,2867.0,2876.0,2884.0,2849.04,2856.02,2863.83,2869.1183333333333,-0.03736948200116041,-0.17043348397002056,0.1865,0.0305,0.0025,31.170000000000073
A-C,A,C,2000,2000,0,3719.243,29.554215889419556,3718.0,3675.0,3684.0,3694.0,3702.0,3663.61,3671.595,3680.2625,3686.11,0.28386599544922214,0.029182811748246884,0.2555,0.098,0.0275,37.73750000000018
A-D,A,D,2000,2000,0,2429.3915,15.442424096656278,2429.0,2404.0,2410.0,2416.8,2421.0,2397.91,2402.585,2408.095,2411.7483333333334,0.07570699804926473,0.03368044902014233,0.0985,0.007,0.0,20.9050000000002
A-E,A,E,2000,2000,0,1551.919,29.80208920966163,1550.0,1506.0,1514.9,1526.0,1534.0,1497.58,1504.225,1512.55,1518.5383333333334,0.3268278675114193,-0.012521392920377128,0.272,0.106,0.0295,37.450000000000045
A-F,A,F,2000,2000,0,3322.793,23.666393897255453,3322.0,3286.0,3293.0,3303.0,3310.0,3276.09,3282.705,3290.3975,3295.7733333333335,0.13568135506080437,-0.09970849803925663,0.198,0.053,0.008,31.602499999999964
A-G,A,G,2000,2000,0,4017.6255,27.927571043006605,4020.5,3968.0,3978.0,3993.8,4004.0,3957.31,3965.4,3975.795,3983.431666666667,-0.3531656635571639,-0.3661742573881934,0.222,0.043,0.0015,44.70499999999993
A-H,A,H,2000,2000,0,2688.1415,27.304418019281893,2688.0,2644.0,2652.9,2664.8,2673.0,2634.7,2641.69,2650.435,2656.7116666666666,0.1250196468292178,-0.14397453256954496,0.235,0.069,0.016,37.565000000000055
B-C,B,C,2000,2000,0,2407.464,21.299871977857908,2407.0,2373.95,2381.0,2389.0,2396.0,2366.21,2371.785,2378.33,2383.0916666666667,0.1823977924530773,-0.09945199597039922,0.173,0.0395,0.0035,28.670000000000073
B-D,B,D,2000,2000,0,3670.1915,25.60344890923924,3670.0,3628.0,3636.0,3647.0,3656.0,3619.28,3625.875,3634.025,3639.875,-0.030551654858220367,-0.4487517135981358,0.2265,0.056,0.0035,35.97499999999991
B-E,B,E,2000,2000,0,3135.808,24.767778613123834,3135.0,3097.0,3104.0,3115.0,3122.0,3087.84,3094.6,3102.385,3107.7716666666665,0.2167040704599152,0.03278016413570928,0.2055,0.0595,0.012,32.61499999999978
B-F,B,F,2000,2000,0,1619.525,19.842309180556793,1620.0,1586.0,1594.0,1602.0,1609.0,1577.92,1584.375,1591.3775,1596.155,-0.08985812273302271,-0.1775890003052778,0.144,0.015,0.0,28.622499999999945
