variant,naive_all_data_median,naive_rmse
V4_CV4|p10|uniform|range_residual_LOO_on_train,93.18312520035178,112.63842197798353
V4_CV4|p10|uniform|fixed_0,89.97844915784282,110.53649806415235
V4_CV4|p10|inverse_rms|range_residual_LOO_on_train,88.16655714619114,108.11592350330992
V4_CV4|p10|inverse_rms|fixed_0,84.8293985074233,106.17541366655112
V4_CV4|p20|uniform|range_residual_LOO_on_train,89.94700704672616,112.57803262161556
V4_CV4|p20|uniform|fixed_0,104.10246798767864,122.13646049635513
V4_CV4|p20|inverse_rms|range_residual_LOO_on_train,83.99795608596773,107.83482585380465
V4_CV4|p20|inverse_rms|fixed_0,97.68640170528815,116.8465963744026
V4_CV4|p25|uniform|range_residual_LOO_on_train,88.33483609381574,112.41724171804827
V4_CV4|p25|uniform|fixed_0,109.92258562699962,127.05761651900951
V4_CV4|p25|inverse_rms|range_residual_LOO_on_train,82.04659439795287,107.5921283643958
V4_CV4|p25|inverse_rms|fixed_0,102.91892030586223,121.50937466288335
V4_CV4|p30|uniform|range_residual_LOO_on_train,89.27389040557968,113.9693176686593
V4_CV4|p30|uniform|fixed_0,115.46178265824405,131.92780901613395
V4_CV4|p30|inverse_rms|range_residual_LOO_on_train,82.69808625798787,109.0032226912759
V4_CV4|p30|inverse_rms|fixed_0,108.34359876568857,126.21906573627666
V4_CV4|p40|uniform|range_residual_LOO_on_train,88.49742547937551,115.37412974936188
V4_CV4|p40|uniform|fixed_0,125.50094707015369,140.97627681591499
V4_CV4|p40|inverse_rms|range_residual_LOO_on_train,82.34016364830916,110.16020963122543
V4_CV4|p40|inverse_rms|fixed_0,117.99703291852077,135.00581130919508
V4_CV4|p50|uniform|range_residual_LOO_on_train,86.0527147316653,115.81460621223157
V4_CV4|p50|uniform|fixed_0,136.7502146551467,150.1418226646571
V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,81.38885157869004,110.49237734559732
V4_CV4|p50|inverse_rms|fixed_0,128.85359115925374,144.08540676686374
V5_CV5|p10|uniform|range_residual_LOO_on_train,105.60768172505972,120.17771362188526
V5_CV5|p10|uniform|fixed_0,122.20238089497323,131.69307405018424
V5_CV5|p10|inverse_rms|range_residual_LOO_on_train,100.55273739808558,114.34173036072332
V5_CV5|p10|inverse_rms|fixed_0,116.35762298349746,125.26705301424495
V5_CV5|p20|uniform|range_residual_LOO_on_train,99.25067793315134,118.20306455092027
V5_CV5|p20|uniform|fixed_0,138.29374500348467,145.3594589497733
V5_CV5|p20|inverse_rms|range_residual_LOO_on_train,95.42188672982763,112.36408043315106
V5_CV5|p20|inverse_rms|fixed_0,134.01219290556605,138.61666003192926
V5_CV5|p25|uniform|range_residual_LOO_on_train,98.14956339390108,118.24761530941247
V5_CV5|p25|uniform|fixed_0,145.01777326548626,150.97843602896143
V5_CV5|p25|inverse_rms|range_residual_LOO_on_train,94.43438337556368,112.36106258331827
V5_CV5|p25|inverse_rms|fixed_0,139.94160498027895,144.2264307389066
V5_CV5|p30|uniform|range_residual_LOO_on_train,97.9219634755064,118.98123610115043
V5_CV5|p30|uniform|fixed_0,151.0778165167177,156.3899744246794
V5_CV5|p30|inverse_rms|range_residual_LOO_on_train,94.18176658581777,113.0191027624203
V5_CV5|p30|inverse_rms|fixed_0,144.55147610582566,149.63466304527674
V5_CV5|p40|uniform|range_residual_LOO_on_train,94.44976434579046,118.39233529485627
V5_CV5|p40|uniform|fixed_0,160.5661321494988,166.33863426059918
V5_CV5|p40|inverse_rms|range_residual_LOO_on_train,91.0473329032221,112.32599724172557
V5_CV5|p40|inverse_rms|fixed_0,153.78674884470874,159.56184795843595
V5_CV5|p50|uniform|range_residual_LOO_on_train,92.15651610694789,118.8129687456061
V5_CV5|p50|uniform|fixed_0,171.4209494426555,176.25645565211406
V5_CV5|p50|inverse_rms|range_residual_LOO_on_train,89.54993929507435,112.67099440392971
V5_CV5|p50|inverse_rms|fixed_0,165.0247883092904,169.50813989296637
